name;brand;price;ingredients;rating;sub-category;category;benefit
Biome Ultimate Indulging Cream;AXIS-Y;Rp229.000;Water, Glycerin, Betaine, Methylpropanediol, Cyclohexasiloxane, Pentaerythrityl Distearate, Squalane, Dicaprylyl Ether, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cetearyl Glucoside, Allantoin, Adenosine, Ceramide NP, Ceramide AP, Hydrogenated Lecithin, Glycosphingolipids, Tetraacetylphytosphingosine, Stearic Acid, Cholesterol, Mangifera Indica (Mango) Seed Butter, Butyrospermum Parkii (Shea) Butter, Beta-Glucan, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Butylene Glycol, Lactobacillus Ferment, Saccharomyces Ferment Filtrate, Galactomyces Ferment Filtrate, Saccharomyces/Xylinum/Black Tea Ferment, 1,2-Hexanediol, Theobroma Cacao (Cocoa) Seed Extract, Bifida Ferment Lysate, Artemisia Princeps Leaf Extract, Centella Asiatica Extract, Laminaria Japonica Extract, Eclipta Prostrata Leaf Extract, Fructooligosaccharides, Sodium Polyacrylate, Sodium Stearoyl Glutamate, Dipropylene Glycol, Hydroxyacetophenone, Disodium EDTA, Dextrin, Glyceryl Stearate, Pentylene Glycol, Ethylhexylglycerin, Tocopherol, Caprylyl Glycol, Xanthan Gum, TBHQ, Juniperus Virginiana Oil, Cedrus Atlantica Bark Oil, Amyris Balsamifera Bark Oil, Copaifera Officinalis (Balsam Copaiba) Resin, Pogostemon Cablin Oil;4.9;Acne Cream;Treatment;meningkatkan elastisitas kulit, membuat kulit lebih berkilau, dan mencegah kerutan. membantu menjaga kelembapan tanpa menyebabkan iritasi atau meninggalkan residu, serta membuat tekstur kulit lebih halus. untuk memperkuat skin barrier sekaligus menenangkan kulit.
SOS Acne Gel;BLP BEAUTY;Rp39.500;Water, Camellia Sinensis Leaf Extract, Butylene Glycol, Glycerin, Methylpropanediol, Salicylic Acid, Sodium Polyacrylate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Amylopectin, Dextrin, Pentylene Glycol, Xanthan Gum, Dipotassium Glycyrrhizate, Allantoin, Diphenyl Dimethicone, Triethylhexanoin, Ethylhexylglycerin, Sodium Phytate, Hydrogenated Lecithin, Phenoxyethanol, Tocopherol, Lactobionic Acid, Capryloyl Salicylic Acid, Glycolic Acid, Citrus Paradisi (Grapefruit) Fruit Extract, Tremella Fuciformis (Mushroom) Extract, 1,2-Hexanediol.;5;Acne Cream;Treatment;merawat jerawat secara efektif dan efisien tanpa menimbulkan iritasi, gatal, maupun perih sehingga bisa digunakan dengan nyaman. membantu melawan bakteri penyebab jerawat dan membantu menenangkan kulit kemerahan. Gel ini juga dapat membantu mengurangi tampilan noda gelap sekaligus merawat tekstur kulit.
Brightening Cream;FOCALSKIN;Rp120.320;AQUA, BUTYLENE GLYCOL, HYDROGENATED POLYISOBUTENE, TRANEXAMIC ACID, GLYCERIN, NIACINAMIDE, DIMETHICONE, 1,2-HEXANEDIOL, HYDROXYACETOPHENONE, PEG/PPG-17/6 COPOLYMER, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, HYDROGENATED LECITHIN, PANTHENOL, PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE, CARBOMER, ALLANTOIN, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, SQUALANE, ARGININE, CENTELLA ASIATICA EXTRACT, BIFIDA FERMENT FILTRATE, GENTIANA SCABRA ROOT EXTRACT, PROPANEDIOL, TREHALOSE, HAMAMELIS VIRGINIANA EXTRACT, DISODIUM EDTA, PARFUM, POLYSORBATE 60, SORBITAN ISOSTEARATE, SODIUM HYALURONATE, CERAMIDE NP, ARCTOSTAPHYLOS UVA-URSI LEAF EXTRACT, 3-O-ETHYL ASCORBIC ACID, ASCORBYL GLUCOSIDE, ROSA DAMASCENA FLOWER WATER, CARNOSINE, VITIS VINIFERA SEED OIL, DIPOTASSIUM GLYCYRRHIZATE, MITRACARPUS SCABER EXTRACT, CARAMEL, CITRUS AURANTIUM BERGAMIA FRUIT OIL, CITRUS LIMON PEEL OIL, BLETILLA STRIATA ROOT EXTRACT, PENTYLENE GLYCOL, TOCOPHEROL, XANTHAN GUM, CAPRYLYL GLYCOL, SODIUM METABISULFITE, GLUCOSE, BIOTIN, CHONDRUS CRISPUS EXTRACT, HYDROXYPROPYLTRIMONIUM HYALURONATE, HYDROLYZED HYALURONIC ACID, SODIUM ACETYLATED HYALURONATE, HYALURONIC ACID, SODIUM HYALURONATE CROSSPOLYMER, HYDROLYZED SODIUM HYALURONATE, POTASSIUM HYALURONATE;0;Acne Cream;Treatment;Mencerahkan wajah, Mengurangi kulit kusam, mengurangi bintik-bintik hitam dan menunda penuaan pada kulit, Merawat kekencangan kulit
Licorice Advanced Peeling Gel;NPURE;Rp65.000;Water, Glycerin, Cellulose, Dipropylene Glycol, Butylene Glycol, Propylene Glycol, Carica Papaya (Papaya) Fruit Water, Pentylene Glycol, 1,2-Hexanediol, Carbomer, Tromethamine, Caprylyl Glycol, Polysorbate 20, Betaine, Disodium EDTA, Dipotassium Glycyrrhizate, Niacinamide, Tocopheryl Acetate, Palmitoyl Tetrapeptide-10, Galactomyces Ferment Filtrate, Mannitol, Hydrogenated Lecithin, Cholesterol, Glycyrrhiza Uralensis (Licorice) Root Extract, Caprylic/Capric Triglyceride, Cetyl Palmitate, Chitosan, Sorbitan Stearate, Polysorbate 80, Bromelain, Ceramide NP, Papain, Phenoxyethanol, Sodium Benzoate, Citric Acid, Tocopherol, Ethylhexylglycerin, Fragrance(Parfum).;4.8;Acne Cream;Treatment;membantu mencerahkan kulit yang kusam, mengangkat sel kulit mati, membantu proses regenerasi kulit, membersihkan pori-pori, mengurangi komedo whitehead & blackhead, serta memperbaiki skin barrier. Kulit akan tampak lebih bersih dan cerah serta terasa halus.
Krim Penghilang Noda Bekas Jerawat Luka & Stretch Mark;BREYLEE;Rp100.000;Aqua, Glycerin, Centella Asiatica Extract, Arbutin, Portulaca Oleracea Extract, Trehalose, Lavandula Angustifolia Extract, Fucose, Oligopeptide-4, Niacinamide, Hyaluronic Acid, Carbomer, Triethanolamine, Phenoxyethanol, Allantoin;4.5;Acne Cream;Treatment;menyamarkan bekas jerawat, C-Section, dan luka operasi. menyamarkan bekas luka baru maupun lama secara bertahap. membantu meratakan tekstur kulit, memperbaiki kulit, meningkatkan elastisitas kulit, dan menyamarkan bekas luka. Membantu merawat kulit berjerawat, menyamarkan bekas luka baru maupun lama . Membantu menyamarkan strech mark yang sudah ada serta membantu menghaluskan dan meratakan warna kulit yang mengalami bekas luka.
Ms Pimple Acne Solution Spot Gel;EMINA;Rp38.900;Aqua, Propylene Glycol, Salicylic Acid, Polyacrylate Crosspolymer-6, Xanthan Gum, Amylopectin, Dextrin, Phenoxyethanol, Capryloyl Glycine, Hexylene Glycol, Butylene Glycol, Sarcosine, Ethylhexylglycerin, Cinnamomum Zeylanicum Bark Extract, Epilobium Angustifolium Extract, Centella Asiatica Extract, Sodium Citrate, Phragmites Kharka Extract, Poria Cocos Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Citric Acid, Sodium Benzoate, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Sodium Metabisulfite;4.8;Acne Cream;Treatment;Membantu melawan penyebab timbulnya jerawat dan kemerahan pada kulit, kontrol produksi sebum, serta membantu mengurangi tekstur kasar pada lapisan epidermis akibat jerawat. Kini kulit tampak lebih halus dengan noda jerawat yang teratasi. Membantu melawan pertumbuhan bakteri penyebab jerawat dan mengurangi kemerahan. menjaga kulit Anda tetap terhidrasi.
The Relief All Purpose Salve;HALE;Rp68.250;Petrolatum, Ricinus Communis (Castor) Seed Oil, Euphorbia Cerifera (Candelilla) Wax, Caprylic/Capric Triglyceride, Dehydroacetic Acid, Chamomilla Recutita (Matricaria) Flower Extract, Oryza Sativa (Rice) Bran Oil, Helianthus Annuus (Sunflower) Seed Oil, Theobroma Grandiflorum (Cupuaçu) Seed Butter, Sodium Hyaluronate, Hydrogenated Castor Oil, Tocopherol;4.9;Acne Cream;Treatment;merawat area kulit yang kering dan sensitif. Efektif memberi dan mengunci kelembapan, dan melembutkan tanpa meninggalkan rasa lengket. Dapat digunakan pada bibir, tangan, lutut, tumit, siku, atau area manapun yang membutuhkan kelembapan.
Acnederm Acne Spot Treatment Gel;WARDAH;Rp30.500;Aqua, Propylene Glycol, Salicylic Acid, Polyacrylate Crosspolymer-6, Xanthan Gum, Amylopectin, Dextrin, Phenoxyethanol, Capryloyl Glycine, Hexylene Glycol, Butylene Glycol, Sarcosine, Disodium EDTA, Ethylhexylglycerin, Cinnamomum Zeylanicum Bark Extract, Epilobium Angustifolium Extract, Centella Asiatica Extract, Sodium Citrate, Phragmites Kharka Extract, Poria Cocos Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Citric Acid, Sodium Benzoate, Camellia Sinensis Leaf Extract, Licorice Root Extract, Chamomilla Recutita Flower Extract, Rosemary Leaf Extract, Sodium Metabisulfite;4.5;Acne Cream;Treatment;Produk ini mampu mendinginkan dan menyegarkan kulit serta memiliki tekstur yang ringan. Produk ini mampu menyerap minyak berlebih dan menyembuhkan jerawat secara instan. Membantu melindungi kulit dari penyebab jerawat, mengurangi tampilan kulit kasar akibat jerawat, mengurangi kemerahan akibat iritasi, dan membantu kulit lebih halus terawat.
Bee Clear Acne Regular;ADARA COSMETICS;Rp33.300;Aqua, Glycerin, Polysorbate 20, Triethanolamine, Carbomer, Phenoxyethanol, Panthenol, Salicylic Acid, Butylene Glycol, Allantoin, Chlorphenesin, Disodium EDTA, Gluconobacter / Honey Ferment Filtrate, Boswellia Serrata Extract, Honey ( Mel ) Extract, Oryza Sativa Bran Extract, Sodium Benzoate, Bee Venom, Oligopeptide-10.;4.8;Acne Cream;Treatment;membunuh Bakteri Jerawat secara tuntas, Mengangkat sel kulit mati, Mengurangi Inflamasi, Menyamarkan noda, Menghilangkan bekas jerawat, Membersihkan pori-pori
Acne Combat Spot Gel;LUNESSE;Rp54.270;Cynanchum Atratum Extract Solution, Niacinamide, Green Tea Extract, Salicylic Acid;5;Acne Cream;Treatment;Mengecilkan dan mengurangi kemerahan pada jerawat secara efektif dengan melawan bakteri penyebab kerawat tanpa membuat kulit kering. Melindungi kulit dari radikal bebas serta menyeimbangkan produksi minyak dan sebum yang menyebabka jerawat. Menyamarkan noda bekas jerawat dan memperbaiki tekstur kulit yang kasar akibat jerawat dengan cara mengeksfoliasi sel kulit mati.
