name;brand;price;ingredients;rating;sub-category;category;benefit
Laser Rejuvenation Ampoule;CELL FUSION C;Rp260.000;Water ,Methylpropanediol, Glycerin, 1,2-Hexanediol, Niacinamide, Caprylic/Capric Triglyceride, Polyglycerin-3, Centella Asiatica Extract,Avena Sativa (Oat) Kernel Extract, Pteris Multifida Extract, Cynara Scolymus (Artichoke) Leaf Extract, Vigna Radiata Seed Extract,Rubus Fruticosus (Blackberry) Fruit Extract, Persea Gratissima (Avocado) Fruit Extract, Sodium Hyaluronate, Hydrogenated Lecithin, Cyclohexasiloxane, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Xanthan Gum, Adenosine, Carbomer, Disodium Edta, Tromethamine, Polyquaternium-51, Beta-Glucan, Butylene Glycol, Hydrolyzed Collagen, Aureobasidium Pullulans Ferment, Palmitoyl Tripeptide-5, Hydrolyzed Lupine Protein, Nonapeptide-1, M..;0;Ampoule;Treatment;menguatkan skin barrier serta menjaga kulit tetap kuat dan sehat.
Royal Black Snail Ampoule;DR.G;Rp512.050;Aqua, Glycerin, Propanediol, Snail Secretion Filtrate,  Squalane, Butylene Glycol,  1,2-hexanediol, Niacinamide, Maltodextrin, Polyglyceryl-10 stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Glycereth-25 PCA Isostearate, Butyrospermum Parkii (Shea) Butter, Dioscorea Japonica Root Extract, Caprylyl Glycol,  Hydrolyzed Corn Starch, Beta-Glucan, Adenosine,  Caramel, Hydrogenated Lechitin, Ethylhexylglycerin, Sodium hyaluronate, Caprylic/Capric Triglyceride, Fragrance, Vitex Agnus Castus Extract, Sucrose, Phytic Acid, Phenethyl Alcohol, Hydrogenated Phosphatidylcholine, Sucrose Stearate, Stearic Acid, Hexyl Laurate, Ceramide NP, Palmitic Acid, Zymomonas Ferment Extract, Hydrolyzed Royal Jelly Protein, Honey Extract, Glycosphingolipids, Cholesterol, Tocopherol.;5;Ampoule;Treatment;merawat kulit dari tanda-tanda penuaan dini, membantu menutrisi dan merawat kelembapan kulit sehingga elastisitas dan kekencangan kulit senantiasa terjaga
Vegan Green Mild Hyaluron Ampoule;MULDREAM;Rp184.600;Water, Glycerin, Butylene Glycol, Portulaca Oleracea Extract, Sodium Hyaluronate, Potassium Hyaluronate, Sodium Hyaluronate Crosspolymer, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Sodium Acetylated Hyaluronate, Rosmarinus Officinalis (Rosemary) Leaf Extract, Anthemis Nobilis Flower Extract, Spirulina Platensis Extract, Houttuynia Cordata Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Oenothera Biennis (Evening Primrose) Oil, Linum Usitatissimum (Linseed) Seed Oil, Madecassoside, Asiaticoside, Ceramide NP, Panthenol, Adenosine, Propanediol, Caprylyl Glycol, Ethylhexylglycerin, 1,2-Hexanediol, Trehalose, Sodium Citrate, Xanthan Gum, Glyceryl Acrylate/Acrylic Acid Copolymer, Carbomer, Tromethamine, C12-14 Pareth-12, Disodium EDTA, Fragrance;0;Ampoule;Treatment;Memperkuat skin barrier, memberi hidrasi maksimal, menyamarkan garis halus & keriput dan memperkuat lapisan luar dan dalam kulit.
Good Skin Tea Tree Ampoule;NATURE REPUBLIC;Rp97.000;Water, Glycerin, Alcohol, Butylene Glycol, 1,2-Hexanediol, Silica, Betaine, Pentylene Glycol, Chlorella Vulgaris Extract, Glucose, Polyglyceryl-10 Laurate, Propanediol, Fructooligosaccharides, Fructose, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Caprylyl Glycol, Tromethamine, Ethylhexylglycerin, Xanthan Gum, Sodium Phytate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Olea Europaea (Olive) Fruit Oil, Pelargonium Graveolens Flower Oil, Citrus Aurantium Dulcis (Orange) Oil, Eucalyptus Globulus Leaf Oil, Tocopherol, Enantia Chlorantha Bark Extract, Oleanolic Acid;4.5;Ampoule;Treatment;Membantu merawat kelembapan kulit yang berminyak. Kulit terasa segar dan tampak matte.
Beet Energy Ampoule;I'M FROM;Rp340.000;Beta Vulgaris (Beet) Root Extract, Glycerin, Squalane, Propanediol, 1,2-Hexanediol, Niacinamide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Xanthan Gum, Panthenol, Adenosine, Allantoin, Carnosine;5;Ampoule;Treatment;menenangkan kulit dengan membentuk lapisan pelindung pada kulit, mengembalikan kelembaban pada kulit dehidrasi dan iritasi serta membuat kulit wajah menjadi cerah bercahaya
Vegan Clear Skin Aha Pha Ampoule;MULDREAM;Rp184.600;Water, Propanediol, Glycerin, Glycolic Acid, Gluconolactone, Ceramide NP, Portulaca Oleracea Extract, Houttuynia Cordata Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Anthemis Nobilis Flower Extract, Panax Ginseng Root Extract, Ganoderma Lucidum (Mushroom) Stem Extract, Tremella Fuciformis (Mushroom) Extract, Hibiscus Esculentus Fruit Extract, Saussurea Involucrata Extract, Hydrolyzed Cicer Seed Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Oenothera Biennis (Evening Primrose) Oil, Linum Usitatissimum (Linseed) Seed Oil, Adenosine, Betaine, Tromethamine, Xanthan Gum, C12-14 Pareth-12, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Caprylyl Glycol, Butylene Glycol, 1,2-Hexanediol, Fragrance;5;Ampoule;Treatment;Meratakan warna & pigmentasi kulit, membersihkan & menyamarkan pori-pori, mengeksfoliasi sel kulit mati dan memperkuat lapisan luar dan dalam kulit.
Oligo Hyaluronic Acid Boosting Ampoule;THE LAB BY BLANC DOUX;Rp333.000;Water, Butylene Glycol, Glycerin, Glyceryl Glucoside, Sodium Hyaluronate, Glycereth-26, Hydroxyethylcellulose, 1,2-Hexanediol, Carbomer, Tromethamine, Xylitylglucoside, Anhydroxylitol, Disodium EDTA, Boswellia Serrata Resin Extract, Xylitol, Sparassis Crispa Extract, Thamnolia Vermicularis Leaf Extract, Allantoin, Glucose, Ethylhexylglycerin;0;Ampoule;Treatment;meningkatkan hidrasi dan kelembaban kulit
Clean Forever Young Biome Ampoule;ROVECTIN;Rp282.000;Water, Sucrose, 1,2-Hexanediol, Lactobacillus Ferment, Ethylhexylglycerin, Disodium EDTA, Propanediol, Butylene Glycol, Glycerin, Biosaccharide Gum-1, Glycereth-26, Niacinamide, Panthenol, Diphenyl Dimethicone, Triethylhexanoin, Hydrogenated Lecithin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Xanthan Gum, Polyglyceryl-10 Laurate, Carbomer, Adenosine, Tocopherol, Tromethamine, Sodium Phytate,  Anastatica Hierochuntica Extract, Solanum Melongena (Eggplant) Fruit Extract, Fructooligosaccharides,  Xylose, Lactobacillus Ferment Lysate, Lactobacillus/Soybean Ferment Extract, Lactococcus Ferment Lysate, Citric Acid, Sodium Citrate, Bifida Ferment Lysate;3.5;Ampoule;Treatment;membantu meremajakan kulit sekaligus merawat barrier kulit agar kulit tampak lebih muda, dan garis-garis halus tersamarkan, menjaga kelembapan kulit sepanjang hari, menyejukkan kulit yang teriritasi ringan dan meratakan warna kulit.
Safe me. Relief moisture green ampoule;MAKE P:REM;Rp319.200;Water, Propanediol, Glycereth-26, 1,2-Hexanediol, Cetyl Ethylhexanoate, Propolis Extract, Polyglyceryl-3 Methylglucose Distearate, Caprylyl Glycol, Glyceryl Stearate, Tromethamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Citric Acid, Ethylhexylglycerin, Xanthan Gum, Salvia Officinalis (Sage) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Butylene Glycol;5;Ampoule;Treatment;melembapkan, menenangkan dan menjaga lapisan pelindung kulit
Hydrium Centella Aqua Soothing Ampoule;COSRX;Rp250.250;Water, Centella Asiatica Extract, Dipropylene Glycol, Glycerin, 1,2-Hexanediol, Betaine, Chondrus Crispus Extract, Saccharum Officinarum (Sugarcane) Extract, Pentylene Glycol, Octanediol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Xanthan Gum, Ethylhexylglycerin, Allantoin, Madecassoside, Pantheno;4.6;Ampoule;Treatment;"menghidrasi kulit secara menyeluruh; agen anti-inflamasi, menenangkan kulit berjerawat"
