name;brand;price;ingredients;rating;sub-category;category;benefit
Low pH Good Morning Cleanser;COSRX;Rp 55.200 - Rp 124.000;Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Sodium Chloride, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA;5;Cleansing Gel;Cleanser;membersihkan kulit sensitif, menenangkan, mengeksfoliasi, melembapkan sekaligus membersihkan kulit wajah,  mengangkat sel-sel kulit mati dan minyak berlebih yang muncul selama tidur sehingga wajah menjadi bersih dan segar.
pH Balancing Bubble Free Cleansing Gel;ACWELL;Rp180.200;Water, PEG-7 Glyceryl Cocoate, Dipropylene, Glycol, Glycerin, Water, Glycerin, Sorbitol, Butylene Glycol, Water, PEG-10 Methyl Ether Dimethicone, Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Caprylyl Glycol, Ethylhexylglycerin, Chlorphenesin, Sodium Carbomer, 1,2-Hexanediol, Caprylyl Glycol, Citric Acid, Disodium EDTA, Water, Butylene Glycol, Glycerin, Sambucus Nigra Flower Extract, Water, 1,2-Hexanediol, Sodium Hyaluronate, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Potassium Hyaluronate, Sodium Hyaluronate Crosspolymer, Pentylene Glycol;4.8;Cleansing Gel;Cleanser;menenangkan kulit yang teriritasi dan sensitif sekaligus membersihkan kotoran dari pori-pori secara mendalam.  membantu memberikan efek kecerahan kulit dengan menghilangkan noda dan bintik hitam. menenangkan kulit yang teriritasi dan mendorong kekuatan dan daya tahannya, menambah kelembapan agar tetap lembab. Menyeimbangkan PH.
Water Bank Blue Hyaluronic Cleansing Gel;LANEIGE;Rp292.500;WATER / AQUA / EAU, GLYCERIN, CAPRYLYL/CAPRYL GLUCOSIDE, LAURYL GLUCOSIDE, LAURYL BETAINE, PROPANEDIOL, DISODIUM COCOYL GLUTAMATE, XANTHAN GUM, CITRIC ACID, FRAGRANCE / PARFUM, SODIUM METHYL COCOYL TAURATE, POTASSIUM COCOYL GLYCINATE, 1,2-HEXANEDIOL, SODIUM CHLORIDE, DISODIUM EDTA, ETHYLHEXYLGLYCERIN, HYDROLYZED HYALURONIC ACID, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, TETRASODIUM EDTA, TOCOPHEROL, UNDARIA PINNATIFIDA EXTRACT;5;Cleansing Gel;Cleanser;mengangkat minyak berlebih, melembapkan, membersihkan riasan ringan serta kotoran di wajah
Sensitive Cleansing Gel;SUKIN;Rp125.300;Water (Aqua), Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Bromelain, Terminalia Ferdinandiana Fruit Extract (Kakadu Plum), Squalane, Ananas Sativus (Pineapple) Fruit Extract, Carica Papaya (Papaya) Fruit Extract, Mangifera Indica (Mango) Fruit Extract, Carthamus Tinctorius (Safflower) Extract, Mangifera Indica (Mango) Seed Butter, Glyceryl Stearate, Glycerin, Glucose, Tetrasodium Glutamate Diacetate, Polyquaternium-10, Citric Acid, Phenoxyethanol, Benzyl Alcohol, Sodium Benzoate, Potassium Sorbate, Fragrance (Parfum), Limonene Natural Fragrance, Component of Natural Fragrance;5;Cleansing Gel;Cleanser;Membersihkan kulit dari debu dan minyak berlebih secara lembut tanpa membuat kulit kering/ kehilangan minyak alaminya, menenangkan
Miracle Bio Water Soothing Cleanser;BIO-ESSENCE;Rp110.000;Aqua/Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Methyl Cocoyl Taurate, Glycerin, Palm Kernelamide DEA, Propylene Glycol, Limonia Acidissima Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Hamamelis Virginiana (Witch Hazel) Extract, Epilobium Angustifolium Extract, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Triclosan, PEG-90 Glyceryl Isostearate, Laureth-2, Fragrance;4.3;Cleansing Gel;Cleanser;membersihkan kulit hingga kedalam pori tanpa membuat kulit kering atau terasa seperti ditarik. Membantu mengurangi sebum pada wajah dan menjaga wajah tetap terhidrasi dan segar.
Ultra Gentle Creamy Cleanser;NEUTROGENA;Rp171.600;Water, Glycerin, Cetearyl Alcohol, Polyglyceryl-10 Laurate, Phenoxyethanol, Cetearyl Glucoside, Caprylyl Glycol, Carbomer, Sodium Hydroxide, Ethylhexylglycerin;4.8;Cleansing Gel;Cleanser;membersihkan dengan lembut di kulit dan bantu menjaga kelembapan kulit, sehingga kulit tetap kenyal. Formula yang lembut, dapat membersihkan tanpa meninggalkan residu yang bisa menyumbat pori.
Rose Biome Gentle Cleanser;ROSE ALL DAY;Rp 39.000 - Rp 74.250;Water, Glycerin, Coco-Betaine, Betaine, Xanthan Gum, Sodium Chloride, Allantoin, Coco-Glucoside,Glyceryl Caprylate, Caprylyl Glycol, Decyl Glucoside, Sodium Cocoyl Isethionate, Sodium Phytate, Citric Acid, 1,2-Hexanediol, Quillaja Saponaria Bark Extract, Squalane, Rosa Damascena Flower Water, Butylene Glycol,Tremella Fuciformis (Mushroom) Extract,Pentylene Glycol, Octanediol,Alpha-Glucan Oligosaccharide, Ethylhexylglycerin, Polymnia Sonchifolia Root Juice, Maltodextrin, Lactobacillus;5;Cleansing Gel;Cleanser;membantu menjaga skin barrier, membersihkan sampai pori-pori terdalam tanpa membuat kulit terasa kering.
Bioderma Sensibio Gel Moussant - Foaming Gel Cleanser;BIODERMA;Rp 142.500 - Rp 244.000;AQUA/WATER/EAU, SODIUM COCOAMPHOACETATE, PROPANEDIOL, SODIUM LAUROYL SARCOSINATE, CITRIC ACID, COCO-GLUCOSIDE, GLYCERYL OLEATE, SODIUM CITRATE, PEG-90 GLYCERYL ISOSTEARATE, MANNITOL, XYLITOL, LAURETH-2, RHAMNOSE, FRUCTOOLIGOSACCHARIDES, TOCOPHEROL, HYDROGENATED PALM GLYCERIDES CITRATE, LECITHIN, ASCORBYL PALMITATE. [BI 722];4.8;Cleansing Gel;Cleanser;Pembersih wajah yang melembabkan & lembut di kulit, Meningkatkan hidrasi kulit hingga 13%, Menenangkan iritasi kulit hingga 86%
Revitalift Crystal Deep Purifying Cleansing Gel;LOREAL PARIS;Rp87.700;Aqua / water, Sodium laureth sulfate, Glycerin, Decyl glucoside, Coco-betaine, Salicylic acid, Sodium chloride, Linalool, Zinc gluconate, Sodium hydroxide, Limonene, Citric acid, Tetrasodium glutamate diacetate, Capryloyl salicylic acid, Benzyl salicylate, Benzyl alcohol, Peg-150 pentaerythrityl tetrastearate, Ppg-5-ceteth-20, Parfum / fragrance.;4.5;Cleansing Gel;Cleanser;membersihkan pori dan minyak berlebih, sehingga pori tidak tersumbat, melarutkan minyak berlebih dan mengangkat sel kulit mati untuk kulit terasa halus, menghilangkan kotoran dan minyak berlebih tanpa membuat kulit terasa kering, 
Glo Rad+ Hassle Free Cleanser Amino Fusion ProCleanser;EMINA;Rp63.600;Aqua, PEG-7 Glyceryl Cocoate, Glycerin, Propanediol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Dipropylene Glycol, 1,2-Hexanediol, Niacinamide, C13-15 Alkane, Beta-Glucan, Saccharide Isomerate, Ferulic Acid, Panthenol, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Sodium PCA, PCA, Glutamic Acid, Arginine, Glycine, Alanine, Serine, Lysine HCL, Threonine, Proline, Gluconolactone, Glycyrrhiza Glabra (Licorice) Root Extract, Allantoin, Tocopheryl Acetate, Betaine, Sodium Lactate, Lecithin, Phenoxyethanol, Butylene Glycol, Ethylhexylglycerin, Hydroxyethylcellulose, Laurdimonium Hydroxypropyl Hydrolyzed Soy Protein, PEG-35 Castor Oil, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Chlorphenesin, Disodium EDTA, Polysorbate 20, Caprylhydroxamic Acid, Pentylene Glycol, Sodium Hydroxide, Caprylyl Glycol, Citric Acid, Sodium Citrate, Propylene Glycol, CI 17200.;3;Cleansing Gel;Cleanser;membersihkan makeup dengan ringan, mudah, dan efektif, memberikan kelembapan selama 72 jam tanpa memberikan efek kencang dan tertarik pada kulit serta meningkatkan natural skin barrier kulit, dengan pH Balance formula. 
