name;brand;price;ingredients;rating;sub-category;category;benefit
SKIN1004 Madagascar Centella Quick Calming Pad;SKIN1004;Rp195.360;Water, 1,2-Hexanediol, Butylene Glycol, Centella Asiatica Extract, Panthenol, Xanthan Gum, Sodium Hyaluronate, Ethylhexylgycerin, Disodium EDTA, Citric Acid;4.3;Essence;Treatment;menenangkan kulit, menyegarkan, dan menyerap dengan cepat tanpa meninggalkan residu. menenangkan iritasi kulit serta menjadikan kondisi kulit nyaman.  merawat area iritasi dengan mudah dalam sekaligus serta melekat dengan baik pada bagian yang terdapat lekukan seperti bawah mata, sisi hidung      
Crystal Secret Pure Treatment Essence;WARDAH;Rp87.000;Aqua, Niacinamide, Methyl Gluceth-20, Propanediol, Phenoxyethanol, Butylene Glycol, Glycerin, Allantoin, Disodium EDTA, Chlorphenesin, Glycereth-26, Sodium Hyaluronate, Sodium Hydroxide, Sodium Metabisulfite, Leontopodium Alpinum Extract, Actinidia Polygama Fruit Extract, Hydroxypropyl Cyclodextrin, Adenosine, Alpha-Arbutin, Citric Acid, Xanthan Gum, Potassium Sorbate, Sodium Benzoate, Caprylhydroxamic Acid, Ethylhexylglycerin;4.8;Essence;Treatment;membantu menjaga kelembaban kulit secara optimal serta bantu mencerahkan kulit. melembabkan serta membuat kulit terasa lebih halus dan lembut, mencerahkan kulit secara lebih optimal agar tampak lebih cerah dan sebening kristal, membantu untuk meningkatkan daya serap produk skin care selanjutnya sehingga lebih efektif pada kulit.
Theory Brightening Essence;SKIN GAME;Rp145.960;Aqua, Glycerin, Tranexamic Acid, Trehalose, Panthenol, Propylene Glycol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dmdm Hydantoin, Disodium Edta, Cystoseira Tamariscifolia Extract, Phenoxyethanol;5;Essence;Treatment;mencerahkan, menghidrasi dan menenangkan kulit kemerahan. Membantu mencerahkan, menghidrasi dan menyegarkan kulit wajah. 
Vinoperfect Concentrated Glycolic Essence;CAUDALIE;Rp650.000;Acrylates, Aluminum Salts, Animal Musks/Fats/Oils, Benzophenones, Butoxyethanol, Butylated hydroxyanisole, Butylated hydroxytulolene, Carbon Black, Coal Tar, Ethanolamines, Formaldehyde, Hydroquinone, Lead, Lead Acetate, Mercury, Thimerisol, Methoxyethanol, Methyl Cellosolve, Methylchloroisothiazolinone, Methylisothiazolinone, Mineral Oil, Nanomaterials, Oxybenzone, Parabens, Petrolatum, Parrafin, Phenoxyethanol, Phthalates, Plastic Microbeads, Polyacrylamide, Acrylamide, Resorcinol, Retinyl Palmitate, Styrene, Sulfates, Talc, Toluene, Triclosan, Triclocarban, Synthetic Fragrance, Acetaldehyde, Acetone, Acetonitrile, Benzalkonium chloride, BPA, EDTA, Methylene chloride, PTFE, PFOA, 1,4-Dioxane, Octinoxate, PFAS, Nitromusks, Polycyclic Musks, Ethoxylated Ingredients, PEGS, Polyethylene glycol, Cyclic Silicones.;4.9;Essence;Treatment;mencerahkan kulit, mengeksfoliasi kulit dan menghidrasi kulit. Kulit akan terlihat lebih cerah, merata, dan bersinar
Yuja Essence Vitalizing Pump;ABIB;Rp228.000;Citrus Junos Peel Extract, Butylene Glycol, Dipropylene Glycol, 1,2-Hexanediol, Water, Glycereth-26, Niacinamide, Chondrus Crispus Extract, Saccharum Officinarum (Sugarcane) Extract, Sodium Hyaluronate, Lactobacillus Ferment Lysate, Panthenol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Choleth-24, Glycerin, Diphenyl Dimethicone, Tromethamine, Triethylhexanoin, Hydrogenated Lecithin, Ethylhexylglycerin, Citrus Junos Peel Oil, Pentylene Glycol, Tocopherol, Ascorbic Acid, Disodium EDTA, Limonene;4.3;Essence;Treatment;mencerahkan kulit serta memudarkan bekas jerawat dan noda hitam pada kulit. menyegarkan kulit dan menghidrasi secara ringan.
DR.G Hydra Aqua Capsule Essence;DR.G;Rp285.000;Aqua, Propanediol, Glycerin, Pentylene Glycol, Methyl Gluceth-20, Niacinamide, Panthenol, Caprylic/Capric Triglyceride, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Dipropylene Glycol, Xylitylglucoside, Hydrogenated Lecithin, Anhydroxylitol, 1,2-Hexanediol, Tromethamine, Calcium Alginate, Xylitol, Adenosine, Agar, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Diethylhexyl Syringylidenemalonate, Eclipta Prostrata Extract, Coccinia Indica Fruit Extract, Ocimum Sanctum Leaf Extract, Solanum Melongena Fruit Extract, Corallina Officinalis Extract, Moringa Oleifera Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Curcuma Longa Root Extract, Ascorbic Acid, Glycine, Lysolecithin, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine Lysine, Arginine, Tyrosine, Phenylalanine, Sodium Hyaluronate, Proline, Threonine, Valine, Isoleucine, Histidine, Cysteine, Methionine, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Potassium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Acetylated Hyaluronate.;5;Essence;Treatment;membantu menghidrasi kulit dan membuatnya tetap lembap. menjadikan kulit tampak lebih lembut, kenyal dan cerah berseri.
Crystallure Superme Activating Booster Essence;WARDAH;Rp275.000;Aqua, PEG-6 Caprylic/Capric Glycerides, PEG-7 Olive Glycerides, Propanediol, Glycerin, Mannitol, Propylene Glycol, Phenoxyethanol, Xylitol, Acrylates / C10-30 Alkyl Acrylate Crosspolymer, Panthenol, Chlorphenesin, Triethanolamine, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Butylene Glycol, Disodium EDTA, Fragrance, Biosaccharide Gum-2, Polysorbate 20, Chamomilla Recutita (Matricaria) Flower Extract, Ectoin, Benzoic Acid, Hydroxyectoin, Acetyl Heptapeptide-9, Xanthan Gum, Glyceryl Caprylate, Colloidal Gold, Benzyl Alcohol.;4.3;Essence;Treatment;mengoptimasi peremajaan kulit untuk wajah lebih muda bercahaya. Berperan juga sebagai activating booster untuk meningkatkan fungsi produk skin care yang digunakan selanjutnya. 
Snail EX Ultimate Boost Facial Essence;JUMISO;Rp192.000;Snail Secretion Filtrate, 1,2-Hexanediol, Dipropylene Glycol, Glycerin, Butylene Glycol, Panthenol, Sodium Polyacrylate, Water, Xylitylglucoside, Anhydroxylitol, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Allantoin, Xylitol, Sodium Hyaluronate,  Xanthan Gum, Adenosine, Pentylene Glycol, Sodium Hyaluronate Crosspolymer, Sodium Phytate, Caprylyl Glycol, Ethylhexylglycerin, Tocopherol;4.6;Essence;Treatment;menutrisi, membantu regenerasi kulit, merawat keremajaan kulit, dan menyejukkan kulit yang teriritasi ringan. kulit akan tampak lebih lembut dan bercahaya. 
Advanced Snail Radiance Dual Essence;COSRX;Rp378.750;Snail Secretion Filtrate, Butylene Glycol, Niacinamide, 1,2-Hexanediol, Betaine, Panthenol, Water, Glycerin, Limnanthes Alba (Meadowfoam) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Allantoin, Carbomer, Macadamia Ternifolia Seed Oil, Sodium Polyacrylate, Sodium Hyaluronate, Inulin Lauryl Carbamate, Arginine, Argania Spinosa Kernel Oil, Nanthan Gum, Soidum Surfactin, Ethylhexylglycerin, Glutathione;4.8;Essence;Treatment;memperkuat elastisitas kulit dan membantu mencerahkan kulit secara bersamaan. menghidrasi kulit secara mendalam dan meningkatkan elastisitas kulit, membantu mencerahkan kulit.
Phyto Niacin Whitening Essence;NACIFIC;Rp70.320;Bambusa Vulgaris Extract, Butylene Glycol, Glycerin, Niacinamide, 1,2-Hexanediol, Sodium Hyaluronate, Nelumbo Nucifera Flower Extract, Citrus Limon (Lemon) Fruit Extract, Morus Alba Bark Extract, 3-O-Ethyl Ascorbic Acid, Rosa Canina Fruit Extract, Leontopodium Alpinum Extract, Citric Acid, Sodium Benzoate, Potassium Sorbate, Arnica Montana Flower Extract, Achillea Millefolium Extract, Gentiana Lutea Root Extract, Artemisia Absinthium Extract, Alcohol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Disodium EDTA, Potassium Hydroxide;4.5;Essence;Treatment;mencerahkan kulit, mengunci kelembapan pada kulit dengan kuat, memutihkan dan memberi kelembapan pada kulit, menghilangkan noda-noda, serta mengurangi kekeringan 
