name;brand;price;ingredients;rating;sub-category;category;benefit
Precious Skin Thailand Blink Bright Complex Eye Lifting And Firming Gel;PRECIOUS SKIN;Rp118.400;AQUA, BUTYLENE GLYCOL, ALOEBARBADENSIS LEAF JUICE, CENTELLA ASIATICA EXTRACT, CUCUMIS SATIVUS FRUIT EXTRACT, PHENOXYETHANOL, CARBOMER, METHYLPARABEN, XANTHAN GUM, TRIETHANOLAMINE, DISODIUM EDTA, SODIUM HYALURONATE, NIACINAMIDE TOCOPHERYL ACETATE, CAPRYLYL GLYCOL, HYDROLYZED COLLAGEN, ACETHL TETRAPEPTIDE-5, METHYLSILANOL MANNURONATE, SORBIC ACID;5;Eye Cream;Eye Care;Mengurangi kerutan, mengangkat dan mengencangkan, mengurangi flek hitam agar tampak memudar. Siap menambah kelembapan agar terlihat sehat.
Retinol Eye Cream;VOTRE PEAU;Rp115.500;Aqua, Butylene Glycol, Dicaprylyl Carbonate, Betaine, Trehalose, Cetearyl Alcohol, Tocopheryl Acetate, Cyclomethicone, Ascorbyl Glucoside, Cetyl Alcohol, Phenoxyethanol, Dimethicone, Panthenol, Arginine, Hydroxyacetophenone, Sodium Citrate, Potassium Hydroxide, Hydroxyethylcellulose, Hydrogenated Retinol, Disodium EDTA, O-Cymen-5-Ol, Sodium Hyaluronate, Sodium Metabisulfite, Kappaphycus Alvarezii Extract;5;Eye Cream;Eye Care;mengurangi permasalahan di area mata seperti mengurangi kerutan, mengurangi kantung mata dengan membantu mengkoreksi warna kehitaman bawah mata. Dan, memberikan warna natural diarea mata.
Intensive Treatment Eye Serum;LACOCO;Rp161.100;Water, Butylene Glycol, Glycerin, Palmitoyl Hexapeptide-12, Triethanolamine, Carbomer, Pyrus Malus (Apple) Fruit Extract, Phenoxyethanol, Aloe Barbadensis Leaf Juice, Polyglutamic Acid, Ethylhexylglycerin, Tetrasodium EDTA, Fragrance;4.5;Eye Cream;Eye Care;mengurangi kerutan halus dan mencegah tanda penuaan. menghilangkan garis-garis halus serta mencegah keriput. menstimulasi produksi kolagen pada kulit untuk mendapatkan kulit yang kenyal, dan menjaga kelembaban kulit sekitar mata. berfungsi sebagai anti oksidan dan membantu mengurangi tampilan mata lelah.
BASE Smooth Solar Shield Eye Cream SPF 45 PA+++ 15g;BASE;Rp120.930;Aqua, Glycerin, Octocrylene, C15-19 Alkane, Dicaprylyl carbonate, Phenylbenzimidazole Sulfonic Acid, Saccharomyces/Xylinum/Black Tea Ferment, Caprylic/Capric Triglyceride,Diethylamino Hydroxybenzoyl Hexyl Benzoate, Diisopropyl Adipate, Nylon 6/12, Cetearyl Olivate, Triethanolamine, Propanediol, Sodium Stearoyl Glutamate, Sorbitan Olivate, Zinc Oxide, Glyceryl Stearate, PEG-100 Stearate, Butylene Glycol, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Lactobacillus/Punica Granatum Fruit Ferment Extract, Ammonium Acryloyldimethyltaurate/VP Copolymer, Hydroxyacetophenone, Silica, Propylene glycol, Decyl glucoside, BHT, Caffeine, Disodium EDTA, Hydroxyethylcellulose, Leuconostoc/Radish Root Ferment Filtrate, Sodium Dilauramidoglutamide Lysine, O-Cymen-5-ol, Xanthan Gum, Magnesium Chloride, Aloe Barbadensis Leaf Extract;4.3;Eye Cream;Eye Care;membantu menutrisi sekaligus melindungi kulit terhadap efek buruk dari sinar matahari. proteksi UV dan perawatan mata. mencerahkan dan menyamarkan lingkaran hitam, sekaligus mengurangi tampilan kantung mata. mata lelah menjadi tampak lebih segar, membantu mengurangi kerutan hingga 10% dalam waktu 8 minggu.  membantu mengurangi 16.2% kerutan setelah 14 hari dan mencerahkan lingkaran hitam setelah 30 hari. membantu mengurangi tampilan kantung mata sebanyak 0.4 cm setelah 3 jam penggunaan.
Berry Peptide Brightening Eye Cream;GLAD2GLOW;Rp88.118;AQUA,GLYCERIN,DIMETHICONE,METHYLPROPANEDIOL,COCO-CAPRYLATE/CAPRATE,MARIS AQUA,CYCLOPENTASILOXANE,CETYL ALCOHOL,OCTYLDODECANOL,GLYCERYL STEARATE,NIACINAMIDE,CYCLOHEXASILOXANE,HYDROXYACETOPHENONE,1,2-HEXANEDIOL,METHYL HYDROGENATED ROSINATE,AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER,PEG-75 STEARATE,TOCOPHERYL ACETATE,STEARETH-20,CETETH-20,BUTYLENE GLYCOL,BISABOLOL,PENTYLENE GLYCOL,LACTOBACILLUS/SOYMILK FERMENT FILTRATE,GENTIANA SCABRA ROOT EXTRACT,HYDROXYPHENYL PROPAMIDOBENZOIC ACID,CAFFEINE,SODIUM HYALURONATE,PALMITOYL PENTAPEPTIDE-4,TOCOPHEROL,CERAMIDE EOP,CERAMIDE AP,CERAMIDE NS/CERAMIDE NG,CERAMIDE AS,ACETYL TETRAPEPTIDE-5,DIPEPTIDE DIAMINOBUTYROYL BENZYLAMIDE DIACETATE,CHONDRUS CRISPUS EXTRACT,SMITHSONITE EXTRACT,PEUMUS BOLDUS LEAF EXTRACT,MORINGA OLEIFERA SEED EXTRACT,ZEA MAYS (CORN) KERNEL EXTRACT,PALMARIA PALMATA EXTRACT,PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE,CERAMIDE NP,ECHINACEA PURPUREA EXTRACT,ASCORBYL PALMITATE,LYCIUM BARBARUM FRUIT EXTRACT,TREHALOSE,SOPHORA FLAVESCENS ROOT EXTRACT,ALOE BARBADENSIS LEAF EXTRACT,HYDROGENATED LECITHIN,DENDROBIUM NOBILE STEM EXTRACT,ERYTHRITOL,XANTHAN GUM,PENTAERYTHRITYL TETRA-DI-t-BUTYL HYDROXYHYDROCINNAMATE,DISODIUM EDTA,CYCLODEXTRIN,POLYSORBATE 20,CARBOMER,ARGININE;5;Eye Cream;Eye Care;merawat puffy eyes dan mencerahkan lingkar hitam area mata, memberikan sensasi dingin. membantu menjaga elastisitas kulit area mata.  Mengurangi lingkar hitam area mata, Mencerahkan lingkar hitam area mata,è Menjaga kekencangan kulit di area sekitar mata Hero, Melembabkan dan mencerahkan kulit, Membantu menjaga elastisitas kulit, Membantu mencerahkan kulit, Merawat puffy eyes
Fundamental Nourishing Eye Butter;DEAR KLAIRS;Rp244.000;Water, Glycerin, Stearic Acid, 1,2-Hexanediol, Helianthus Annuus (Sunflower) Seed Oil, Betaine, Caffeine, Phaseolus Angularis Seed Extract, Artemisia Princeps Leaf Extract, Camellia Sinensis Leaf Extract, Chaenomeles Sinensis Fruit Extract, Chrysanthellum Indicum Extract, Cinnamomum Cassia Bark Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Diospyros Kaki Leaf Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Sanctum Leaf Extract, Acetyl Hexapeptide-8, Copper Tripeptide-1, Oligopeptide-29, Oligopeptide-32, Panthenol, Pantolactone, Hydrogenated Lecithin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Hyaluronate, Glyceryl Stearate, Sorbitan Isostearate, Cetearyl Alcohol, Propanediol, Arachidic Acid, Oleic Acid, Palmitic Acid, Caprylyl/Capryl Glucoside, Ethylhexylglycerin;4.8;Eye Cream;Eye Care;melindungi kulit di area sekitar mata uang cenderung lebih tipis dan sensitif. mengatasi garis-garis halus. Menutrisi tanpa meninggalkan rasa oily yang tidak nyaman.
Completed Revitalizing Pearl Eye Cream;KLAVUU;Rp719.250;Water, Dipropylene Glycol, Cyclopentasiloxane, Cetearyl Alcohol, Ethylhexyl Palmitate, Glycerin, Cyclohexasiloxane, Dimethicone, Butylene Glycol, Glycereth-26, Niacinamide, Caprylic/Capric/Myristic/Triglyceride, Glyceryl Stearate SE, Pearl Extract, Macadamia Ternifolia Seed Oil, Codium Tomentosum Extract, Enteromorpha Compressa Extract, Macrocystis Pyrifera (Kelp) Extract, Ecklonia Cava Extract, Gelidium Cartilagineum Extract, Laminaria Japonica Extract, Sea Whip Extract, Chlorella, Vulgaris Extract, Spirulina Platensis Extract, Pentylene Glycol, Glyceryl Stearate, PEG-100 Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sorbitan Stearate, Caprylyl Glycol, Sodium Polyacrylate, Adenosine, Arginine, Ceramide 3, Phytosphingosine, 12-Hexanediol, Xanthan Gum, Disodium EDTA, Phenoxyethanol, Fragrance (Parfum);5;Eye Cream;Eye Care;menjaga elastisitas kulit, menyamarkan tanda-tanda penuaan dini di area mata / menyamarkan garis halus di area mata. mencerahkan dan menyamarkan kerutan halus di sekitar mata.
Revive Eye Cream: Ginseng + Retinal;BEAUTY OF JOSEON;Rp202.800;Water, panax ginseng root extract, glycerin, dipropylene glycol, caprylic/capric triglyceride, 1,2-hexanediol, pentaerythrityl tetraethylhexanoate, niacinamide, butylene glycol dicaprylate/dicaprate, cetearyl alcohol, sorbitan olivate, cetearyl olivate,butylene glycol, hydrogenated lecithin, tromethamine, carbomer, glyceryl stearate,macadamia ternifolia seed oil, Ethylhexylglycerin, Adenosine, Cholesterol, Dextrin, Polyglyceryl-10 Oleate, Theobroma Cacao Extract, Disodium Edta, Brassica Campestris (Rapeseed) Sterols, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Retinal, Silica, Aluminum/Magnesium Hydroxide Stearate, Sodium Hyaluronate, Tocopherol, Potassium Cetyl Phosphate, Pentaerythrityl Tetra-Di-T-Butyl, Hydroxyhydrocinnamate, Ceramide Np, Palmitoyl Tripeptide-5;2.8;Eye Cream;Eye Care;merawat kulit di area mata, menyamarkan garis-garis halus, membantu meremajakan kulit, mampu mencegah tanda-tanda penuaan pada area mata seperti kulit yang kendur dan keriput.
Eye Cream;WHITELAB;Rp88.500;Aqua, Cyclopentasiloxane, Glycerin, Dimethiconol, Niacinamide, Butylene Glycol, Phenoxyethanol, Polyacrylamide, Avena Sativa Kernel Oil, C13-14 Isoparaffin, Laureth-7, Carbomer, Triethanolamine, Tocopheryl Acetate, Allantoin, Chlorphenesin, Chenopodium Quinoa Seed Extract, Glycogen, Sodium Hyaluronate, Beta-glucan, Caffeine, Perfume, Poria Cocos Extract, Dipeptide-2, Copper Tripeptide-1, Acetyl Tetrapeptide-5, Hydroxypropyl Cyclodextrin, Caprylyl Glycol, Polysorbate-20, Acetyl Hexapeptide-8, Palmitoyl Tripeptide-38, Pentapeptide-18, Citric Acid, Decapeptide-12, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7;5;Eye Cream;Eye Care;Meningkatkan kekencangan kulit, Membantu mengurangi garis halus disekitar mata, Meningkatkan produksi kolagen, Meminimalisir dan mengencangkan kantung mata, Meningkatkan hidrasi dan kelembaban kulit, Meregenerasi sel-sel kulit pada area sekitar mata, Membantu mencerahkan area gelap di sekitar mata
Age Defy Eye Contour Treatment Cream;SAFI;Rp139.900;Aqua, Niacinamide, Glycerin, Dimethicone, Arachidyl Glucoside, Isohexadecane, Cyclopentasiloxane, Cyclohexasiloxane, Dimethicone Crosspolymer, Chrysin, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Polyacrylate-13, Carbomer, Carnosine, Xanthan Gum, Methyl Methacrylate Crosspolymer, Sodium Hydroxide, Mica, Tin Oxide, Disodium EDTA, Colloidal Gold, Acetyl Heptapeptide-9, Ascorbyl Tetraisopalmitate, Sericin, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin, CI 77891.;4.8;Eye Cream;Eye Care;membantu menyamarkan garis halus di sekitar mata, menyamarkan lingkar hitam di sekitar mata, mencerahkan kulit di sekitar mata, menjaga kulit mata tetap lembab.
