name;brand;price;ingredients;rating;sub-category;category;benefit
Bulgarian Rose Hydrogel Eyepatch;HEIMISH;Rp204.000;Water, Glycerin, Niacinamide, Chondrus Crispus (Carrageenan), Butylene Glycol, Cocos Nucifera (Coconut) Fruit Extract , Pinus Sylvestris Leaf Extract, Propanediol, Pentylene Glycol, Rosa Damascena Flower Water(1000ppm), Nelumbo Nucifera Flower Extract, Portulaca Oleracea Extract, Hamamelis Virginiana (Witch Hazel) Extract , Centella Asiatica Extract, Ethylhexylglycerin, Sodium Hyaluronate, Dipotassium Glycyrrhizate, PEG-60 Hydrogenated Castor Oil, Ceratonia Siliqua Gum, Sucrose, Potassium Chloride, Cyamopsis Tetragonoloba (Guar) Gum, Calcium Chloride, Allantoin, Tripropylene Glycol, Dipropylene Glycol, Cellulose Gum, Chondrus Crispus Powder, Ricinus Communis (Castor) Seed Oil, Calcium Aluminum Borosilicate, Tin Oxide, Carmine, Calcium Lactate, Adenosine, Synthetic Fluorphlogopite, Titanium Dioxide, Disodium EDTA, Ethyl Hexanediol, 1,2-Hexanediol, Chlorphenesin, Arginine, Fragrance;4.4;Eye Mask;Eye Care;Membantu menyamarkan kerutan. Melembabkan, merevitalisasi, menjaga elastisitas, dan menyejukkan kulit
Pack Sheet Eyes;DHC;Rp179.100;water/aqua/eau, glycerin, sodium polyacrylate, pentylene glycol, sodium polyacrylate starch, dipropylene glycol, tartaric acid, aloe barbadensis leaf juice, phenoxyethanol, butylene glycol, alcloxa, sorbitan isostearate, alpha-arbutin, PCA ethyl cocoyl arginate, PPG-8-ceteth-20, olea europaea (olive) leaf extract, morus alba root extract, acetyl tyrosine, pueraria lobata root extract, paeonia suffruticosa root extract, glycine soja (soybean) seed extract, aloe barbadensis leaf extract, chlorella vulgaris extract;4.2;Eye Mask;Eye Care;menguatkan dan menghidrasi kulit area bawah mata, membantu mencerahkan area bawah mata dan menutrisi kulit. mencerahkan kantung mata gelap, MENCERAHKAN KULIT DAN MENGURANGI MUNCULNYA LINGKARAN GELAP.  MELINDUNGI LAPISAN KULIT DI BAWAH MATA. - MENYAMARKAN LINGKARAN GELAP BAWAH MATA - MENCERAHKAN KULIT - MENUTRISI - MENGENCANGKAN KULIT
Aloe Vera Eye Mask;BREYLEE;Rp72.000;AQUA, GLYCERIN, PROPYLENE GLYCOL, CHONDRUS CRISPUS, DIPROPYLENE GLYCOL, SODIUM POLYACRYLOYLDIMETHYL TAURATE, ERIOBOTRYA JAPONICA LEAF EXTRACT, MENTHA VIRIDIS EXTRACT, ALOE BARBADENSIS EXTRACT, XYLITYLGLUCOSIDE, ANHYDROXYLITOL, POTASSIUM CHLORIDE, HEXYLENE GLYCOL, GLUCOMANNAN, HYDROXYACETOPHENONE, SODIUM POLYGLUTAMATE, XYLITOL, SODIUM HYALURONATE, GLUCOSE, SYNTHETIC FLUORPHLOGOPITE, PARFUM, CI 77288;4.5;Eye Mask;Eye Care;Melembabkan hingga ke dalam kulit dan membuat kulit terhidrasi dan elastis. Memperbaiki kulit sekitar area mata. dapat melembabkan kulit area sekitar mata, dan menyamarkan garis-garis halus. merawat kekencangan kulit di area sekitar mata.
Orange Blossom Eye Mask;BREYLEE;Rp72.000;AQUA, GLYCERIN, PROPYLENE GLYCOL, DIPROPYLENE GLYCOL, CHONDRUS CRISPUS, CITRUS AURANTIUM AMARA FLOWER EXTRACT, ASCORBIC ACID, GLYCYRRHIZA, GLABRA ROOT EXTRACT, HYDROLYZED PRUNUS DOMESTICA, SODIUM POLYACRYLOYLDIMETHYL TAURATE, HYDROXYACETOPHENONE, HEXYLENE GLYCOL, NIACINAMIDE, 3-O-ETHYL ASCORBIC ACID, XYLITYLGLUCOSIDE, ANHYDROXYLITOL, SODIUM HYALURONATE, GLUCOMANNAN, POTASSIUM CHLORIDE, SODIUM POLYGLUTAMATE, XYLITOL, GLUCOSE;4.5;Eye Mask;Eye Care;Mencerahkan warna kulit sekitar mata, Melembabkan hingga ke dalam dan memperbaiki kulit sekitar area mata. mencerahkan kulit dan menyamarkan lingkaran hitam di area sekitar mata. membantu merawat dan mencerahkan kulit di area sekitar mata. membuat kulit Anda terasa lembab dan halus.
MegRhythm Steam Eye Mask;MEGRHYTHM;Rp74.600;Nonwoven fabrics HeatCell: Iron Powder, Activated Carbon, Water, Fragrance.;5;Eye Mask;Eye Care;merilekskan mata yang lelah
Lacoco Watermelon Brightening Eye Patch;LACOCO;Rp63.000;Aqua, Butylene Glycol, Hydroxyacetophenone, 1,2-Hexanediol, Lecithin, PVP, Inositol, Citrullus Lanatus Fruit Extract, Trehalose, Glycereth-7, Sodium Polyacrylate, Annas Sativues (Pineapple) Fruit Extract, PEG-40 Hydrogenated Castor Oil, Xanthan Gum, Sodium Polyglutamate, Nymphaea Alba Flower Extract, Cocos Nucifera (Coconut) Oil, Menthol, Menthyl Lactate, Prunus Amygdalus Dulcis Seed Extract, Leuconostoc / Radish RootFerment Filtrate, Gardenia Taitensis Flower, Tocopherol.;5;Eye Mask;Eye Care;kulit sekitar mata akan tampak lebih segar dan cerah merata. Kulit sekitar mata yang terhidrasi dengan baik akan terlihat lebih segar. membantu mencegah tanda penuaan. merawat kekencangan kulit, melembapkan dan menyamarkan adanya kerutan.
Real Vegan Collagen Eyepatch;KLAVUU;Rp296.100;Water, Glycerin, Dipropylene Glycol, Niacinamide, Ceratonia Siliqua (Carob) Gum, Hydrolyzed Collagen, Hydrolyzed Extensin, Daucus Carota Sativa (Carrot) Root Extract, Butylene Glycol, Allantoin, Chondrus Crispus Extract, Chondrus Crispus Powder, Hydroxyacetophenone, Cellulose Gum, Caprylyl Glycol, Potassium Chloride, Sucrose, Ethylhexylglycerin, Gardenia Florida Fruit Extract, Dextrin, Hydrolyzed Gardenia Florida Extract, Dipotassium Glycyrrhizate, Maltodextrin, 1,2-Hexanediol, Adenosine, Disodium EDTA;5;Eye Mask;Eye Care;mengencangkan dan meningkatkan elastisitas kulit area mata.
Wide Awake Eye Patch;EVERSINCE;Rp199.000;Aqua, Butylene glycol, Glycerin, Propylene Glycol, Niacinamide, Lavandula angustifolia water, Rosa canina flower extract, Allantoin, Aloe Barbadensis Leaf Extract, Cocos nucifera water, Sodium hyaluronate, Plankton Extract, Phenoxyethanol, Hydroxyethylcellulose, Disodium EDTA, Tromethamine, 1,2-hexanediol, Sodium nitrate, Sodium Benzoate, Potassium Sorbate, Tapioca starch, Citric Acid, Glyoxal. ;4.6;Eye Mask;Eye Care;Menyegarkan dan Mengembalikan Energi pada Mata Lelah
MegRhythm Steam Eye Mask Sakura 5pcs;MEGRHYTHM;Rp48.490;Polypropylene, Polyethylene, Iron Powder.;4.8;Eye Mask;Eye Care;memberikan efek relaksasi pada mata lelah dan pegal dengan Teknologi Uap Hangat
Rose Eye Mask;BREYLEE;Rp72.000;AQUA, GLYCERIN, PROPYLENE GLYCOL, CHONDRUS CRISPUS, DIPROPYLENE GLYCOL, SODIUM POLYACRYLOYLDIMETHYL TAURATE, ERIOBOTRYA JAPONICA LEAF EXTRACT, MENTHA VIRIDIS EXTRACT, ROSA RUGOSA FLOWER EXTRACT, XYLITYLGLUCOSIDE, ANHYDROXYLITOL, POTASSIUM CHLORIDE, HEXYLENE GLYCOL, GLUCOMANNAN, HYDROXYACETOPHENONE, SODIUM POLYGLUTAMATE, XYLITOL, SODIUM HYALURONATE, GLUCOSE, SYNTHETIC FLUORPHLOGOPITE, PARFUM, CI 77491;4.8;Eye Mask;Eye Care;Menyamarkan kerut dan meningkatkan elastisitas kulit pada mata, Melembabkan hingga ke dalam dan memperbaiki kulit sekitar area mata. dapat menutrisi kulit dan melembabkan kulit di area sekitar mata. merawat kekencangan kulit, serta menyamarkan lingkaran hitam di area sekitar mata.
