name;brand;price;ingredients;rating;sub-category;category;benefit
Crystallure Superme Advance Eye Serum;WARDAH;Rp187.000;Aqua, Glycerin, Isohexadecane, Dipropylene Glycol, Dimethicone, Niacinamide, Methyl Methacrylate Crosspolymer, Nylon-12, PEG-10 Dimethicone, Butylene Glycol, Phenoxyethanol, Hydrogenated Castor Oil, Bisabolol, Ectoin, Dimethicone/PEG-10/15 Crosspolymer, Chlorphenesin, Dimethicone/Polyglycerin-3 Crosspolymer, Disodium EDTA, Chenopodium Quinoa Seed Extract, Hydroxyectoin, Caprylyl Glycol, Sodium Citrate, Acetyl Hexapeptide-8, Benzoic Acid, Tocopherol, Acetyl Heptapeptide-9, Xanthan Gum, Glyceryl Caprylate, Colloidal Gold, Propanediol, Benzyl Alcohol.;4.4;Eye Serum;Eye Care;mengoptimalisasi peremajaan kulit pada daerah sekitar mata sehingga kulit lebih kenyal, kencang dan cerah, membantu meminimalkan tampilan garis-garis halus. menjadikan area mata terasa lebih kencang dan kenyal, serta menghidrasinya. menyamarkan kantung mata, lingkaran hitam, dan kerutan di sekitar mata
Sukin Brightening Illuminating Eye Gel 15ml Tube;SUKIN;Rp159.250;Water (Aqua), Glycerin, Hydroxyethylcellulose, Terminalia Ferdinandiana Fruit Extract (Kakadu Plum), Caffeine, Coffea Arabica (Coffee) Seed Extract, Ananas Sativus (Pineapple) Fruit Extract, Carthamus Tinctorius (Safflower) Extract, Squalane, Coconut Alkanes, Cetearyl Olivate, Sorbitan Olivate, Coco-Caprylate/Caprate, Xanthan Gum, Lecithin, Citric Acid, Phenoxyethanol, Benzyl Alcohol, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate.;4.7;Eye Serum;Eye Care;menutrisi serta melembapkan area kulit mata  - Mengurangi dark circles dan mencerahkan area mata
Serum Mata Roll On Retinol - Menyamarkan Kerutan Halus;BREYLEE;Rp44.000;Aqua, Glycerin, Cyclopentasiloxane, Ethylhexylglycerin, 1,2-Hexanediol, Scutellaria Baicalensis Root Extract, Betaine, Cyclohexasiloxane, Sophora Angustifolia Root Extract, Tocopherol, Dimethicone, Triethoxycaprylylsilane, Panthenol, Phenoxyethanol, Ethylhexyl Palmitate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isononyl Isononanoate, Titanium Dioxide, Hyaluronic Acid, Hydrogenated Polyisobutene, Carbomer, Triethanolamine ,Xanthan Gum, Methylparaben, Synthetic Fluorphlogopite;4.4;Eye Serum;Eye Care;Melembabkan, men- gencangkan, dan membantu memperbaiki kulit. Efektif untuk menyamarkan garis- garis halus, kerutan, dan kantong mata, melembutkan serta mengencangkan kulit area mata dan membantu mencerahkan area mata akibat lingkaran hitam dan kantong mata.
Advance Action Eye Ampoule;AVOSKIN;Rp236.550;Water, Butylene Glycol, Pullulan, Niacinamide, Propanediol, Sodium Polyacrylate, 1,2-Hexanediol, Caprylhydroxamic Acid, Cucumis Sativus (Cucumber) Fruit Extract, Lactobacillus Ferment Lysate, Camellia Sinensis Leaf Extract, Punica Granatum Extract, Caprylyl Glycol, Sodium Hydroxide, Lactobacillus Ferment, Acetyl Tetrapeptide-5, Caffeine, Acetyl Hexapeptide-8;4.4;Eye Serum;Eye Care;merawat kulit sekitar mata dengan lebih optimal.
Eucalie Organic Lash & Brow Serum Bulu Mata Alis - Castor Peptide;EUCALIE;Rp151.240;Organic Castor Oil, Zinc, Acetyl Tetra Peptide-3, Green Tea Extract, Clover Flower Extract, Larix Europaea Wood Extract, Glycerin;4.9;Eye Serum;Eye Care;menutrisi dan merawat kesuburan bulu mata dan alis, Menjaga kekuatan bulu mata dan alis agar tidak mudah rontok, Merawat kondisi & meningkatkan penampilan bulu mata & alis
BASE Youthful Concentrate Eye Serum 15g;BASE;Rp125.100;Aqua, Glycerin, C15-19 Alkane, Butylene Glycol, 3-O-Ethyl Ascorbic Acid, Propanediol, Cetearyl Olivate, Caprylic/capric Triglyceride, Dicaprylyl Carbonate, Xanthan Gum, Niacinamide, Sorbitan Olivate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Bakuchiol, Hydroxyacetophenone, Fraxinus Excelsior Bark Extract, BHT, Disodium EDTA, Glycolic Acid, Caprylyl Glycol, Potassium Citrate, Silanetriol, O-Cymen-5-ol, Acetyl Hexapeptide-8;4;Eye Serum;Eye Care;membantu mencegah tanda-tanda penuaan dini. Membantu mencerahkan, menyamarkan kerutan, dan merawat kekencangan kulit sekitar mata. Serum yang menargetkan tanda penuaan sekitar mata untuk mendapatkan tampilan mata lebih muda dan cerah. mengurangi kerutan dan kantung mata. Lengkap dengan sensasi dingin untuk menyejukkan mata lelah. mengurangi kerutan, meningkatkan elastisitas kulit dan membantu mengurangi kerutan, mengurangi area lingkaran hitam dan intensitas kegelapan
Bio Gold Eye Power Illuminator;BIO-ESSENCE;Rp383.900;Water, Butylene Glycol, Niacinamide, Euglena Gracilis Extract, Acetyl Tetrapeptide-5, Caprooyl Tetrapeptide-3, Glycerin, Tocopherol, Dextran, Pentylene Glycol, Glycerin, Urea, Sodium Hydroxide, Fructose, Citric Acid, Trehalose, Sodium PCA, Sodium Lactate, Sodium Chloride, Maltose, Allantoin, Sodium Hyaluronate, Glucose, Panax Ginseng Root Extract, Angelica Archangelica Root Extract, Lycium Barbarum Fruit Extract, Camellia Sinensis Leaf Extract, Aloe Barbadensis Leaf Juice, Sodium Carbomer, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Fragrance, Zinc Chloride, Sodium Oxide, Calcium Oxide, Magnesium Oxide, Alumina, Ferric Chloride, Phenoxyethanol, Chlorphenesin, Colloidal Gold;4.6;Eye Serum;Eye Care;membantu menyamarkan tanda awal penuaan kuit agar area mata tampak cerah berseri. Memberikan nutrisi untuk membantu memelihara tampilan tekstur kulit dan menyamarkan garis-garis halus disekitar mata. Menyamarkan kantung mata akibat kurang tidur, mata menjadi nampak segar dan tetap sehat. Formulanya membantu menyamarkan area gelap bawah mata agar mata nampak cerah dan bercahaya. Membantu mengurangi tampilan kusam di sekitar mata agar mata nampak lebih besar dan hidup.
Glo Rad+ Instant Refresh Puffy Eyes Eye Wake Up Roller;EMINA;Rp85.800;Aqua, Niacinamide, Glycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Propanediol, Aluminum Starch Octenylsuccinate, Hydroxypropyl Methylcellulose, Polyglyceryl-10 Laurate, Polyglyceryl-4 Caprate, Pullulan, Titanium Dioxide, 1,2-Hexanediol, Chlorphenesin, Polyacrylate Crosspolymer-6, Allantoin, Propylene Glycol, Sorbitan Oleate, Disodium EDTA, Glycyrrhiza Glabra (Licorice) Root Extract, Caprylhydroxamic Acid, Porphyridium Cruentum Extract, Diosmine, Coleus Forskohlii Root Extract, Butylene Glycol, Ammonium Polyacrylate, Phenoxyethanol, Lecithin, Ferulic Acid, Chenopodium Quinoa Seed Extract, Palmitoyl Tetrapeptide-7, Hydroxyethylcellulose, Laurdimonium Hydroxypropyl Hydrolyzed Soy Protein, Polysorbate 20, PEG-35 Castor Oil, PEG-40 Hydrogenated Castor Oil, Tocopheryl Acetate, CI 77492, CI 77491, CI 77499.;5;Eye Serum;Eye Care;memberikan instant-refresh dan mengecilkan mata panda. memberikan instant mencerahkan, soothing dan calming pada mata yang lelah dan berkantung. meningkatkan sirkulasi darah dan meningkatkan skin barrier pada area sekitar mata. sebagai teknologi yang dapat memberikan sampai 10 layer kulit terdalam
Glycolic Bright Eye Serum;LOREAL PARIS;Rp131.750;AQUA / WATER, NIACINAMIDE, GLYCERIN, PEG/PPG/POLYBUTYLENE GLYCOL-8/5/3 GLYCERIN, BUTYLENE GLYCOL, ASCORBYL GLUCOSIDE, METHYL GLUCETH-20, CARBOMER, GLYCOLIC ACID, TRIETHANOLAMINE, SODIUM HYALURONATE, PHENOXYETHANOL, CAPRYLYL GLYCOL, CITRUS LIMON FRUIT EXTRACT / LEMON FRUIT EXTRACT, BIOSACCHARIDE GUM-1, POLYSORBATE 20;5;Eye Serum;Eye Care;Serum ini membantu mencerahkan area bawah mata, menyamarkan lingkaran hitam, meratakan warna kulit, memberikan efek pijatan yang menyegarkan, serta menghadirkan sensasi dingin instan untuk mengurangi tampilan mata lelah.
Retinol Complex Power Eye Serum;TRUEVE;Rp117.510;Retinol Complex, Ameyezing, Ceraboost, Caffeine;4.5;Eye Serum;Eye Care;Serum ini membantu mengurangi garis halus dan kerutan, menyamarkan lingkaran hitam, serta merawat dan menutrisi kulit di sekitar mata agar tampak lebih segar dan muda.
