name;brand;price;ingredients;rating;sub-category;category;benefit
SKIN1004 Madagascar Centella Cream;SKIN1004;Rp 71.630 - Rp 170.000;Centella Asiatica Extract, Squalane, Niacinamide, Adenosine;4.7;Face Cream;Moisturizer;Mencerahkan kulit Mengurangi kerutan Menenangkan kulit yang teriritasi Memperkuat skin barrier Melembapkan kulit Memberikan nutrisi untuk kulit lebih sehat dan kuat
Ultra Gleam Purifying Lotion;BASE;Rp170.100;Aqua, Helianthus Annuus Sunflower Seed Oil, Squalane, Rosa Canina Fruit Oil, Aloe Barbadensis Leaf Extract, Glycerin, Cetearyl Olivate, Sorbitan Olivate, Cetyl Alcohol, Ubiquinone, Hippophae Rhamnoides Fruit Extract, Rosmarinus Officinalis Leaf Extract, Dehydroacetic Acid, Tocopherol, Allantoin, Lysolecithin, Sclerotium Gum, Xanthan Gum, Pullulan, Sodium Hydroxide, Benzyl Alcohol, Benzoic Acid, Citric Acid, Potassium Sorbate, Sodium Benzoate;2.8;Face Cream;Moisturizer;meningkatkan kelembaban alami kulitmu. membantu untuk menstimulasi produksi elastin pada kulit, sehingga kulit menjadi lebih kenyal & plum.
Tea Tree Control Emulsion;PAPA RECIPE;Rp233.100;Aqua, Glycerin, Butylene Glycol, PEG/PPG-17/6 Copolymer, Melaleuca Alternifolia Leaf Water, 1,2-Hexanediol, Glycereth-25 PCA Isostearate, Betaine, Carbomer, Caprylyl Glycol, Tromethamine, Ethylhexylglycerin, Glyceryl Polyacrylate, Disodium EDTA, Melaleuca Alternifolia Leaf Oil, Sodium Polyacrylate, Pentylene Glycol, Eucalyptus Globulus Leaf Oil, Sodium Hyaluronate, Centella Asiatica Extract, Camellia Sinensis Leaf Extract, Portulaca Oleracea Extract, Undaria Pinnatifida Extract, Eucalyptus Globulus Leaf Extract.;0;Face Cream;Moisturizer;menjaga keseimbangan minyak di wajah. memberikan kelembapan dan nutrisi pada wajah. Wajah tetap terasa kenyal, halus dan lembut.
DR.G Dermoisture Barrier D Lotion;DR.G;Rp409.600;Aqua, Propanediol, Hydrogenated Polydecene, Squalane, Polyglyceryl-3 Distearate., Glycerin, Vinyl Dimethicone, Silica, Sorbitan Stearate, 1,2-Hexanediol, Cetearyl Olivate, Ceramide NP, Caprylyl Glycol, Sorbitan Olivate, Olea Europaea Oil Unsaponifiables, Hydrogenated Lechitin, Glyceryl Stearate Citrate, Polyacrylate Crosspolymer-6, Glyceryl Glucoside, Xanthan Gum, Soybean (Glycine Soja) Oil Unsaponifiables, Triticum Vulgare Germ Oil Unsaponifiables, Tocopherol, Isomalt, Sucrose Cocoate, Cholesterol, Gluconolactone, Ethylhexylglycerin, Palmitic Acid, Caprylic/Capric Triglyceride, Pollen Extract, Disodium EDTA, Sodium Hyaluronate, Xylitylglucoside, Anhydroxylitol, T-Butyl Alcohol, Polyglyceryl-10 Stearate, Polyglyceryl-10 Oleate, Xylitol, Glucose, Aluminum/Magnesium Hydroxide Stearate, Myristic Acid, Tremella Fuciformis Polysaccharide, Sodium Stearoyl Glutamate, Stearic Acid, 7-Dehydrocholesterol, Sodium Ascorbyl Phosphate, Calcium Chloride, Vitis Vinifera Juice Extract, Phytol.;0;Face Cream;Moisturizer;menghidrasi kulit. menjaga skin barrier dan menjadikan kulit tetap lembap.
Lait Creme Sensitive;EMBRYOLISSE;Rp385.200;Aqua (Water), Caprylic/?Capric Triglyceride, Glycerin, Octyldodecanol, Cetearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Cera Alba (Beeswax), Cetyl Phosphate, 1,2-Hexanediol, Caprylyl Glycol, Acrylates/?C10-30 Alkyl Acrylate Crosspolymer, Sodium Hydroxide, Propylene Glycol, Tocopherol, Tropolone, Glycine Soja (Soybean) Oil, Hydrolyzed Soy Protein, Aloe Barbadensis Leaf Extract;5;Face Cream;Moisturizer;membuat kulit terasa lembut dan halus sepanjang hari.
Acne Care;AYOM;Rp310.000;Aqua, Centella asiatica extract, Glycerin, Petroalatum, Isopropyl myristate, Niacinamide, Cetyl alcohol, Dimethicone, Phenoxyethanol, EthylhexyIglycerin, Cocamidopropyl dimethylamine, Cetearyl alcohol, Hydrogen peroxide, Butyleneglycol, Myristoyl hexapeptide-5, Salicylic acid, Glycery stearate, Propylene glycol, Triethanolamine, Benzoic acid, Caprylyl glycol, Ceteareth-20, Disodium EDTA, PEG-40 Stearate, Sodium chloride, Phragmites kharka extract, Poria cocos extract, Lactococus ferment lysate, Glycolic acid, PEG-60 Hydrogenated castor oil, Glyceryl caprylate, Lactobacillus/Pear juice ferment filtrate, o-Cymen-5-ol, Phellodendron amurense bark extract, Lactic acid, Salix alba bark extract, Rehmannia chinensis root extract, Sodium benzoate, Melia azadirachta leaf extract, Scutellaria baicalensis root extract, Houttuynia cordata extract, Glycine soja seed extarct;0;Face Cream;Moisturizer;mengurangi jerawat, menghidrasi dan menenangkan kemerahan, sekaligus mengembalikan kekuatan serta keseimbangan alami kulit. membuat jerawat kering dan tidak gatal
Niacinamax Dark Spot Moisturizer;TRUEVE;Rp113.880;Aqua, Niacinamide, Butylene Glycol, Methyl Propanediol, Glycerin, Cyclopentasiloxane, Aluminum Starch Octenylsuccinate, Cetearyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Hexylresorcinol, Fructooligosaccharides, Beta Vulgaris (Beet) Root Extract, Ceramide NP, Cholesterol, Phytosphingosine, Lactic Acid, Saccharide Isomerate, Phenoxyethanol, Panthenol, Centella Asiatica Leaf Extract, Allantoin, Salicylic Acid, Glycine Soja (Soybean) Oil, Ascorbyl Propyl Hyaluronate, Phragmites Karka Extract, Poria Cocos Extract, Citric Acid, Glycolipids, Tocopherol, Dimethylsilanol Hyaluronate, Sodium Hyaluronate, Benzyl Alcohol, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Potassium Hyaluronate, Sodium Acetylated Hyaluronate, Sodium Hyaluronate Crosspolymer, Propylene Glycol, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Triethanolamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C15-19 Alkane, Acrylates/Beheneth-25 Methacrylate Copolymer, BHT, Sodium Bisulfite, Tetrasodium EDTA, Ethylhexylglycerin, Lauryl Glucoside, Azelamidopropyl Dimethyl Amine, Potassium Lactate, Tris (Tetramethylhydroxypiperidinol) Citrate, Sodium Benzoate, Potassium Sorbate, Lecithin, Pentylene Glycol, Benzoic Acid, Dehydroacetic Acid, Fragrance.;4.8;Face Cream;Moisturizer;Menyamarkan noda hitam (Dark Spot)  Membantu mencerahkan kulit  Meningkatkan kelembapan kulit  Merawat skin barrier Bantu mencerahkan kulitmu lebih efektif dan teruji secara klinis. mengeksfoliasi kulitmu secara gentle dan membuat kerja skincare menjadi lebih efektif di kulit. 
Moisturizing Essence;AYOM;Rp310.000;Aqua, Glycerin, Centella asiatica extract, Petrolatum, Isopropyl myristate, Cetyl alcohol, Dimethicone, Hydrolyzed corn starch, Beta vulgaris root extract, Cetearyl alcohol, Butylene glycol, Propylene glycol, Glyceryl stearate, Triethanolamine, Benzoic acid, Caprylyl glycol, Disodium EDTA, PEG-40 stearate, Ceteareth 20, Opuntia ficus indica stem extract, Sodium chloride, Phenoxyethanol, Poria cocos extract, Phragmites kharka extract Niacinamide, Lactococcus ferment lysate, Acetyl glucosamine, Camellia japonica leaf extract, Centella asiatica extract, Morus alba bark extract, Broussonetia papyrifera bark extract, Camellia sinensis leaf extract, Rhus semialata extract, Pyrus malus fruit extract, Ethylhexylglycerin, Caprylhydroxamic acid, Tricholoma matsutake extract, Lactic acid, Sodium benzoate;0;Face Cream;Moisturizer;melembabkan dan menenangkan kulit, menyeimbangkan kadar air, serta mendukung fungsi skin barrier yang sehat. membuat wajah nyaman sepanjang hari!
Blue Moon Moisturizer;HAPLE;Rp108.290;Aqua, Rosa Damascena (Rose) Flower Water, Glycerin, Vitis Vinifera (Grape) Seed Oil, Isohexadecane, Simmondsia Chinensis (Jojoba) Seed Oil, Cetearyl Alcohol, Glyceryl Stearate, Alpha Arbutin, Niacinamide, Rosa Canina (Rose Hip) Seed Oil, Glycyrrhiza Glabra (Licorice) Root Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice, Camellia Sinensis (Green Tea) Leaf Extract, Inositol, Citrus Medica Limonum (Lemon) Extract, Avena Sativa (Oat) Kernel Extract, Octyl Palmitate, Phenoxyethanol, PEG-100 Stearate, Gotu Kola Extract, Panax Ginseng Root Extract, Polyacrylamide, C13-14 Isoparaffin, C9-11 Pareth-6, Sodium Hyaluronate, Carbomer, Polysorbate 60, Foeniculum Vulgare (Fennel) Fruit Extract, Humulus Lupulus (Hops) Extract, Melissa Officinalis Leaf Extract, Viscum Album (Mistletoe) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Achillea Millefolium Extract, Tocopheryl Acetate, Triethanolamine, Tetrasodium EDTA;4.8;Face Cream;Moisturizer;Melembabkan, Mencerahkan dan membantu menyamarkan noda hitam bekas jerawat
Freshly Juiced Vitamin E Mask Miniature 15ml;DEAR KLAIRS;Rp99.200;Water, Glycerin, Butylene Glycol, Tocopheryl Acetate, Niacinamide, Sodium Hyaluronate, Carrageenan, Gellan Gum, Betaine, Algin, Mannan, Ceramide NP, PEG-60 Hydrogenated Castor Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Chlorphenesin, Arginine, Ethylhexylglycerin, Centella Asiatica Extract, Rubus Fruticosus (Blackberry) Fruit Extract, Salicornia Herbacea Extract, Phragmites Communis Extract, Adenosine, Lavandula Angustifolia (Lavender) Oil, Eucalyptus Globulus Leaf Oil, Pelargonium Graveolens Flower Oil, Citrus Limon (Lemon) Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Cananga Odorata Flower Oil, Linalool, Limonene;5;Face Cream;Moisturizer;mencerahkan dan mengurangi tampilan bintik hitam. Juga melindungi kulit dari paparan sinar UV pada siang hari, dan membantu memperbaiki kerutan dan regenerasi kulit pada malam hari.
