name;brand;price;ingredients;rating;sub-category;category;benefit
YOU Radiance Glow Active Night Gel;YOU BEAUTY;Rp93.500;Water, PPG-24-Glycereth-24, Panthenol, Betaine, Propaneaiof, Phenoxyethanof, Hydroxyacetophenone, Niacinamide, Lactobionic Acid, Alfantoin, Carbomer, Triethanolamine, PER-40 Hydrogenated Castor Oil, Soaium Hyaluronate, Disodium EDTA, Pentyfene Glycol, Capryfic/Capric Triglyceride, Propyfene Glycol, Calendufa Officinalis Flower Extract, 4-T-Butyfcycfohexanol, Gfycerin, Butylene Glycol, Cucumis Melo (Melon) Fruit Extract, Gfycine Soja (Soybean) Seed Extract, Coraffina Officinalis Extract, Ascorbyl Tetraisopalmitate, Magnesium Ascorbyl Phosphate, 3-O-Ethyl Ascorbic Acid, Citrus Medica Limonum (Lemon) Peel Oil, Citrus Aurantium Dufcis (Orange) Peel Oil, Citrus Tangerina (Tangerine) Peel Oil, Gentiana Scabra Root Extract, Soaium Lauroyf Lactylate, 1,2-Hexanediol, Prunus Yedoensis Leaf Extract, Ceramide NP, Phytosphingosine, Ceramide AP, Xanthan Gum, Cholesterol, Ethylhexyfgfycerin, Ceramide EOP.;5;Face Gel;Moisturizer;Membantu menghidrasi dan menenangkan kulit, Mencerahkan kulit agar tampak bercahaya di pagi hari, menenangkan sepanjang malam 
Ms Pimple Acne Solution Moisturizing Gel;EMINA;Rp29.200;Aqua, Ethylhexyl methoxycinnamate, Ethylhexyl salicylate, Dipropylene glycol, Trisiloxane, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polyacrylamide, Acrylates Copolymer, Butylene Glycol, Benzyl Alcohol, Panthenol, Triethanolamine, C13-14 Isoparaffin, Polysorbate 60, Propylene Glycol, Ethylhexylglycerin, Aloe Barbadensis Leaf Extract, Epilobium Angustifolium Flower/Leaf/Stem Extract, Laureth-7, Beta-Glucan, Carbomer, Titanium Dioxide, Tocopheryl Acetate, Cyclopentasiloxane, Phenoxyethanol, Dimethicone Crosspolymer, BHT, Sodium Metabisulfite, Hamamelis Virginiana Leaf Extract, Dimethicone/Vinyl Dimethicone Crosspolymer, Potassium Sorbate, Sodium Benzoate, Tocopherol, Dimethiconol.;4.3;Face Gel;Moisturizer;Membantu mempercepat regenerasi kulit, mencegah pertumbuhan bakteri penyebab jerawat, mengurangi kemerahan pada kulit, mengontrol produksi sebum, mengurangi tampilan kulit berminyak, menjaga kelembaban kulit, serta melindungi kulit dari sinar UV
Light Cloud Gel Cream Moisturizer;KITSCHY;Rp141.750;Squalane, Snail, Sodium Hyaluronate, Ceramide, Tea Tree, Bergamot Oil, Vitamin E, Hydrolyzed Collagen;2.8;Face Gel;Moisturizer;membantu memperbaiki kerusakan kulit dan mengembalikan kekencangan kulit, yang juga dapat mempercantik tampilan kulit yang rawan jerawat. melindungi pelindung kulit dari kerusakan lingkungan. 
Cera-Mug Barrier Moisturizing Gel;WHITELAB;Rp74.150;Ceramide-4, Mugwort, Marine Collagen, dan HyaluComplex-10;4.5;Face Gel;Moisturizer;Melembabkan dan merawat kelembutan kulit wajah, Merawat dan membantu meningkatkan fungsi skin barrier wajah sehingga wajah tampak sehat dan cerah, Mempertahankan level hidrasi kulit wajah, Merawat kekenyalan dan kehalusan kulit wajah, Menyamarkan tanda-tanda penuaan dini pada kulit wajah
Lasting Hydration Gel;FOCALSKIN;Rp95.700;AQUA, GLYCERETH-26, DIPROPYLENE GLYCOL, GLYCERIN, 1,2-HEXANEDIOL, HYDROXYACETOPHENONE, ARGININE, BUTYLENE GLYCOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, CITRUS RETICULATA FRUIT EXTRACT, FUCUS VESICULOSUS EXTRACT, CARBOMER, BETA-GLUCAN, PEG-40 HYDROGENATED CASTOR OIL, PHENOXYETHANOL, DISODIUM EDTA, PARFUM, ETHYLHEXYLGLYCERIN;0;Face Gel;Moisturizer;memberikan kelembaban dan pemulihan untuk kulit. melawan mikroorganisme, merawat kekencangan kulit, kemerahan, atau iritasi. meningkatkan fungsi pelindung kulit. menjaga kelembaban. Mengurangi gatal, rasa gatal, perih, menenangkan, dan meningkatkan ketahanan kulit. Pemulihan multipel: pemulihan dalam kedalaman kulit dan meningkatkan kekebalan kulit. Meremajakan dan menjaga kelembaban, memberikan hidrasi dan kelembutan: tekstur yang ringan dan mudah diserap, memberikan kelembaban dengan cepat.
Aloe Real Cool Soothing Gel;BENTON;Rp78.000;Aloe, Soothing Cooler (Aloe Barbadensis Leaf Extract, Laminaria Japonica Extract, Dioscorea Japonica Root Extract, Ulmus Davidiana Root Extract, Viola Mandshurica Flower Extract);5;Face Gel;Moisturizer;membantu melembabkan kulit. Gel yang memberikan sensasi dingin ini juga dapat membantu menutrisi kulit
Lactic Acid Gel 10% with Alpha Arbutin;FOR SKINS SAKE;Rp154.800;Aqua, Glycolic Acid, Propylene Glycol, Glycerin, Tranexamic Acid, Biosaccharide Gum-1, Polyacrylate Crosspolymer-11, Phenoxyethanol, Saccharide Isomerate, Hydroxyethylcellulose, Allantoin, Bis- PEG-18 Methyl Ether Dimethyl Silane, Panthenol, Triethylene Glycol, Sodium Hyaluronate, Citric Acid, Sodium Citrate;2.8;Face Gel;Moisturizer;mengangkat sel-sel kulit mati. melembabkan , mencerahkan, dan meratakan warna kulit untuk kulit tampak lebih cerah merata, bercahaya, dan plump.
YSB Multi Herbs Hydro Burst Moisturizer;AVOSKIN;Rp141.550;Water, Glycerin, Dipropylene Glycol, Butylene Glycol, 1,2-Hexanediol, Glycereth-26, Sodium Acrylates Crosspolymer-2, Caffeine, Phenoxyethanol, Betaine, Diphenyl Dimethicone, Terminalia Ferdinandiana Fruit Extract, Triethylhexanoin, Hydrogenated Lecithin, Allantoin, Ethylhexylglycerin, Biosaccharide Gum-1, Ceramide NP, Dipotassium Glycyrrhizate, Sucrose Stearate, Silica, Glyceryl Acrylate/Acrylic Acid Copolymer, Melia Azadirachta Flower Extract, Citric Acid, Melia Azadirachta Leaf Extract, Stearic Acid, Palmitic Acid, Ocimum Sanctum Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Coccinia Indica Fruit Extract, Cholesterol, Solanum Melongena (Eggplant) Fruit Extract, Aloe Barbadensis Flower Extract, Corallina Officinalis Extract, Glycosphingolipids, Tocopherol.;5;Face Gel;Moisturizer;membantu melembapkan kulit, menutrisi kulit, dan menenangkan kulit.
VinoHydra Gel Moisturizer;CAUDALIE;Rp495.000;aqua/water/eau, glycerin, vitis vinifera (grape) fruit water, isostearyl isostearate, octyldodecyl myristate, squalane, microcrystalline cellulose, caprylic/capric triglyceride, benzyl alcohol, xanthan gum, carbomer, cellulose gum, caprylyl glycol, vitis vinifera (grape) juice, sodium hyaluronate, sodium hydroxide, aloe barbadensis leaf juice powder, helianthus annuus (sunflower) seed oil, tocopherol, citric acid, dehydroacetic acid, sodium phytate, sodium carboxymethyl beta-glucan, sodium benzoate, potassium sorbate, parfum (fragrance).;0;Face Gel;Moisturizer;memberikan hidrasi natural pada kulit.
Houttuynia Cordata Daily Calming Gel;ALL NATURAL;Rp215.200;Aqua, Dipropylene Glycol, 1,2-Hexanediol, Glycerin, Betaine, Houttuynia Cordata Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Ethylhexylglycerin, Polyglyceryl-4 Caprate, Polyglyceryl-6 Caprylate, Polyquaternium-51, Disodium EDTA, Citrus Aurantium Bergamia Fruit Oil, Sodium Hyaluronate, Butylene Glycol, Hydroxypropyltrimonium Hyaluronate, Tocopherol, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Centella Asiatica Extract, Portulaca Oleracea Extract, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Madecassoside, Potassium Hyaluronate, Asiatic Acid, Asiaticoside, Madecassic Acid.;0;Face Gel;Moisturizer;menenangkan (calming) kulit yang teriritasi ringan. menghidrasi dan merawat kelembapan kulit wajah. memberikan kesegaran setelah pemakaian.
