name;brand;price;ingredients;rating;sub-category;category;benefit
Acne Facial Cleanser;PYUNKANG YUL;Rp90.000;Water, Cocamidopropyl Betaine, Sodium Methyl Oleoyl Taurate, PEG-75, Acrylates Copolymer, Glycerin, Disodium Cocoamphodipropionate, PEG-120 Methyl Glucose Dioleate, Dimethyl Sulfone, Pyridoxine HCl, Salix Alba (Willow) Bark Extract, Forsythia Suspensa Fruit Extract, Butylene Glycol, Centella Asiatica Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Sodium Chloride, Copper Tripeptide-1, Allantoin, Citric Acid, Potassium Hydroxide, Sodium Benzoate, Phenoxyethanol, Disodium EDTA;4.5;Face Wash;Cleanser;Membersihkan sel kulit mati dan kotoran akibat sebum berlebih untuk eksfoliasi dan mengatasi pori-pori tersumbat Memiliki efek antibakteri untuk mencegah peradangan kulit Membantu mempercepat proses perbaikan kulit yang rusak
Skin Barrier Gentle Facial Cleanser;TERATU BEAUTY;Rp83.300;Aqua, Glycerin, Cocamidopropyl Betaine, Potassium Laureth Phosphate, Sodium C14-18 Olefin Sulfonate, Trehalose, Sodium Chloride, Phenoxyethanol, Disodium Cocoyl Glutamate, Methyl Gluceth-20, Sodium PCA, Citric Acid, Butylene Glycol, Inulin, Decylene Glycol, Saccharide Isomerate, Niacinamide, Tetrasodium EDTA, Sodium Sulfate, 1,2-Hexanediol, Centella Asiatica Leaf Extract, Citrus Paradisi Fruit Extract, Fructose, Propylene Glycol, 2,3-Butanediol, Ceramide NP, Ceramide NS, Sodium Citrate, Sodium Hyaluronate, Hydrogenated Lecithin, Glyceryl Stearate, Ceramide AS, Cholesterol, Ceramide EOP, Ceramide AP, Ethylhexylglycerin.;0;Face Wash;Cleanser;menyeimbangkan biome kulit. menjaga skin barrier kulit, sehingga kulit tampak bersih dan cerah, tanpa menimbulkan rasa kering. mencerahkan kulit.
B.B DEEP CLEANSING FOAM - BAKING POWDER;ETUDE;Rp133.000;WATER / AQUA / EAU, MYRISTIC ACID, GLYCERIN, POTASSIUM HYDROXIDE, SILICA, STEARIC ACID, PEG-32, PALMITIC ACID, GLYCERYL STEARATE, PEG-100 STEARATE, GLYCOL DISTEARATE, COCAMIDOPROPYL BETAINE, FRAGRANCE / PARFUM, SODIUM CHLORIDE, SODIUM BICARBONATE, ORYZA SATIVA (RICE) BRAN, DISODIUM EDTA, PEG-14M, SODIUM BENZOATE, LACTIC ACID, BHT;0;Face Wash;Cleanser;menghilangkan kotoran dari pori-pori dan secara efektif membersihkan BB krim dan mengangkat sel kulit mati membersihkan kulit sekaligus eksfoliasi
Biore MUR Micellar Massage Wash 90ml;BIORE;Rp33.400;Water, Glyserine, Sorbitol, Laureth-6 carboxylic acid, Lauric acid, Lauryl hydroxysultaine, Isostearic acid, Tromethamine, Potassium hydroxide, Hydroxyethyl Cellulose, Myristic acid, Ethylhexylglycerin, Fragrance, Palmitic acid, Polyquaternium 39, Disodium edta, Peg-45M, BHT, Phenoxyethanol, Methyl Paraben, Propyl paraben;5;Face Wash;Cleanser;angkat makeup, sebum berlebih, dan kotoran hingga ke pori, membuat kulit segar dan terasa lembap. mengangkat light make up namun tetap lembut di kulit,  membersihkan seperti facial wash, membuat kulit terasa segar dan lembut. Membersihkan wajah, Eksfoliasi, Melembabkan
Fresh Herb Snaiil Cleansing Foam;NATURE REPUBLIC;Rp79.000;Water, Glycerin, Stearic Acid, Myristic Acid, PEG-32, Potassium Hydroxide, Lauric Acid, Glyceryl Stearate, PEG-100 Stearate, Lauramide DEA, Sodium Laureth Sulfate, Cocamidopropyl Betaine, TEA-Lauryl Sulfate, Fragrance, Sodium Chloride, Potassium Cocoyl Glycinate, Disodium EDTA, Laureth-2, Sodium Sulfate, Potassium Cocoate, Sodium Benzoate, Caramel, Snail Secretion Filtrate, Butylene Glycol, Cananga Odorata Flower Extract, Lippia Citriodora Leaf Extract, Chamomilla Recutita (Matricaria) Flower Water, Hibiscus Sabdariffa Flower Extract, Jasminum Officinale (Jasmine) Flower Water, Lavandula Angustifolia (Lavender) Flower Water, Mentha Piperita (Peppermint) Leaf Water, Mentha Rotundifolia Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Water, Phenoxyethanol, Salvia Officinalis (Sage) Leaf Extract, Citric Acid.;0;Face Wash;Cleanser;Mengangkat debu dan kotoran setelah seharian beraktivitas dan menjaga kulit tetap terasa lembap setelah membersihkan wajah. Wajah menjadi lembap, smooth, dan bersih setelah pemakaian
Daily Gentle Low pH Facial Cleanser;ELFORMULA;Rp101.200;Water, glycerin, sodium cocoyl glycinate, sodium lauroyl glutamate, corn starch modified, cocamidopropyl betaine, erythritol, sodium lauroyl aspartate, glycol distearate, sodium chloride, disodium cocoamphodiacetate, propanediol, 1,2-hexanediol, peg-150 distearate, acrylates copolymer, phenoxyethanol, butylene glycol, fragrance, caprylhydroxamic acid, centella asiatica extract, polygonum cuspidatum root extract, scutellaria baicalensis root extract, camellia sinensis leaf extract, glycyrrhiza glabra (licorice) root extract, chamomilla recutita (matricaria) flower extract, rosmarinus officinalis (rosemary) leaf extract, niacinamide, sodium hyaluronate, dipotassium glycyrrhizate, calendula officinalis flower extract, portulaca oleracea extract, hydroxyacetophenone;4.8;Face Wash;Cleanser;Membersihkan kulit wajah dari kotoran Mengangkat minyak yang berlebih
Age Miracle Youthful Glow Facial Foam;POND'S;Rp41.940;Glycerin, Water, Sodium Cocoyl Glycinate, Glycol Distearate, Lauramidopropyl Betaine, Stearic Acid, Disodium Lauriminodiacetate, Sodium Methyl Cocoyl Taurate, Niacinamide, Retinyl Propionate, Retinyl Palmitate, Helianthus Annuus (Sunflower) Seed Oil, Hydroxystearic Acid, Cetyl Alcohol, Palmitic Acid, Arachidic Acid, Ceteth-20, Hydrated Silica, Sodium Chloride, Polyquaternium-39, Carbomer, PEG-4, PEG-4 Laurate, PEG-4 Dilaurate, Citric Acid, Perfume, BHT, Iodopropynyl Butylcarbamate, Phenoxyethanol, Sodium Benzoate, CI 73360 ;5;Face Wash;Cleanser;Membersihkan dan merawat wajah secara menyeluruh, bantu angkat sel kulit mati, menjaganya tetap muda bercahaya
DR.G A'Clear Balancing Bubble Foam;DR.G;Rp324.900;Aqua, Glycerin, Coco-Betaine, Lauryl Hydroxysultaine, Sodium Chloride, Disodium Cocoamphodiacetate, Butylene Glycol, Dipropylene Glycol, Coco-Glucoside , Sodium Cocoyl Glutamate, Pentylene Glycol, Tromethamine, Salicylic Acid, Succinic Acid, Caprylyl Glycol, Sodium Methyl Cocoyl Taurate, Sodium Phytate, Polyglyceryl-4 Caprate, Hexylene Glycol, Copaifera Officinalis Resin, Pelargonium Graveolens Flower Oil, Dipotassium Phosphate, Acetyl Glutamine, Chamomilla Recutita Flower Oil, Houttuynia Cordata Extract, Lactobacillus Ferment, Mentha Aquatica Extract, Mentha Suaveolens Leaf Extract, Mentha Viridis Extract, Polianthes Tuberosa Extract, Viola Odorata Leaf Extract, Vanilla Planifolia Fruit Extract, 1,2-Hexanediol, Pyrus Malus Fruit Extract, Cellulose Gum.;0;Face Wash;Cleanser;membersihkan debu, kotoran, minyak berlebih, make up setelah seharian beraktivitas, tanpa membuat kulit terasa kencang tertarik seusai membersihkan wajah. Kulit tetap lembap dan segar.
Waterbank Blue HA Cleansing Foam;LANEIGE;Rp331.500;WATER / AQUA / EAU, GLYCERIN, MYRISTIC ACID, STEARIC ACID, PEG-32, POTASSIUM HYDROXIDE, PALMITIC ACID, LAURIC ACID, COCAMIDOPROPYL BETAINE, GLYCERYL STEARATE, PEG-100 STEARATE, MICROCRYSTALLINE CELLULOSE, FRAGRANCE / PARFUM, SODIUM CHLORIDE, DISODIUM EDTA, BUTYLENE GLYCOL, SODIUM BENZOATE, MENTHA ARVENSIS LEAF EXTRACT, HYDROLYZED HYALURONIC ACID, POLYCAPROLACTONE, TITANIUM DIOXIDE (CI 77891), PROPANEDIOL, 1,2-HEXANEDIOL, LACTIC ACID, PEG-75, POLYQUATERNIUM-10, LACTIC ACID/GLYCOLIC ACID COPOLYMER, ETHYLHEXYLGLYCERIN, ALUMINUM HYDROXIDE, TRIETHOXYCAPRYLYLSILANE, LYCIUM CHINENSE FRUIT EXTRACT, PANTHENOL, PAPAIN, RUBUS IDAEUS (RASPBERRY) FRUIT EXTRACT, VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT, COFFEA ARABICA (COFFEE) SEED EXTRACT, SAPINDUS MUKOROSSI FRUIT EXTRACT, VACCINIUM MACROCARPON (CRANBERRY) FRUIT EXTRACT, FRAGARIA CHILOENSIS (STRAWBERRY) FRUIT EXTRACT, RUBUS CHAMAEMORUS SEED EXTRACT, PHENOXYETHANOL, UNDARIA PINNATIFIDA EXTRACT;4.9;Face Wash;Cleanser;menghilangkan sisa riasan dan kotoran dari dalam pori-pori. membersihkan sisa riasan dalam sekali pakai mengontrol kulit mati setiap kali Anda mencuci muka untuk mencerahkan kulit Anda. menyerap partikel ultrafine mengangkat kotoran dari dalam pori-pori.
Sekkisei Supreme Cleansing Cream;KOSE;Rp521.000;Water, Paraffinum Liquidum, Triethylhexanoin, Butylene Glycol, Petrolatum, Cetearyl Alcohol, Glycerin, Glyceryl Stearate, Angelica Acutiloba Root Extract, Coix Lacryma-Jobi, Melothria Heterophylla Root Extract, Polygonum Tinctorium, Sapindus Mukorossi Peel Extract, Saxifraga Sarmentosa Extract, Tocopherol, Alcohol, BHT, Carbomer, Dimethicone, Polysorbate 80, Sodium Hydroxide, Sorbitan Palmitate, Sorbitan Sesquioleate, Stearoyl Glutamic Acid, Methylparaben, Phenoxyethanol, Fragrance.;4.8;Face Wash;Cleanser;melembabkan, lembut pada kulit dan mencerahkan wajah. menghilangkan make up yang membandel dan penumpukan berminyak kusam untuk menghasilkan kulit bersih dan bening
Pure Gentle Cleanser pH Balance Value Set;BIYU;Rp189.920;Aqua, Decyl Glucoside, Sodium Cocoamphoacetate, Hamamelis Virginiana Leaf Water, Glycerin, Disodium Cocoyl Glutamate, Polyacrylate Crosspolymer-6, Citric Acid, Sodium PCA, Sericin, Dihydroxypropyl Arginine HCL, Potassium sorbate, Sodium Benzoate, Phenoxyethanol, Ethylhexylglycerin, Disodium EDTA;0;Face Wash;Cleanser;Membersihkan wajah dari kotoran, debu, minyak berlebih, dan sisa make-up. menjaga kelembapan kulit dan skin barrier. membersihkan kotoran, minyak berlebih, serta sisa make-up hingga ke pori-pori sehingga kulit tampak lebih bersih dan segar.  Membersihkan tanpa membuat kulit kering - Tidak memberikan efek ketarik setelah mencuci muka - Memberikan kelembaban pada kulit
Senka Perfect Whip Soothing Wakame;SENKA;Rp59.850;WATER, GLYCERIN, STEARIC ACID, MYRISTIC ACID, POTASSIUM HYDROXIDE, LAURIC ACID, PEG-8, SODIUM METHYL COCOYL TAURATE, PEG-5 GLYCERYL STEARATE, MICROCRYSTALLINE  CELLULOSE, POLYQUATERNIUM-7, TALC, ACRYLATES COPOLYMER, PARFUM, DISODIUM EDTA, SODIUM CITRATE, ETHYLCELLULOSE, SODIUM BENZOATE, SODIUM METABISULFITE, ULTRAMARINES (CI 77007), SODIUM LAURYL SULFATE, TOCOPHERYL ACETATE, BIS-ETHOXYDIGLYCOL CYCLOHEXANE 1,4-DICARBOXYLATE, GREEN 5 (CI 61570), BUTYLENE GLYCOL, YELLOW 10 (CI 47005), YELLOW 6 (CI 15985), SODIUM ACETYLATED HYALURONATE, EUCHEUMA SERRA/ GRATELOUPIA SPARSA/ SACCHARINA ANGUSTATA/ ULVA LINZA/ UNDARIA PINNATIFIDA EXTRACT, SODIUM HYALURONATE, SERICIN, SACCHARINA ANGUSTATA/ UNDARIA PINNATIFIDA EXTRACT, CITRIC ACID, POTASSIUM SORBATE, TOCOPHEROL;4.8;Face Wash;Cleanser;Membantu mengeksfoliasi kulit wajah secara lembut, mengangkat kotoran dan melembapkan kulit. memberikan manfaat eksfoliasi yang lembut, tapi juga memiliki sifat menenangkan bagi kulit. mengangkat sel-sel kulit mati, tapi juga membersihkan kotoran
Amino Acid Facial Cleanser;FOCALSKIN;Rp79.750;AQUA, GLYCERIN, POTASSIUM COCOYL GLYCINATE, COCAMIDOPROPYL BETAINE, SODIUM COCOYL GLYCINATE, SODIUM LAURETH SULFATE, CORN STARCH MODIFIED, LAURIC ACID, GLYCOL DISTEARATE, ACRYLATES COPOLYMER, SODIUM TAURINE LAURATE, PEG-7 GLYCERYL COCOATE, METHYL GLUCETH-20, SODIUM CHLORIDE, 1,2-HEXANEDIOL, MYRISTIC ACID, CHLORPHENESIN, ALLANTOIN, PARFUM, NELUMBO NUCIFERA FLOWER WATER, PHENOXYETHANOL, POTASSIUM HYDROXIDE, ARGININE, ETHYL LAUROYL ARGINATE HCL, DISODIUM LAURETH SULFOSUCCINATE, CHLORELLA VULGARIS EXTRACT, BUTYLENE GLYCOL, MADECASSOSIDE, INOSITOL, OCTYLDODECANOL, CAPRYLYL GLYCOL, PEG-60 ALMOND GLYCERIDES, HYDROGENATED LECHITIN, PROPANEDIOL, SODIUM BENZOATE, PENTYLENE GLYCOL, ETHYLHEXYLGLYCERIN, POLYGLYCERYL-10 STEARATE, SODIUM CITRATE, CENTELLA ASIATICA EXTRACT, CAPRYLHYDROXAMIC ACID, CERAMIDE NP, ASIATICOSIDE, PHYTOSPHINGOSINE, CHOLESTEROL, PHOSPHOLIPIDS, CARBOMER, CITRIC ACID, CERAMIDE NS, CERAMIDE NG, CERAMIDE AS, CERAMIDE AP, NORDIHYDROGUAIARETIC ACID, OLEANOLIC ACID, SODIUM METABISULFITE, ASIATIC ACID, MADECASSIC ACID, BIOTIN, CERAMIDE EOP;4.6;Face Wash;Cleanser;Pembersihan dengan lembut  Pemurnian pori-pori  Mengontrol minyak dan mengatasi jerawat  Lembab dan segar setelah penggunaan  Menenangkan dan Memperbaiki skin barrier kulit, mencegah hilangnya kadar air pada kulit, dan meningkatkan kelembapan kembali. melindungi lapisan sebum, dengan busanya padat lembut, serta daya pembersihnya lebih kuat.
Calming Acne Cleansing Foam;PYUNKANG YUL;Rp144.000;Melaleuca alternifolia leaf extract, Centella asiatica extract, Salicylic Acid, Panthenol, Allantoin, Salix Alba (Willow) Bark Extract;4.7;Face Wash;Cleanser;Mampu menenangkan kulit mengangkat sel kulit mati membersihkan kotoran dari pori-pori serta mengurangi minyak berlebih dan menyamarkan pori-pori membersihkan wajah secara lembut, dan kelembapan kulit tetap terjaga setelah dibersihkan.
NIVEA MEN Acne Oil Clear Acne Defense Foam;NIVEA;Rp16.650 - Rp41.200;TidaAqua, Glycerin, Potassium Myristate, Potassium Palmitate, Potassium Stearate, Potassium Laurate, Glyceryl Stearate, PEG-8, Cera Alba, Magnolia Officinalis Bark Extract, Carnitine, Menthol, Camellia Sinensis Leaf Extract, Glyceryl Glucoside, Acrylates Copolymer, Sodium Methyl Cocoyl Taurate, Potassium Arachidate, Potassium Oleate, Alcohol Denat, Trisodium EDTA, Limonene, Perfume, Ci 42090, Ci 47005k ada informasi bahan;4.7;Face Wash;Cleanser;melawan bakteri penyebab jerawat, mengangkat minyak berlebih, & kotoran. Wajah jadi sehat, bersih, & terhindar dari masalah kulit akibat timbulnya jerawat.
Derma Nature Relief Madecica pH Balancing Foam Cleansing;CELIMAX;Rp262.650;Aqua, Sodium Cocoyl Isethionate, Glycerin, Sodium Methyl Cocoyl Taurate, Polyglyceryl-3 Methylglucose Distearate, Hydrogenated Coconut Acid, Coco-Betaine, Hydroxypropyl Starch Phosphate, Sodium Isethionate, Citric Acid, Potassium Cocoyl Glycinate, Caprylyl Glycol, Chlorphenesin, Sodium Chloride, Caprylic/Capric Triglyceride, Centella Asiatica Extract, Camellia Sinensis Leaf Water, Gaultheria Procumbens Leaf Extract, Citrus Aurantium Dulcis Peel Oil, Ethylhexylglycerin, Disodium EDTA, Lavandula Angustifolia Oil, Citrus Paradisi Peel Oil, Butylene Glycol, Dipotassium Glycyrrhizate, Allantoin, Pelargonium Graveolens Flower Oil, Citrus Aurantium Bergamia Fruit Oil, Cinnamomum Camphora Bark Oil, 1,2-Hexanediol, Madecassoside, Asiaticoside, Madecassic Acid, Asiatic Acid.;0;Face Wash;Cleanser;merawat kulit yang  teriritasi. menjaga agar kulit tetap lembap dan terhidrasi.
Blemish Control Clearing Facial Wash;SUKIN;Rp165.750;Water(Aqua),AloeBarbadensis Leaf Juice, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Cydonia Oblonga Leaf Extract(Quince), Punica Granatum Fruit Extract(Pomegranate), Epilobium Angustifolium Flower/Leaf/Stem Extract(Willowherb), Cocos Nucifera(Coconut)Fruit Extract, Camellia Sinensis Leaf Extract(Green Tea/White Tea),MoringaOleifera Leaf Extract, Salvia Officinalis(Sage)Extract, Zingiber Officinale(Ginger)Root Extract, Mentha Piperita(Peppermint)Leaf Extract, Tocopherol(Vitamin E), Glycerin, Melaleuca Alternifolia(Tea Tree)Leaf Oil,EucalyptusCitriodora Oil, Rosmarinus Officinalis(Rosemary)Leaf Oil, Lavandula Angustifolia(Lavender)Oil, Tetrasodium Glutamate Diacetate, Citric Acid, Phenoxyethanol, Benzyl Alcohol, Limonene, Linalool.  *Natural component of essential oils;0;Face Wash;Cleanser;Melawan bakteri penyebab jerawat Mengurangi pori-pori tersumbat
