name;brand;price;ingredients;rating;sub-category;category;benefit
Gold Makes Gorgeous Lip Balm;BARENBLISS;Rp58.650;Tridecyl Trimellitate, Ethylhexyl Palmitate, Octyldodecanol, Polyisobutene, C12-15 Alkyl Benzoate, Diisostearyl Malate, Caprylic/Capric Triglyceride, Pentaerythrityl Tetraisostearate, Dibutyl Lauroyl Glutamide, Dibutyl Ethylhexanoyl Glutamide, Phenoxyethanol, Fragrance, Isostearic Acid, Ethylhexylglycerin, Citric Acid, Gold, Rosa Rugosa Flower Oil, Prunus Speciosa Flower Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Tripeptide-1, Tocopherol, Ceramide 1, CI 45410.;4.9;Lip Balm;Lip Care;menghidrasi, melindungi, dan menutrisi bibir. Membantu melembapkan dan melindungi bibir, Menghidrasi dan menutrisi bibir, menjaganya tetap sehat, Membantu menjaga bibir dalam kondisi sehat dan tampak berisi, Memiliki aktivitas antioksidan untuk melindungi bibir
Ben Tre Coconut Lip Balm;COCOON;Rp33.250;Cocos Nucifera (Coconut) Oil, Bis-Diglyceryl Polyacyladipate-2, Synthetic Beeswax, C15-19 Alkane, Butyrospermum Parkii (Shea) Butter, Candelilla Cera, Tocopheryl Acetate;5;Lip Balm;Lip Care;Melembapkan dan melindungi bibir dari kekeringan, menutrisi dan melembutkan bibir, mencegah penuaan pada bibir, serta memberikan aroma manis seperti permen kelapa.
Unicorn Honey Lip Balm;YNM;Rp119.000;Pentaerythrityl Tetraisostearate, Octyldodecanol, Tridecyl Trimellitate, Ozokerite, Diisostearyl Malate, Bis-Diglyceryl Polyacyladipate-2, Squalane, Polyisobutene, Beeswax, Polyethylene, Polyglyceryl-2 Triisostearate, Tocopheryl Acetate, Glyceryl Caprylate, Silica Dimethyl Silylate, Citric Acid, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Triethoxycaprylylsilane, Aluminum Hydroxide, Glycerin, Honey, Red 21 (CI 45380), Yellow 5 Lake (CI 19140), Titanium Dioxide (CI 77891), Red 6 (CI 15850);5;Lip Balm;Lip Care;mencerahkan warna bibir kusam sekaligus melembabkan. Memberikan afterfeel yang nyaman dengan tekstur yang meleleh.
Tinted Lip Balm Red Rose;LIPLAPIN;Rp52.200;Beeswax, Butyrospermum Parkii Shea Butter, Cocoa Buter, Simmondsia Chinensis Jojoba Seed Oil, Prunus amygdalus dulcis oil, Coconut Cocos Nucifera Oil, Tocopheryl Acetate, ci 73915, Flavor.;4;Lip Balm;Lip Care;melembabkan bibir yang kering pecah-pecah agar lebih lembab, halus, dan sehat
Rainbow Honey Lip Balm;YNM;Rp109.000;Pentaerylthrityl Tetraisostearate, Octyldodecanol, Tridecyl Trimellitate, Ozokerite, Diisostearyl Malate, Bis-Diglyceryl Polyacyladipate-2, Squalane, Polyisobutene, Beeswax, Polyethylene, Polyglyceryl-2 Triisostearate, Tocopheryl Acetate, Glyceryl Caprylate, Silica Dimethyl Silylate, Citric Acid, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Triethoxycaprylylsilane, Aluminum Hydroxide, Glycerin, Honey, Red 21, Yellow 5 Lake, Titanium Dioxide, Red 6.;5;Lip Balm;Lip Care;memberikan pelindung untuk mengunci kelembapan bibir. menciptakan warna merah muda alami. tetap lembab sepanjang hari dengan hasil akhir yang halus dan plumpy. menutrisi bibir kering dan pecah-pecah.
Ointment Duo Strawberry;PURE PAW PAW;Rp110.330;Petrolatum, Carica Papaya (Fermented) Fruit Extract, Cera Alba, Potassium Sorbate, Sodium Benzoate, Flavor;4.3;Lip Balm;Lip Care;Mengatasi bibir kering, Melembapkan kulit kaki yang kering, Melembapkan area kulit tubuh kering lainnya, Mengatasi kulit pecah-pecah, Krim pelindung
Lip balm Nutrition;MAKE OVER;Rp58.000;Mineral Oil, Jojoba oil, Olive oil, Vitamin E, SPF 15;5;Lip Balm;Lip Care;menjaga kelembaban bibir, mencegah hilangnya kadar air dan melindungi bibir sensitif.
Hues Of You Lip Balm;JIERA;Rp71.100;Petrolium, Cocos Nucifera Oil, Beaswax, Synthetic Carnaubla, Olea Europpaea (Olive) fruit oil, Prunus Amygdalus Dulcis Oil, Jojoba Esters, Stearyl Stearate, Cetyl Palmitate, Paraffin, Helianthus Annuuus Seed Extract, Acacia Decurrens, Flower Wax, Polyglycerin-3, BHT, CI 77891, Synthetic Wax, Isopropyl Titanium Trisostearate, CI 45410, Polyglyceryl 2 Triisostearate, Glycerin, Aqua, Crocus Sativus Flower, Propylparaben, BHT, Parfum.;0;Lip Balm;Lip Care;menjaga lip skin barrier dan melembapkan bibir.
MUSE Tinted Lip Balm;GUELE COSMETICS;Rp139.000;Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Diisostearyl Malate, Hydrogenated Polyisobutene, Propylene Glycol Dibenzoate, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Tridecyl Trimellitate, Polyglyceryl-2 Triisostearate, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Polyglyceryl-3 Diisostearate, Dioctyldodecyl Dimer Dilinoleate, Paraffin, Microcrystalline Wax, Synthetic Wax, Cera Microcristallina (EU), Ethylene/Propylene Copolymer, Propanediol, Menthol, Fragrance(Parfum), Tocopheryl Acetate, Polyglyceryl-2 Diisostearate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Ricinus Communis (Castor) Seed Oil, Ethylhexyl Methoxycinnamate, Ethylhexyl Palmitate, Tribehenin, Sorbitan Isostearate, Lactic Acid, Palmitoyl Tripeptide-1, BHT;4.8;Lip Balm;Lip Care;Melembapkan bibir, memberikan warna natural dengan coverage yang bisa dibangun, memberikan efek segar mint, membuat bibir tampak penuh dan berkilau, memberikan warna yang tahan lama, serta melindungi bibir dengan kandungan antioksidan dan UV filter.
Tinted Lippiecable Balm;AZARINE;Rp59.000;Tridecyl Trimellitate, Caprylic/Capric Triglyceride, Ethylhexyl Palmitate, Butyrospermum Parkii (Shea Butter), Polyethylene, Cera Microcristallina, Phenoxyethanol, Tocopheryl Acetate, Caprylyl Glycol, Sodium Hyaluronate, Glyceryl Behenate, Hyaluronic Acid, Helianthus Annuus (Sunflower) Seed Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Cocos Nucifera (Coconut) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Rosa Moschata Seed Oil, Parfum. May Contain: CI 77891, CI 77491, CI 77499. ;4.7;Lip Balm;Lip Care;Pelembap bibir dengan warna cokelat natural
Bouncy & Firm Lip Treatment;LANEIGE;Rp342.000;HYDROGENATED POLY(C6-14 OLEFIN), HYDROGENATED POLYISOBUTENE, ETHYLENE/PROPYLENE/STYRENE COPOLYMER, CAPRYLIC/CAPRIC TRIGLYCERIDE;4;Lip Balm;Lip Care;mengencangkan serta membuat bibir tampak halus dan juicy. melembapkan bibirmu bahkan sebelum menggunakan makeup. Memperhalus tekstur bibir, Melembapkan bibir membuat bibir tampak kenyal, kencang, dan terhidrasi. menjaga kelembapan lapisan terluar bibir agar tampak sehat & halus 
