name;brand;price;ingredients;rating;sub-category;category;benefit
Lip Sleeping Mask EX Grapefruit;LANEIGE;Rp248.000;Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated C6-14 Olefin Polymers, Polybutene, Microcrystalline Wax, Shea Butter, Synthetic Wax, Candelilla Wax, Sucrose Tetrastearate Triacetate, Hydrogenated Butylene/Ethylene/Styrene Copolymer, Ethylene/Propylene/Styrene Copolymer, Mica, Aromatics, Astrocaryum murumuru Seed Butter, Dimethicone, Titanium Dioxide (CI 77891), Polyglyceryl-2 Diisostearate, Dehydroacetic Acid, Polyglyceryl-2 Triisostearate, Methicone, Carnauba Wax, CI 15985, Polyhydroxystearic Acid, CI 15850, Water, Potassium Alginate, Propanediol, Glycerin, Alcohol, Lycium Fruit Extract, Cranberry Fruit Extract, Strawberry Fruit Extract, Raspberry Fruit Extract, Sapindus mukurossi Fruit Extract, Blueberry Fruit Extract, Rubus chamaemorus Seed Extract, Coffee Extract, Chenopodium quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Sodium Hyaluronate, Beta-Glucan, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside;4.8;Lip Mask;Lip Care;Lip Sleeping Mask Masker tidur untuk bibir yang dengan lembut mengangkat sel kulit mati dari bibir untuk membuat bibir terasa halus dan elastis. mengandung aroma grapefruit yang menyenangkan
Lip Sleeping Mask Cotton Candy;LANEIGE;Rp305.900;DIISOSTEARYL MALATE, HYDROGENATED POLYISOBUTENE, PHYTOSTERYL/ISOSTEARYL/CETYL/STEARYL/BEHENYL DIMER DILINOLEATE, POLYBUTENE, HYDROGENATED POLY(C6-14 OLEFIN), MICROCRYSTALLINE WAX / CERA MICROCRISTALLINA / CIRE MICROCRISTALLINE, BUTYROSPERMUM PARKII (SHEA) BUTTER, SYNTHETIC WAX, ETHYLENE/PROPYLENE/STYRENE COPOLYMER, SUCROSE TETRASTEARATE TRIACETATE, MICA, EUPHORBIA CERIFERA (CANDELILLA) WAX / EUPHORBIA CERIFERA CERA / CIRE DE CANDELILLA, CANDELILLA WAX ESTERS, FRAGRANCE / PARFUM, ASTROCARYUM MURUMURU SEED BUTTER, GLYCERYL CAPRYLATE, TITANIUM DIOXIDE (CI 77891), BUTYLENE/ETHYLENE/STYRENE COPOLYMER, POLYGLYCERYL-2 DIISOSTEARATE, COPERNICIA CERIFERA (CARNAUBA) WAX / COPERNICIA CERIFERA CERA / CIRE DE CARNAUBA, METHICONE, COCOS NUCIFERA (COCONUT) OIL, PENTAERY;5;Lip Mask;Lip Care;memberikan kelembapan intensif dan antioksidan untuk bibir yang halus dan lembut, kaya antioksidan, menutrisi dan melembapkan, melindungi bibir dari faktor eksternal.
Lip Mask Orange Squash;EMINA;Rp32.560;Shea butter, 3 natural oils (avocado, macadamia, jojoba), 4 additional extracts (wheat, chamomile, seaweed, calendula);5;Lip Mask;Lip Care;memberikan kelembapan ekstra pada bibir sehingga sel kulit mati lebih mudah terangkat, bibir terasa lembab, lembut, dan kenyal. Mengurangi tampilan bibir kering dan pecah-pecah, Mencegah kehilangan air dari kulit dan menjaga bibir tetap terhidrasi, Mengangkat sel kulit mati
Overnight Moisture Lip Mask;BASE;Rp76.500;Bis-Diglyceryl Polyacyladipate-2, Diisostearyl Malate, Tridecyl Trimellitate, Polyisobutene, Pentaerythrityl Tetraisostearate, Caprylic/Capric Triglyceride, Cetyl Ethylhexanoate, Microcrystalline Wax, Butyrospermum Parkii (Shea) Butter, Polyethylene, Polyglyceryl-2 Triisostearate, Euphorbia Cerifera (Candelilla) Wax, Theobroma Cacao (Cocoa) Seed Butter, Parfum, Tocopherol, Camellia Japonica Seed Oil, Carica Papaya Extract, Astaxanthin, Phospholipids, Propylene Glycol, Glycerin, Aqua  ;5;Lip Mask;Lip Care;melembapkan dan mengunci hidrasi lebih lama sepanjang malam dan merawat bibir yang kering dan pecah-pecah hingga kembali sehat dan lembap dengan tekstur ringan dan tekstur bebas lengket. menghidrasi dan melembapkan bibir, menutrisi dan melembutkan bibir, mencerahkan bibir kusam dan menjadikannya lebih kenyal, eksfoliasi ringan untuk menyingkirkan kulit mati
Laneige Lip Sleeping Mask EX Berry;LANEIGE;Rp263.500;Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated C6-14 Olefin Polymers, Polybutene, Microcrystalline Wax, Shea Butter, Synthetic Wax, Candelilla Wax, Sucrose Tetrastearate Triacetate, Hydrogenated Butylene/Ethylene/Styrene Copolymer, Ethylene/Propylene/Styrene Copolymer, Mica, Astrocaryum murumuru Seed Butter, Titanium Dioxide, Dimethicone, Aromatics, Polyglyceryl-2 Diisostearate, Dehydroacetic Acid, Methicone, Carnauba Wax, Polyglyceryl-2 Triisostearate, CI 15985, CI 15850, Polyhydroxystearic Acid, Water, Potassium Alginate, Propanediol, Glycerin, Alcohol, Lycium Fruit Extract, Cranberry Fruit Extract, Strawberry Fruit Extract, Raspberry Fruit Extract, Sapindus mukurossi Fruit Extract, Blueberry Fruit Extract, Rubus chamaemorus Seed Extract, Coffee Extract, Chenopodium quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Sodium Hyaluronate, Beta-Glucan, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside;4.7;Lip Mask;Lip Care;Lip Sleeping Mask Masker tidur untuk bibir yang dengan lembut mengangkat sel kulit mati dari bibir untuk membuat bibir terasa halus dan elastis. mengandung aroma berry manis yang menyenangkan
Lip Mask;EMINA;Rp32.560;Hydrogenated Polyisobutene, Diisostearyl Malate, Shea Butter (Butyrospermum Parkii), Phytosteryl/?Isostearyl/?Cetyl/?Stearyl/?Behenyl Dimer Dilinoleate, Microcrystalline Wax, Polybutene, Ethylene/?Propylene/?Styrene Copolymer, Macadamia Ternifolia Seed Oil, Polyethylene, Euphorbia Cerifera (Candelilla) Wax, Phenoxyethanol, Polyglyceryl-2 Triisostearate, Ethylhexylglycerin, Fragrance, Ozokerite, Glycine Soja (Soybean) Oil, Butylene/?Ethylene/?Styrene Copolymer, Tocopheryl Acetate, Persea Gratissima (Avocado) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Bisabolol, BHT, Isobornyl Acetate, Calendula Officinalis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Fucus Vesiculosus Extract, Triticum Vulgare (Wheat) Bran Extract, Linoleic Acid, Tocopherol, Aluminum Hydroxide, Ci 77891, CI 15850:1, Ci 47005;5;Lip Mask;Lip Care;memberikan kelembapan ekstra pada bibir sehingga sel kulit mati lebih mudah terangkat, bibir terasa lembab, lembut, dan kenyal. Mengurangi tampilan bibir kering dan pecah-pecah. Mencegah kehilangan air dari kulit dan menjaga bibir tetap terhidrasi. Mengangkat sel kulit mati.
Pantenolips Lip Sleeping Mask;MEDIHEAL;Rp49.410;Polyisobutene, Ethylhexyl Palmitate, Polyglyceryl-2 Triisostearate, Ozokerite, Ricinus Communis (Castor) Seed Oil, Dimer Dilinoleyl Dimer Dilinoleate, Sorbitan Sesquioleate, Cetearyl Olivate, Sorbitan Olivate, Water, Panthenol, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Hydrogenated Castor Oil, Camellia Sinensis Seed Oil, Macadamia Ternifolia Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol, Honey Extract, Lycium Chinense Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract,  Fragaria Chiloensis (Strawberry) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Morus Nigra Fruit Extract, Rubus Fruticosus (Blackberry) Fruit Extract, Ribes Nigrum (Black Currant) Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Vaccinium Myrtillus Fruit Extract, Euterpe Oleracea Fruit Extract, 1,2-Hexanediol, Sodium Hyaluronate, Fragrance;4.8;Lip Mask;Lip Care;melembapkan dan menutrisi bibir yang kering dan pecah-pecah sepanjang malam untuk hasil bibir lembut & halus.
Butter Rush Vitamin Lip mask;BARENBLISS;Rp22.500;Ethylhexyl Palmitate, Tridecyl Trimellitate, Cera Alba, Silica, Caprylic/Capric Triglyceride, Hydrogenated Styrene/Isoprene Copolymer, Hydrogenated Polyisobutene, Microcrystalline Wax, Ozokerite, Tocopheryl Acetate, Olea Europaea (Olive) Fruit Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Cedrus Atlantica Bark Oil, Pogostemon Cablin Oil, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate , Caprylyl Glycol, Bisabolol, Water, Hydrolyzed Olive Leaf Extract, Butylene Glycol, Glycerin, Dendrobium Nobile Stem Extract, Aloe Barbadensis Leaf Extract, Sophora Flavescens Root Extract, Lycium Barbarum Fruit Extract, Echinacea Purpurea Extract, Ethylhexylglycerin, Astragalus Membranaceus Root Extract, Saposhnikovia Divaricata Root Extract, Calendula Officinalis Flower Extract, Albizia Julibrissin Flower Extract, Gastrodia Elata Root Extract, CI 45380.;4;Lip Mask;Lip Care;Masker bibir dengan tekstur balm yang nyaman untuk mengatasi bibir kering sehingga tampak lebih kenyal.
Nourishing Care Lip Sleeping Pack;KLAVUU;Rp168.750;Polybutene, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Diisostearyl Malate, Octyldodecanol, Ricinus Communis (Castor) Seed Oil, Methyl Hydrogenated Rosinate, Ceresin, Synthetic Wax, Hydrogenated Castor Oil, Ethylene/Propylene Copolymer, Beeswax, Disteardimonium Hectorite, Copernicia Cerifera (Carnauba) Wax, Fragrance(Parfum), Persea Gratissima (Avocado) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Prunus Armeniaca (Apricot) Kernel Oil, Tocopherol, Propylene Carbonate, Dehydroacetic Acid, Water, Butylene Glycol, 1,2-Hexanediol, Caprylyl Glycol, Pearl Extract;4.5;Lip Mask;Lip Care;membentuk lapisan pelindung pada kulit bibir sehingga bibir tetap lembab sepanjang malam. Kulit kering yang mudah terkelupas berkurang, bibir terasa segar, kenyal dan lembut saat disentuh di pagi hari.
Lip Sleeping Mask Watermelon Pop;LANEIGE;Rp279.000;WATERMELON POP DIISOSTEARYL MALATE, HYDROGENATED POLYISOBUTENE, PHYTOSTERYL/ISOSTEARYL/CETYL/STEARYL/BEHENYL DIMER DILINOLEATE, POLYBUTENEHYDROGENATED POLY(C6-14 OLEFIN), MICROCRYSTALLINE WAX / CERA MICROCRISTALLINA / CIRE MICROCRISTALLINE, BUTYROSPERMUM PARKII (SHEA) BUTTER, SYNTHETIC WAX, ETHYLENE/PROPYLENE/STYRENE COPOLYMER, SUCROSE TETRASTEARATE TRIACETATE, MICA, EUPHORBIA CERIFERA (CANDELILLA) WAX / EUPHORBIA CERIFERA CERA / CIRE DE CANDELILLA, CANDELILLA WAX ESTERS, FRAGRANCE / PARFUM, ASTROCARYUM MURUMURU SEED BUTTER, POLYGLYCERYL- 2 TRIISOSTEARATE, GLYCERYL CAPRYLATE, BUTYLENE/ETHYLENE/ STYRENE COPOLYMER, COPERNICIA CERIFERA (CARNAUBA) WAX / COPERNICIA CERIFERA CERA / CIRE DE CARNAUBA, METHICONE, RED 6 (CI 15850), RED 7 LAKE (CI 15850), YELLOW 6 LAKE (CI 15985), COCOS NUCIFERA (COCONUT) OIL, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, ASCORBIC ACID, TOCOPHEROL, WATER / AQUA / EAU, GLYCERIN, PROPANEDIOL, BHT, PUNICA GRANATUM FRUIT JUICE, RUBUS IDAEUS (RASPBERRY) JUICE, VITIS VINIFERA (GRAPE) JUICE BERRY 'DIISOSTEARYL MALATE;5;Lip Mask;Lip Care;memberikan kelembapan dan antioksidan yang intens saat Anda tidur untuk bibir yang tampak halus dan terhidrasi di pagi hari. Kaya akan antioksidan untuk membantu menampilkan bibir yang tampak halus dan kenyal. Membantu menutrisi dan memberikan kelembapan yang tahan lama saat Anda tidur. Membantu melindungi dari serangan eksternal.
