name;brand;price;ingredients;rating;sub-category;category;benefit
Honey Sugar Scrub;INDOGANIC;Rp50.000;Sucrose, Isopropyl Myristate, Caprylic/Capric Triglyceride, Diisostearyl Malate, Candelila (Euphorbia Cerifera) Wax, Synthetic Wax, Isononyl Isononanoate, Persea Gratissima (Avocado) Oil, Glyceryl Behenate/Eicosadioate, Honey, Oryza Sativa Powder, Squalane, Jojoba Esters, Butyrospermum Parkii (Shea Butter) Extract, Sunflower Oil, Glyceryl Caprylate, Tocopheryl Acetate, Citrus Aurantium Dulcis (Orange) Oil, Glycerin, Caprylhydroxamic Acid, Acacia Decurrens Extract, Polyglycerin-3, Lavandula Angustifolia (Lavender) Oil, Anthemis Nobilis Flower Oil, Cananga Odorata Flower Oil, Pelargonium Graveolens Flower Oil.;4.6;Lip Scrub;Lip Care;Mengangkat sel kulit mati di bibir dan melembabkan bibir. mengangkat kulit mati di bibir dan melembabkan bibir. menstimulasi pertumbuhan kulit baru bibir. menutrisi kulit sehingga dapat melembabkan bibir kering. menyembuhkan dan merawat chapped lips.
Lip Scrub Peach;LIPLAPIN;Rp41.400;Glucose, Honey, Cocos Nucifera Oil, CI 191403, ci 16255, ci 42053, Fragrance (Parfum) Components and Finished Fragrances.;4.5;Lip Scrub;Lip Care;membantu mengangkat sel kulit mati pada bibir pecah dan kusam sehingga bibir menjadi lebih halus dan lembut. Dengan pemakaian lip scrub, tekstur bibir akan lebih halus dan mempermudah pemakaian lip product atau makeup. Mengandung madu dan coconut oil untuk menutrisi dan melembapkan bibir. Membuat bibir lebih halus Mengatasi bibir kusam dan pecah-pecah Mengangkat kulit mati Melembapkan kulit
Pantenolips Lip Scrub;MEDIHEAL;Rp49.410;Water, Juglans Regia (Walnut) Shell Powder, Caprylic/Capric Triglyceride, Glycerin, Ricinus Communis (Castor) Seed Oil, Panthenol, Cetearyl Alcohol, Cetyl Ethylhexanoate, Glyceryl Stearate, Polyglyceryl-3 Methylglucose Distearate, Beeswax, Butyrospermum Parkii (Shea) Butter, Sorbitol, Glucose, Cetearyl Olivate, Sorbitan Olivate, 1,2-Hexanediol, Palmitic Acid, Hydrogenated Castor Oil, Hydroxyacetophenone, Stearic Acid, Fragrance, Arginine, Caprylyl Glycol, Carbomer, Copernicia Cerifera (Carnauba) Wax, Sodium Polyacrylate, Ethylhexylglycerin, Hydrogenated Polydecene, Tocopherol, Dipotassium Glycyrrhizate, Disodium EDTA, Trideceth-6, Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Lauric Acid, Myristic Acid, Butylene Glycol, Sodium Hyaluronate, Prunus Armeniaca (Apricot) Fruit Extract, Honey Extract;5;Lip Scrub;Lip Care;mengeksfoliasi bibir dengan lembut dan menghaluskan bibir untuk hasil bibir lembut & halus. -Perawatan eksklusif yang memberikan warna dan kelembapan pada bibir kering dan kasar. - Memberikan bibir bersinar dan sehat.
Lip Scrub Cotton Candy;LIPLAPIN;Rp41.400;Glucose, Honey (Mel), Cocos Nucifera Oil, ci 16255, ci 42090, Fragrance (Parfum) Components and Finished Fragrances.;4.5;Lip Scrub;Lip Care;membantu mengangkat sel kulit mati pada bibir pecah dan kusam sehingga bibir menjadi lebih halus dan lembut. tekstur bibir akan lebih halus dan mempermudah pemakaian lip product atau makeup. menutrisi dan melembapkan bibir.
Lip Bubble Scrub;NATURE REPUBLIC;Rp108.000;Water, Cellulose, Dipropylene Glycol, Glycerin, Sodium Cocoyl Alaninate, Lauryl Hydroxysultaine, Methylpropanediol, Methyl Perfluorobutyl Ether, Methyl Perfluoroisobutyl Ether, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, 1,2-Hexanediol, Coco-Glucoside, Glyceryl Caprylate, Dextrin, Stevioside, Fragrance, Sodium Cocoyl Isethionate, Sodium Phytate, Xanthan Gum, Quillaja Saponaria Bark Extract, Citric Acid, Camellia Japonica Seed Oil, Citrus Limon (Lemon) Peel Oil, Gluconolactone, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Centifolia Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Citrus Limon (Lemon) Fruit Extract, Caprylyl Glycol, Ethylhexylglycerin, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate.;5;Lip Scrub;Lip Care;membantu menjaga kehalusan bibir dengan membantu membersihkan sel kulit mati teratas pada bibir. membantu merawat bibir agar tetap lembap.
Dak Lak Coffee Lip Scrub;COCOON;Rp71.100;Butyrospermum Parkii Butter, Macadamia Integrifolia Seed Oil, Coffea Arabica Seed Powder, Carthamus Tinctorius Seed Oil, Synthetic Wax, C10-18 Triglycerides, Toco-Pheryl Acetate, Menthyl Lactate;4.6;Lip Scrub;Lip Care;mengeksfoliasi sel kulit mati pada bibir secara optimal. bibir bersih, lembap dan halus, menjaga kesehatan bibir dan membuatnya plump.
Lip Scrub Strawberry;LIPLAPIN;Rp41.400;Glucose, Honey (Mel), Cocos Nucifera Oil, ci 16255, Fragrance (Parfum) Components and Finished Fragrances.;4.4;Lip Scrub;Lip Care;mengangkat sel kulit mati pada bibir pecah dan kusam sehingga bibir menjadi lebih halus dan lembut. tekstur bibir akan lebih halus dan mempermudah pemakaian lip product atau makeup. menutrisi dan melembapkan bibir.
Lip Scrub Marshmallow;LIPLAPIN;Rp41.400;Glucose, Honey (Mel), Cocos Nucifera Oil, ci 16255, Fragrance (Parfum) Components and Finished Fragrances.;5;Lip Scrub;Lip Care;Melembapkan bibir, mengatasi bibir kering dan pecah-pecah, menutrisi bibir, memberikan warna natural dan tahan lama, menggantikan lipstick atau lipmatte, dapat digunakan sebagai lip sleeping balm, serta berfungsi sebagai cream blush untuk memberikan rona alami pada pipi.
Lip Scrub Bubble Gum;LIPLAPIN;Rp41.400;Glucose, Honey (Mel), Cocos Nucifera Oil, ci 42090, Fragrance (Parfum) Components and Finished Fragrances.;4.5;Lip Scrub;Lip Care;membantu mengangkat sel kulit mati pada bibir pecah dan kusam sehingga bibir menjadi lebih halus dan lembut. tekstur bibir akan lebih halus dan mempermudah pemakaian lip product atau makeup. menutrisi dan melembapkan bibir.
Lip Scrub Green Tea;LIPLAPIN;Rp41.400;Glucose, Honey, Cocos Nucifera (Coconut) Oil, CI 42053;4.2;Lip Scrub;Lip Care;membantu mengangkat sel kulit mati pada bibir pecah dan kusam sehingga bibir menjadi lebih halus dan lembut serta melemebabkan dan mencerahkan bibir
