name;brand;price;ingredients;rating;sub-category;category;benefit
Sold In Ceramide Lip Essence;TORRIDEN;Rp150.000;Polyisobutene, Petrolatum, Diisostearyl Malate, Simmondsia Chinensis Seed Oil, Shea Butter, Sorbitan Sesquioleate, Macadamia Ternifolia Seed Oil, Olea Europaea Fruit Oil, Adansonia Digitata Seed Oil, Ceramide NP, Ceramide NS, Ceramide AS, Ceramide EOP, Ceramide AP, Stearic Acid, Chloesterol, Vinegar, Sodium Hyaluronate, Panthenol, Trehalose, Hydrogenated Lecithin, Microcrystalline Wax, Hizikia Fusiforme Etract, Glycerin, Butylene Glycol, Purified Water, Caprylic/Capric Triglyceride, 1,2-Hexanediol;4.7;Lip Serum;Lip Care;Melembapkan bibir, mengunci kelembapan, menenangkan bibir kering dan teriritasi, serta melindungi bibir dari stres lingkungan.
DERMIES Hello Glow by ERHA ft SOSRO FlirTEA Lip Serum;DERMIES;Rp58.240;Phytosqualane, Ekstrak Teh Asli, Vitamin C, Vitamin E, Aloe Vera;5;Lip Serum;Lip Care;Melembabkan Mencerahkan Warna Bibir. Efektif membantu menyamarkan tampilan kerutan dan menjaga kelembapan di area bibir. Bibir akan terasa lebih lembap dan tampak sehat.
Rojukiss Lip Serum 5X Hyaluron Pink;ROJUKISS;Rp41.650;Octyldodecanol, Ethylhexyl Palmitate, Hydrogenated Polyisobutene, Silica Dimethyl Silylate, Polybutene, Lanolin, Persea Gratissima (Avocado) Oil, Butyl Methoxydibenzoylmethane, Pentylene Glycol, Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Potassium Hyaluronate, Tocopheryl Acetate, Simmondsia Chinensis (Jojoba) Seed Oil, Ricinus Communis (Castor) Seed Oil, Stevioside, Aqua (Water), Butylene Glycol, 1,2-Hexanediol, Trihydroxystearin, Xanthan Gum, Polyglutamic Acid, Caprylyl Glycol, Phenoxyethanol, Parfum (Fragrance), Tocopherol, Glucose, Chondrus Crispus Extract, CI 45410 (Red 27), CI 15850 (Red 6 Lake);4.8;Lip Serum;Lip Care;merevitalisasi, menghidrasi & menghindari kusam untuk kesehatan bibir. Mengembalikan kelembapan dan kelembutan bibir. Memberikan pewarna merah muda alami pada bibir.
Treatment Lip Serum;TERATU BEAUTY;Rp74.800;Caprylic/Capric Triglycerides, C26-28 Alkyl Dimethicone, Simmondsia chinensis Seed Oil, Squalane, Ethylhexyl methoxycinnamate, Tocopheryl Acetate, Argania spinosa kernel Oil, Persea gratissima Oil, Prunus amygdalus dulcis Oil, Ascorbyl Tetraisopalmitate, CI 45380, Fragrance ;5;Lip Serum;Lip Care;melindungi bibir dari sinar UV, menutrisi bibir dan membantu mencerahkan warna bibir. mengatasi bibir pecah-pecah dan membuat bibir terasa lebih lembab,  membantu membuat bibir terasa lembut. Memberikan warna merah alami pada bibir. 
Mixberry Juicy Lip Serum;GLAD2GLOW;Rp43.610;PETROLATUM, HYDROGENATED POLYDECENE, PENTAERYTHRITYL TETRAISOSTEARATE, MICROCRYSTALLINE WAX, CAPRYLIC/CAPRIC TRIGLYCERIDE, BIS-DIGLYCERYL POLYACYLADIPATE-2, OLEA EUROPAEA (OLIVE) FRUIT OIL, TRIDECYL TRIMELLITATE, SILICA DIMETHYL SILYLATE, BUTYROSPERMUM PARKII (SHEA) BUTTER, SYNTHETIC WAX, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, TOCOPHEROL, FRAGARIA ANANASSA FRUIT JUICE, RUBUS FRUTICOSUS (BLACKBERRY) FRUIT EXTRACT, POLYGLYCERYL-4 ISOSTEARATE, SQUALANE, GLYCERIN, DIPALMITOYL HYDROXYPROLINE, TOCOPHERYL ACETATE, AROMA, BISABOLOL, SYNTHETIC FLUORPHLOGOPITE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, SUCRALOSE, ETHYLHEXYLGLYCERIN, TITANIUM DIOXIDE, MICA, OCTYLDODECANOL, SILICA, TIN OXIDE, CI 19140, ZINGIBER OFFICINALE (GINGER) ROOT EXTRACT, ECHIUM PLANTAGINEUM SEED OIL, CI 77491, POLYHYDROXYSTEARIC ACID, BHT, ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, STEARIC ACID, CARDIOSPERMUM HALICACABUM FLOWER/LEAF/VINE EXTRACT, HYALURONIC ACID, PROPYLENE GLYCOL, CITRIC ACID, TRIDECETH-9.;5;Lip Serum;Lip Care;melembabkan, melembutkan dan menutrisi bibir agar tetap lembab dan cerah. menutrisi dan melembutkan bibir, menjaga kelembaban dan hidrasi pada bibir agar tetap kenyal dan sehat.
Rojukiss Lip Serum 5X Hyaluron Coral;ROJUKISS;Rp41.650;Octyldodecanol, Ethylhexyl Palmitate, Hydrogenated Polyisobutene, Silica Dimethyl Silylate, Polybutene, Lanolin, Persea Gratissima (Avocado) Oil, Butyl Methoxydibenzoylmethane, Pentylene Glycol, Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Potassium Hyaluronate, Tocopheryl Acetate, Simmondsia Chinensis (Jojoba) Seed Oil, Ricinus Communis (Castor) Seed Oil, Stevioside, Aqua (Water), Butylene Glycol, 1,2-Hexanediol, Trihydroxystearin, Xanthan Gum, Polyglutamic Acid, Caprylyl Glycol, Phenoxyethanol, Parfum (Fragrance), Tocopherol, Glucose, Chondrus Crispus Extract, CI 45410 (Red 27), CI 15850 (Red 6 Lake);5;Lip Serum;Lip Care;merevitalisasi, menghidrasi & menghindari kusam untuk kesehatan bibir.  Mengembalikan kelembapan dan kelembutan bibir. Memberikan pewarna merah muda alami pada bibir.
Tripeptide Lip Care;ROSE ALL DAY;Rp 69.300 - Rp 74.250;Palmitoyl Tripeptide-1, Acetyl Hexapeptide-8, Palmitoyl Tetrapeptide-7, 10 Superfood, Shea Butter, & Jojoba Oil;4.5;Lip Serum;Lip Care;merawat bibir kering & pecah-pecah. melembabkan, menghidrasi, & menyamarkan garis-garis bibir. memberikan tampilan Silky-Glazed Lips tanpa terasa lengket.
Peptide Brightening Lip Serum;SKINTIFIC;Rp87.920;PETROLATUM, HYDROGENATED POLYISOBUTENE, OCTYLDODECANOL, POLYGLYCERYL-2 TRIISOSTEARATE, TRIISOSTEARYL CITRATE, C10-30 CHOLESTEROL/LANOSTEROL ESTERS, ASCORBYL TETRAISOPALMITATE, ETHYLENE/PROPYLENE/STYRENE COPOLYMER, RICINUS COMMUNIS SEED OIL, SQUALANE, DIPALMITOYL HYDROXYPROLINE, SODIUM HYALURONATE, BUTYROSPERMUM PARKII BUTTER, TOCOPHEROL, HYDROGENATED CASTOR OIL, PALMITOYL TRIPEPTIDE-1, CERAMIDE NP, CERAMIDE NS, CERAMIDE AS, CERAMIDE EOP, CERAMIDE AP, PARFUM, BUTYLENE/ETHYLENE/STYRENE COPOLYMER, ETHYLHEXYL PALMITATE, DISODIUM EDTA, TRIBEHENIN, SORBITAN ISOSTEARATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, GLYCERIN, HYDROGENATED LECITHIN.;5;Lip Serum;Lip Care;membantu mencerahkan bibir, memberikan kelembapan tahan lama pada bibir terkelupas & kering, serta menghaluskan & melembutkan bibir. memberikan hasil akhir yang mengkilap dan plumpy.
Natural Lip Serum;JIERA;Rp41.870;Olea Europaea Fruit Oil, Caprylic/Capric Triglyceride, Ethyl Macadamiate, Tocopheryl Acetate, BHT, Crocus Sativus Flower Extract, Tocopherol, Malic Acid;4.6;Lip Serum;Lip Care;menjaga kelembapan kulit bibir dan mencegah bibir pecah-pecah, menutrisi dan menjaga kesehatan kulit bibir, melindungi bibir dari kerusakan akibat radikal bebas. 
Advanced Natural Lip Serum with Vitamin C;JIERA;Rp 44.240 - Rp 74.260;Vitamin C, Meadowestolide Foam,  Saffron Extract, Duo Vitamin E;4.6;Lip Serum;Lip Care;memberikan perlindungan antioksidan dari sinar UVB dan UVA dan memiliki efek mencerahkan kulit. menjaga kelembapan di epidermis. 
