name;brand;price;ingredients;rating;sub-category;category;benefit
Cherry Blossom Betaine Micellar Water;GLAD2GLOW;Rp 32.000 - Rp 46.500;AQUA, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, PROPYLENE GLYCOL, BETAINE, BUTYLENE GLYCOL, PRUNUS SPECIOSA FLOWER EXTRACT, SORBITOL, DISODIUM EDTA, CHLORPHENESIN, POLYAMINOPROPYL BIGUANIDE;5;Micellar Water;Cleanser;menyegarkan kulit dan seringan toner. Membersihkan makeup waterproof dan kotoran dengan sekali usapan, lembut di mata, serta memberikan rasa segar dan lembab, tanpa rasa lengket setelah membersihkan wajah.
Naturals Micellar Water;SAFI;Rp36.900;Water, Propanediol, PEG-6 Caprylic/Capric Glycerides, PEG-7 Glyceryl Cocoate, Betaine, Sodium PCA, Glycerin, Sodium Citrate, Disodium EDTA, Xanthan Gum, Sodium Hyaluronate, Melia Azadirachta (Neem) Leaf Extract, Citric Acid, Butylene Glycol, Fragrance, Phenoxyethanol, Chlorphenesin.;4.6;Micellar Water;Cleanser;Membersihkan riasan wajah serta kotoran dengan mudah dan seksama. Membantu untuk mengurangi minyak berlebih di wajah dan melindungi kulit dari bakteri penyebab jerawat.
Hyalurose Micellar Water;THE ORIGINOTE;Rp52.440;Water, Hexylene Glycol, Poloxamer 184, Decyl Glucoside, Glycerin, Disodium Cocoamphodiacetate, Allantoin, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Caprylyl Glycol, Sodium Chloride, Citric Acid, Hyaluronic Acid, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Disodium EDTA, Sodium Citrate, Fragrance(Parfum), Butylene Glycol, Ethylhexylglycerin, Rosa Damascena Flower Water, Pentylene Glycol, 1,2-Hexanediol, Octanediol;4.7;Micellar Water;Cleanser;menghilangkan make up dan membersihkan kulit. memiliki sensasi unik dan menyegarkan sehingga memberikan rasa nyaman saat digunakan. Menghilangkan make up dan membersihkan kulit. Melembapkan dan hidrasi pada kulit. Menyegarkan kulit.
Micellar Water & Oil Rose Care with Organic Rose Water;NIVEA;Rp 43.136 - Rp 91.820;Aqua, Isododecane, Glycerin, C15-19 Alkane, Coco-Caprylate/Caprate, Sodium Chloride, Phenoxyethanol, Trisodium EDTA, Isopropyl Palmitate, Caprylyl/Capryl Glucoside, Benzethonium Chloride, Rosa Damascena Flower Water, Potassium Sorbate, Sodium Benzoate, Sorbic Acid, Sodium Sulfate, Methyl Benzoate, BHT, Tocopherol, Parfum, CI 16035, CI 61570.;5;Micellar Water;Cleanser;Menghapus makeup waterproof, Menghapus make-up waterproof tanpa harus dibilas. Membersihkan secara menyeluruh, tanpa membuat kulit terasa kering. Membantu melembapkan kulit & mengembalikan kelembapan kulit alami selama 24 jam.  Kulit bersih, lembut, & halus, tanpa ada debu, kotoran, residu, ataupun minyak. Untuk kulit bersih, segar, lembab, & bebas bernapas.
DR.G pH Cleansing Water;DR.G;Rp306.600;Aqua, Dipropylene Glycol, Pentylene Glycol, Polyglyceryl-4 Caprate, 1,2-Hexanediol, Caprylyl/Capryl Glucoside, Polyglyceryl-3 Cocoate, Polyglyceryl-6 Caprylate, Polyglyceryl-6 Ricinoleate, Panthenol, Allantoin, Ethylhexylglycerin, Gluconolactone, Disodium EDTA, Butylene Glycol, Lactobacillus, Leuconostoc/Radish Root Ferment Filtrate, Bifida Ferment Lysate, Fructooligosaccharides, Streptococcus Thermophilus Ferment, Tocopherol, Dimethylsilanol Hyaluronate, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hyaluronic Acid, Potassium Hyaluronate, Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Hyaluronate Dimethylsilanol, Sodium Acetylated Hyaluronate.;5;Micellar Water;Cleanser;mengangkat debu dan sisa make-up. melembapkan dan merawat kulit wajah agar tetap halus, lembut dan tetap lembap.
Micellar Water Biphase;GARNIER;Rp52.000;Aqua/?Water, Cyclopentasiloxane, Isohexadecane, Argania Spinosa Oil/?Argania Spinosa Kernel Oil, Benzyl Alcohol, Benzyl Salicylate, Butyl Methoxydibenzoylmethane, Ci 60725 /? Violet 2, Decyl Glucoside, Dipotassium Phosphate, Disodium EDTA, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Geraniol, Haematococcus Pluvialis /? Haematococcus Pluvialis Extract, Hexylene Glycol, Limonene, Linalool, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Polyaminopropyl Biguanide, Potassium Phosphate, Sodium Chloride, Parfum/?Fragrance;5;Micellar Water;Cleanser;menutrisi kulit wajah serta mengangkat makeup waterproof. mampu angkat makeup waterproof, debu, dan kotoran bagai magnet. Kulit jadi bersih dan ternutrisi! - Mengangkat makeup waterproof - Membersihkan debu dan kotoran dari wajah - Menutrisi kulit wajah
Vitamin Micellar Water Charcoal;POND'S;Rp30.200; Water, Hexylene Glycol, Glycerin, Tocopheryl Acetate, Charcoal Powder, Panthenol, Niacinamide, Sodium Ascorbyl Phosphate, Retinyl Propionate, Hydroxyethyl Urea, Urea, PEG-6 Caprylic/Capric Glycerides, Propylene Glycol, Sodium Chloride, Potassium Chloride, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Ammonium Lactate, Cetrimonium Chloride, Cetylpyridinium Chloride, Citric Acid, Ethanolamine, Benzophenone-4, Tetrasodium EDTA, BHT, Phenoxyethanol, Sodium Sulfate, CI 17200, CI 19140, CI 61570;3.8;Micellar Water;Cleanser;membersihkan make up, kotoran, dan sunscreen hingga wajah menjadi glowing. hasil kulit yang bersih dan cerah untuk wajah
NIVEA Micellar Water Monophase Rose Care;NIVEA;Rp76.050;Aqua, PEG-40 Hydrogenated Castor Oil, Phenoxyethanol, 1,2-Hexanediol, Glycerin, Sorbitol, Poloxamer 124, Trisodium EDTA, Decyl Glucoside, Panthenol, Polyquaternium-10, Rosa Damascena Flower Water, Disodium Cocoyl Glutamate, Citric Acid, Pantolactone, Propylene Glycol, Sodium Chloride, Sodium Sulfate, Potassium Sorbate, Sodium Benzoate, Sorbic Acid, Linalool, Geraniol, Citronellol, Limonene, Methyl Benzoate, Tocopherol, Parfum, CI 16035, CI 61570;5;Micellar Water;Cleanser;membersihkan, menutrisi, dan melindungi kulit Anda, sekaligus memberikan perawatan lembut namun efektif yang menjaga kulit Anda halus, kenyal, dan cantik berseri. menyegarkan, melembabkan, dan menghidrasi untuk kilau kemerahan alami.  efektif membersihkan make-up sehari-hari.  Membersihkan dan melembabkan kulit Anda dengan lembut.
Micellar Water Drop Cleanser Bright Stuff;EMINA;Rp35.400;Aqua, PEG-6 Caprylic/?Capric Glycerides, Propanediol, PEG-7 Olive Glycerides, Propylene Glycol, Phenoxyethanol, Panthenol, Allantoin, Cetrimonium Bromide, Aloe Vera (Leaf) Extract, Disodium EDTA, Cucumis Sativus (Fruit) Extract, Ethylhexylglycerin, Biosaccharide Gum-2, Butylene Glycol, Actinidia Polygama Fruit Extract, Potassium Sorbate, Sodium Benzoate;4;Micellar Water;Cleanser;membantu mencerahkan dan melindungi kulit dari polusi. membuat wajah tampak lebih cerah, mengangkat dan membersihkan make up dalam satu kali usap, menyegarkan
Micellar Water Rose;GARNIER;Rp112.000;AQUA / WATER, HEXYLENE GLYCOL, GLYCERIN, ROSA DAMASCENA FLOWER WATER, PPG-26-BUTETH-26, PEG-40 HYDROGENATED CASTOR OIL, ARGININE, POLOXAMER 184, DISODIUM COCOAMPHODIACETATE, DISODIUM EDTA, PROPANEDIOL, CITRIC ACID, SALICYLIC ACID, MYRTRIMONIUM BROMIDE, LINALOOL, LIMOLENE, PARFUM / FRAGRANCE;4;Micellar Water;Cleanser;Mampu membersihkan wajah dengan lembut dan melembabkan, membersihkan dengan lembut dan melembapkan, sehingga wajah bersih dan tampak glowing. menenangkan. - Membersihkan dengan lembut dan melembapkan - Membuat wajah bersih dan tampak glowing
