name;brand;price;ingredients;rating;sub-category;category;benefit
Phytoncide Peeling Gel;KLAVUU;Rp256.500;Water, Chamaecyparis Obtusa Water, Cellulose, Alcohol Denat, Butylene Glycol, 1,2-Hexanediol, Polyglyceryl-4 Caprate, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Caprylyl Glycol, Glycerin, Hydroxyethyl Urea , Carbomer , Fucus Vesiculosus Extract, Tromethamine , Ethylhexylglycerin, Panthenol, Disodium EDTA, Salix Alba (Willow) Bark Extract, Houttuynia cordata Extract, Capryloyl Salicylic Acid , Gaultheria Procumbens (Wintergreen) Leaf Extract;5;Peeling;Cleanser;membersihkan sel-sel kulit mati dan mengangkat kotoran dengan lembut. Tekstur kulit menjadi lebih halus dan complexion wajah menjadi lebih cerah bercahaya. Penyerapan skincare dapat lebih maksimal karena pori-pori wajah bersih sempurna.
Apricot Glycolic Acid Exfo Smooth Peeling Gel;GLAD2GLOW;Rp44.000;AQUA, CELLULOSE, GLYCERIN, METHYLPROPANEDIOL, 1,2-HEXANEDIOL, GLYCOLIC ACID, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, MALIC ACID, CITRIC ACID, HYDROXYACETOPHENONE, MALVA SYLVESTRIS FLOWER EXTRACT, PAEONIA LACTIFLORA ROOT EXTRACT, ALOE BARBADENSIS LEAF JUICE, PRUNUS ARMENIACA KERNEL EXTRACT, LONICERA JAPONICA FLOWER EXTRACT, TARAXACUM OFFICINALE RHIZOME/ROOT EXTRACT, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, HYDROLYZED RHODOPHYCEAE EXTRACT, TOCOPHERYL ACETATE, ASCORBYL PALMITATE, VIOLA YEDOENSIS EXTRACT, MARIS AQUA, CI 77492, HYDROXYPROPYL METHYLCELLULOSE, SODIUM HYDROXIDE, TARTARIC ACID, AROMA, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL, SODIUM BENZOATE, POTASSIUM SORBATE.;5;Peeling;Cleanser;Eksfoliasi peeling produk yang mampu mengangkat sel kulit mati, membersihkan pori, minyak dan kotoran hingga bersih, dilengkapi dengan scrub yang lembut dan mudah terurai saat diaplikasikan di wajah dan tidak merusak skin barrier kulit untuk Menghasilkan tampilan wajah bersih dan cerah serta bebas dari komedo.
One By KOSE Clear Peel Serum;KOSE;Rp551.760;Water, DPG, ethanol, BG, trehalose, glycerin, polysaccharide producing alkaligens, tocopherol, witch hazel leaf extract, sodium hyaluronate, vitamin C derivative, vitamin E derivative, EDTA-2Na, dimethicone butyl ether, PEG- 10 dimethicone, cocamide PEG-3, cocamide PEG-6, decyltetradecet-20 PG-6, crosspolymer, citric acid, glycerol-26, sodium hydroxide, phenoxyethanol, flavor;0;Peeling;Cleanser;Mengecilkan pori-pori, menghaluskan kulit, mengurangi komedo, membersihkan keratin dan kotoran, meningkatkan penyerapan skincare, membuat makeup lebih tahan lama.
Super Aqua Ultra Hyalron Peeling Gel;MISSHA;Rp243.750;Water, Glycerin, Cellulose, Butylene Glycol, Dipropylene Glycol, Pentylene Glycol, C12-14 Pareth-12, 1,2-Hexanediol, Carbomer, Tromethamine, Caprylyl Glycol, Betaine, Citrus Aurantium Dulcis Peel Oil, Lavandula Angustifolia Oil, Disodium EDTA, Glycine Soja Seed Extract, Dipotassium Glycyrrhizate, Pinus Sylvestris Leaf Oil, Propanediol, Octanediol, Sodium Hyaluronate, Ethylhexylglycerin, Benzyl Glycol, Hydrolyzed Glycosaminoglycans, Hydroxypropyltrimonium Hyaluronate, Sodium Hyaluronate Crosspolymer, Citrus Aurantifolia Fruit Extract, Citrus Aurantium Dulcis Fruit Extract, Citrus Limon Fruit Extract, Paeonia Suffruticosa Root Extract, Pyrus Malus Fruit Extract, Vitis Vinifera Fruit Extract, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Potassium Hyaluronate.;4.8;Peeling;Cleanser;Mengangkat sel kulit mati, mencerahkan kulit, melembabkan tanpa rasa kencang, cocok untuk kulit sensitif, membersihkan kotoran hingga ke dalam pori-pori.
Peeling Solution;THE ORIGINOTE;Rp33.440;Water, glycerin, glycolic acid, rosa damascena flower water, Lactobionic acid, glycereth-26, salicylic acid, niacinamide, sodium hydroxide, butylene glycol, propanediol, hydroxyethylpiperazine ethane sulfonic acid, hydroxyethylcellulose, 1,2-hexanediol, xanthan gum, peg-40 hydrogenated castor oil, allantoin, caprylhydroxamic acid, fragrance, centella asiatica extract, dextrin, vaccinium myrtillus fruit extract, stephania tetrandra extract, polygonum cuspidatum root extract, scutellaria baicalensis root extract, camellia sinensis extract, saccharum officinarum (sugar cane) extract, camellia sinensis leaf extract, glycyrrhiza glabra (licorice) root extract, chamomilla recutita (matricaria) flower extract, rosmarinus officinalis (rosemary) leaf extract, citrus aurantium dulcis (orange) fruit extract, citrus limon (lemon) fruit extract, acer saccharum (sugar maple) extract, sodium benzoate, potassium sorbate, CI 42090;4.5;Peeling;Cleanser;membantu memperbaiki jerawat, dan memperbaiki tekstur muka yang tidak rata serta wajah yang lebih cerah. mengeksfoliasi dari lapisan dalam dan luar kulit wajah. mengunci hidrasi dan menyamarkan garis-garis halus pada kulit. membantu menyembuhkan jerawat, menjaga hidrasi kulit dan sebagai anti-aging. 
PHA Resurfacing Glow Peel;AXIS-Y;Rp189.000;Water, Butylene Glycol, Gluconolactone (10%), Glycerin, Tromethamine, 1,2-Hexanediol, Sclerotium Gum, Sodium Acrylic Acid/MA Copolymer, Xanthan Gum, Ethylhexulglycerin, Disodium EDTA, Caprylyl Glycol, Camellia Japonica Flower Extract, Carica Papaya (Papaya) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Vitis Vinifera (Grape) Fruit Extract, Prunus Mume Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Centella Asiatica Extract, Tocopherol;0;Peeling;Cleanser;Mengeksfoliasi kulit, membersihkan pori-pori, merejuvenasi kulit, menenangkan kulit, membersihkan kulit sejak penggunaan pertama, menutrisi kulit agar sehat bercahaya, melawan polusi dan agresor eksternal, mengangkat kotoran dan sel kulit mati, membuat kulit terasa bersih dan tenang.
AHA BHA PHA Intensive Peeling Solution;GLAD2GLOW;Rp39.000;AQUA, GLYCERIN, GLYCERETH-26, GLYCOLIC ACID, PEG-12 DIMETHICONE, POLYSORBATE 20, NIACINAMIDE, PEG/PPG-17/6 COPOLYMER, DIPROPYLENE GLYCOL, LACTIC ACID, ALOE BARBADENSIS LEAF WATER, POTASSIUM HYDROXIDE, PEG-40 HYDROGENATED CASTOR OIL, PHENOXYETHANOL, CITRIC ACID, HYDROXYPROPYL CYCLODEXTRIN, SALICYLIC ACID, CELLULOSE GUM, POLYACRYLATE CROSSPOLYMER-6, XANTHAN GUM, INOSITOL, 1,2-HEXANEDIOL, BETA VULGARIS ROOT EXTRACT, DIPEPTIDE-15, HYDROXYACETOPHENONE, PARFUM, BRASSICA OLERACEA ACEPHALA LEAF EXTRACT, MALTODEXTRIN, GLUCONOLACTONE, o-CYMEN-5-OL, ETHYLHEXYLGLYCERIN, BUTYLENE GLYCOL, POLYQUATERNIUM-51, PENTYLENE GLYCOL, BETA-GLUCAN, HYDROGENATED LECITHIN, ZINC PCA, SODIUM HYALURONATE, FOMES OFFICINALIS EXTRACT, PROPANEDIOL, CENTELLA ASIATICA LEAF EXTRACT, SODIUM LACTATE, PAEONIA ALBIFLORA ROOT EXTRACT, SUCROSE, UREA, SODIUM CITRATE, TARTARIC ACID, MALIC ACID, QUATERNIUM-73.;5;Peeling;Cleanser;Membantu kulit terasa halus, tampak cerah & berseri.
12% AHA BHA PHA LHA Peeling Solution;SKINTIFIC;Rp115.650;"AQUA, GLYCOLIC ACID, LACTIC ACID, SUCCINIC ACID, SODIUM HYDROXIDE, SALICYLIC ACID, NIACINAMIDE, CAPRYLOYL SALICYLIC ACID, GLUCONOLACTONE, LACTOBIONIC ACID, GLYCERIN, XANTHAN GUM; 1,2-HEXANEDIOL, HYDROXYACETOPHENONE, BUTYLENE GLYCOL, PROPYLENE GLYCOL, ENANTIA CHLORANTHA BARK EXTRACT, GARDENIA FLORIDA FRUIT EXTRACT, GLYCEROPHOSPHOINOSITOL CHOLINE, BACILLUS FERMENT, BRASSICA OLERACEA ACEPHALA LEAF EXTRACT, PHENOXYETHANOL, POTASSIUM SORBATE, ETHYLHEXYLGLYCERIN, OLEANOLIC ACID, CYCLODEXTRIN";4.7;Peeling;Cleanser;Merawat kulit agar tetap lembut, Membantu menyamarkan tampilan pori-pori pada wajah. mengangkat sel kulit mati di permukaan. efek peremajaan dan revitalisasi pada kulit.
Bio Peel Gauze Peeling Wine;NEOGEN DERMALOGY;Rp279.650;Alcohol Denat, Carbomer, Fragrance (Parfum), Glycerin, Lactic Acid, Oryza Sativa Bran, PEG-60 Hydrogenated Castor Oil, Phenoxyethanol, Sodium Hyaluronate, Tartaric Acid, 1,2-Hexanediol, Aqua, Benzophenone-5, Butylene Glycol, Ci 15985, Ci 17200, Ci 42090, Coptis Japonica Extract, Ethylhexylglycerin, Glycolic Acid, Peg/Ppg-17/6 Copolymer, Rubus Idaeus Fruit Extract, Vaccinium Angustifolium Fruit Extract, Vaccinium Angustifolium Fruit Extract, Wine Extract, Disodium EDTA, Chamomilla Recutita Extract.;4.5;Peeling;Cleanser;Eksfoliasi, menghaluskan kulit, mengangkat sel kulit mati, mengurangi tanda-tanda penuaan.
B5 Peeling Solution;THE ORIGINOTE;Rp48.300;Water, Glycolic Acid, Butylene Glycol, Sodium Hydroxide, Propanediol, Gluconolactone, Glycerin, Pentylene Glycol, Salicylic Acid, Panthenol, Xantham Gum, Hydrolyzed Gardenia Florida Extract, Maltodextrin, Ethylhexylglycerin, Xylitol, Disodium EDTA, 1,2-Hexanediol, Tremella Fuciformis (Mushroom) Extract, Ascorbyl Glucoside, Magnesium Chloride, Tocopherol, Calcium Gluconate, Pyridoxine HCI, Centella Asiatica Extract, Allantoin, Chondrus Crispus Extract, Yeast Extract, Saccharum Officinarum (Sugarcane) Extract, Cyanocobalamin;5;Peeling;Cleanser;mengangkat sel kulit mati, merawat texture serta tampilan wajah sehingga terlihat lebih sehat.
