name;brand;price;ingredients;rating;sub-category;category;benefit
Blackhead Pack;NACIFIC;Rp170.235;Water, Glycerin, Palmitic Acid, Lauric Acid, Stearic Acid, Potassium Hydroxide, Myristic Acid, Glyceryl Stearate, PEG-32, Charcoal Powder, Propanediol, Cocamidopropyl Betaine, PEG-100 Stearate, Sodium Chloride, Phenoxyethanol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Ethylhexylglycerin, Arachidic Acid, Disodium EDTA, Lavandula Angustifolia (Lavender) Oil, Capric Acid, Oleic Acid, Butylene Glycol, Gluconolactone, Citric Acid, Camellia Sinensis Leaf Extract, Mannitol, Papain, Aloe Barbadensis Leaf Extract, 1,2-Hexanediol, Bromelain, Origanum Vulgare Leaf Extract, Salix Alba (Willow) Bark Extract, Pyrus Malus (Apple) Fruit Extract, Chamaecyparis Obtusa Leaf Extract, Scutellaria Baicalensis Root Extract, Portulaca Oleracea Extract, Cinnamomum Cassia Bark Extract, Lactobacillus/Soybean Ferment Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Glycine Soja (Soybean) Seed Extract, Sesamum Indicum (Sesame) Seed Extract, Rubus Fruticosus (Blackberry) Fruit Extract, Oryza Sativa (Rice) Extract, Allium Sativum (Garlic) Bulb Extract, Morus Alba Fruit Extract, Juniperus Communis Fruit Extract, Lecithin, Limonene, Linalool;4.4;Scrub;Cleanser;membersihkan kotoran yang menyebabkan pori-pori tersumbat sekaligus membuat tampilan pori-pori lebih kecil dengan kandungan alami. sisa kotoran dan sebum pada pori-pori dapat terangkat dan kulit menjadi lebih cerah serta halus
Pore Clear Bha Pad;NEOGEN DERMALOGY;Rp364.535;Water, Butylene Glycol, 1,2-HexanedioI, Glycerin, Betaine Salicylate, Arginine, Glycereth-25 PCA Isostearate, Ethylhexylglycerin,Oenothera Biennis (Evening Primrose) Flower Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Pueraria Lobata Root Extract, Guaiazulene, Gluconolactone, Panthenol, Capylcyl Salicylic, Vitis Vinifera (Grape) Fruit Extract, Glycolic Acid, Camellia Sinensis Leaf Extract, Diospyros Kaki Leaf Extract, Zanthoxylum Schinifolium Leaf Extract, Sodium Hyaluronate, Diospyros Kaki Fruit Extract, Pentylene Glycol, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Sodium Hyaluronate Crosspolyner;0;Scrub;Cleanser;membantu merawat kulit yang berminyak dan pori-pori tersumbat. membantu mengangkat sel kulit mati sehingga wajah tampak cerah dan sehat.
Bio-Renew Deep Exfoliating Gel;BIO-ESSENCE;Rp135.920;Aqua/Water, Cyclomethicone, Dimethiconol, Zinc Carbonate, Vaccinium Myrtillus (Bilberry) Seed Oil, Vaccinium Myrtillus (Bilberry) Fruit Extract, Saccharum Officinarum (Sugar cane) Extract, Acer Saccharum (Sugar Maple) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Royal Jelly;4.6;Scrub;Cleanser;mengangkat komedo itam & komedo putih. Membantu mengangkat sel kulit mati dari dalam lapisan kulit untuk penyerapan nutrisi produk berikutnya menjadi lebih baik. Membantu mencerahkan, melembutkan dan menghaluskan kulit. Membersihkan minyak agar wajah tidak kusam dan tampak lebih cerah. Membantu mencegah timbulnya jerawat akibat kotoran.
Licorice Light Up Brightening Pad;NPURE;Rp 20.000 - Rp 99.000;Water, Butylene Glycol, Niacinamide, Methylpropanediol, 1,2-Hexanediol, Caffeine, Phenoxyethanol, Hydroxyacetophenone, PEG-60 Hydrogenated Castor Oil, Sodium Citrate, Octyldodeceth-16, Disodium EDTA, Allantoin, Xanthan Gum, Caprylyl Glycol, Ethylhexylglycerin, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citric Acid, Citrus Aurantium Dulcis (Orange) Peel Oil, Tocopherol, Gluconolactone, Dipotassium Glycyrrhizate, Acetyl Glucosamine, Salix Alba (Willow) Bark Extract, Palmitoyl Tetrapeptide-10, Galactomyces Ferment Filtrate, Lactic Acid, Glycyrrhiza Uralensis (Licorice) Root Extract, Caprylic/Capric Triglyceride, Cetyl Palmitate, Sorbitan Stearate, Polysorbate 80, Sodium Benzoate, Hydrogenated Lecithin.;5;Scrub;Cleanser;mengangkat sel kulit mati secara lembut. melembapkan, menghaluskan, dan membuat kulit tampak cerah bersinar.
Fresh Radiance Brightening Scrub;AZARINE;Rp32.500;;4.5;Scrub;Cleanser;mengangkat sel kulit mati, membersihkan wajah dari debu, polusi dan kotoran.  membersihkan hingga ke dalam pori- pori agar wajah tampak bersih, sehat dan cerah bersinar.
Calming Cicatree Pad (90 Pads);NEOGEN DERMALOGY;Rp292.810;Water, Butylene Glycol, Glycerin, Dipropylene Glycol, 1,2-Hexanediol, Centella Asiatica Extract(10,000Ppm), Betaine, Cetearyl Olivate, Sorbitan Olivate, Panthenol, Gluconolactone, Glyceryl Caprylate, Tromethamine, Ethylhexylglycerin, Acrylates/?C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Allantoin, Asiaticoside(36Ppm), Madecassic Acid(32Ppm), Asiatic Acid(32Ppm), Guaiazulene, Niacinamide, Adenosine, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Zinc Pca, Capryloyl Salicylic Acid, Houttuynia Cordata Extract, Caprylic/?Capric Triglyceride, Adansonia Digitata Seed Oil, Hydrogenated Lecithin, Ceramide NP, Sodium Hyaluronate, Portulaca Oleracea Extract, Saururus Chinensis Extract, Propolis Extract, Caprylyl Glycol, Tocopheryl Acetate, Hydroxypropyltrimonium Hyaluronate, Madecassoside(10Ppb), Aloe Barbadensis Leaf Extract, Acorus Calamus Root Extract, Pentylene Glycol, Ceramide NS, Ceramide AS, Ceramide EOP, Ceramide AP, Glucose, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Hyaluronic Acid, Chondrus Crispus (Carrageenan) Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Sodium Hyaluronate Crosspolymer, Hydrolyzed Sodium Hyaluronate, Potassium Hyaluronate, Limonene, Linalool;4.8;Scrub;Cleanser;membantu sebagai gentle exfoliation sambil melembabkan, meratakan tekstur kulit, dan menenangkan wajah iritasi, menjadikannya lembab dan halus.
Reborn AHA-BHA-PHA Peeling Gel;HALE;Rp119.970;Water, Quaternium-60, Propylene Glycol, Carbomer, Pentylene Glycol, Dipropylene Glycol, 1,2-Hexanediol, Centella Asiatica Leaf Water, Allantoin, Phenoxyethanol, Disodium EDTA, Lactobionic Acid, Lactic Acid, Salicylic Acid;4.7;Scrub;Cleanser;Mengangkat sel kulit mati, membuat kulit terlihat lebih cerah, membantu membuka pori-pori yang tersumbat dengan lembut, Menghaluskan tekstur kulit yang kasar sekaligus mempertahankan kelembapan alami kulit, Anti jerawat, Pengelupas kulit, Pelembut kulit
AcneAct Acne Cleansing Scrub Beta Plus (ACSBP);ERHA;Rp107.520;Asam Salisilat, Sulfur;5;Scrub;Cleanser;mengurangi produksi minyak berlebih, membunuh bakteri penyebab jerawat, serta mempercepat pengeringan jerawat. Lembut dan Aman untuk Kulit Berjerawat, ampuh membersihkan sel kulit mati dan kotoran hingga ke pori-pori.
Aquabella Micro Exfoliating Purifying Gel;NUXE;Rp283.500;Water, Sodium Lauroyl Sarcosinate, Pentylene Glycol, Parfum, Hydroxyethyl Urea, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Cocamidopropyl Betaine, Hydrated Silica, Phenoxyethanol, Sodium Hydroxide, Glyceryl Laurate, Sodium Gluconate, Mannitol, Sodium Chloride, Microcrystalline Cellulose, Ammonium Lactate, Glycerin, Sodium Hyaluronate, Avena Sativa Kernel Extract, Sodium Benzoate, Lens Esculenta Seed Extract, Tropaeolum Majus Flower/Leaf/Stem Extract, CI 77007, Propanediol, Nymphaea Alba Flower Extract, Linalool, Benzyl Salicylate.;4.4;Scrub;Cleanser;membersihkan tanpa mengeringkan kulit, menghilangkan sebum berlebih dan menghaluskan membuat kulit lebih jernih, segar dan bercahaya. 
Ji Woo Gae Heartleaf BHA Peeling Pad;CELIMAX;Rp251.100;Aqua, Butylene Glycol, Dipropylene Glycol, Glycerin, 1,2-Hexanediol, Houttuynia Cordata Extract, Betaine, Betaine Salicylate, Polyglyceryl-10 Laurate, Arginine, Polyglyceryl-10 Myristate, Chlorphenesin, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Disodium EDTA, Chamaecyparis Obtusa Water, Sea Water, Camellia Sinensis Leaf Water, Sodium Hyaluronate, Limonene, Ethylhexylglycerin, Madecassoside, Asiaticoside, Madecassic Acid, Asiatic Acid.;5;Scrub;Cleanser;membantu dalam proses pengangkatan sel kulit mati teratas secara physical,  membantu melembutkan sel kulit mati teratas pada kulit secara lembut. membantu menjaga kulit tetap lembap. Kulit terasa lebih halus dan lembut.
