name;brand;price;ingredients;rating;sub-category;category;benefit
Airy Fit Sheet Mask Tea Tree;MISSHA;Rp16.560;Water, Dipropylene Glycol, Glycereth-26, Glycerin, Propanediol, 1,2-Hexanediol, Butylene glycol, Allantoin, Camellia Sinensis Leaf Extract, Zingiber Officinale (Ginger) Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Coptis Japonica Root Extract , Dipotassium Glycyrrhizate, Disodium EDTA, Sodium Hyaluronate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Beta-Glucan, Sodium Carbomer, Hydroxyethylcellulose, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Ethylhexylglycerin.;5;Sheet Mask;Face Mask;menyegarkan, melembabkan dan menyerap secara mendalam, Memberikan kenyamanan kulit dan melekat dengan sangat baik. melembabkan, dan menjadikan tekstur kulit halus dan lembut.
Ultimate Cream Mask;REAL BARRIER;Rp50.000;Water/Aqua, Butylene Glycol, Glycerin, Niacinamide, 1,2-Hexanediol, Polysorbate 60, Dimethicone, Caprylic/Capric Triglyceride, Glycereth-26, Pentylene Glycol, Cetearyl Alcohol, Caprylyl Methicone, Betaine, Cetearyl Olivate, Allantoin, Sorbitan Olivate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Tauratecopolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Adenosine, Ethylhexylglycerin, Disodium Edta, Arginine, Sodium Polyacrylate, Panthenol, Myristoyl/Palmitoyl Oxostearamide/Arachamide Mea, Dihydroxyisopropyl Palmoylpalmamide, Sorbitan Isostearate, Xylitylglucoside, Anhydroxylitol,Sodium Hyaluronate, Xylitol, Lavandula Angustifolia (Lavender) Oil, Bis-Capryloyloxypalmitamido Isopropanol, Sorbitan Laurate, Glucose, Hydroxyethylcellulose, Madecassoside, Acetyl Dipeptide-1 Cetyl Ester, Caprylyl Glycol, Tocopherol, Acetyl Heptapeptide-4, Madecassic Acid, Asiaticoside, Centella Asiaticaextract, Asiatic Acid.;3.8;Sheet Mask;Face Mask;membantu merawat kulit, melembabkan kulit. mampu menjaga kandungan air yang ada pada kulit. menjaga kulit agar terlindungi dari paparan debu dan polusi. Dapat menjaga elastisitas kulit.
P.CALM UnderpPore Mask Pack;P.CALM;Rp35.000;Purified water, propanediol, butylene glycol, niacinamide, glycerin, 1,2-hexanediol, ammonium acryloyldimethyltaurate/Vpicopolymer, dimethicone/vinyldimethicone crosspolymer, xanthan gum , adenosine, polyglyceryl-10 myristate, peony root extract, salicylic acid, arginin, Carbomer, Tocopherol, Glycosphingolipid, Glycolipid, Lactobacillus fermentation lysate, Lactococcus fermentation lysate, Centella asiatica leaf extract, Bifida fermentation lysate, Dipropylene glycol, Panthenol, Hydrogenated lecithin, Asia Ticoside, Madecassic Acid, Asiatic Acid, Beta-Glucan, Ceramide NP, Ethylhexylglycerin.;5;Sheet Mask;Face Mask;mampu mengurangi sebum, menenangkan kulit, mencerahkan, hingga mengurangi kerutan secara bersamaan, Mampu mengeksfoliasi dan menghidrasi kulit dalam waktu bersamaan, mampu meminimalisir jumlah bahan aktif yang mungkin menguap tanpa terserap kedalam kulit.  Mampu menenangkan kulit dan  jerawat, meregenerasi barrier kulit, hingga memperbaiki noda dan hiperpigmentasi
YADAH Moisturizing Mask Pack;YADAH;Rp29.750;Aqua, Glycerin, Cyclopentasiloxane, Polysorbate 80, Carbomer, Xanthan Gum, Cyclohexasiloxane, Phenoxyethanol, Honey Extract, Butylene Glycol, Cetyl Ethylhexanoate, Ascophyllum Nodosum Extract, Disodium EDTA, Zanthoxylum Piperitum Fruit Extract, Epilobium Angustifolium Flower/Leaf/Stem Extract, Lonicera Japonica Flower Extract, Portulaca Oleracea Extract, Glyceryl Stearate, Citrus Paradisi Fruit Extract, Sodium Hydroxide, 1,2-Hexanediol, Ceteth-10, Ceteth-20, Sodium Hyaluronate, Acer Saccharum Extract.;0;Sheet Mask;Face Mask;menghidrasi, menjaga kelembapan dan memberi rasa kencang pada kulit.
Comfort me. Moss Calming Mask;MAKE P:REM;Rp42.420;Cetraria Islandica Extract(910,635ppm), 1,2-Hexanediol, Propanediol, Dipropylene Glycol, Glycerin, Panthenol, Madecassoside, Betaine, Hydroxyacetophenone, Hexylene Glycol, Carbomer, Arginine, Hydroxyethylcellulose, Disodium EDTA, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Prunus Amygdalus Amara (Bitter Almond) Kernel Oil, Hedera Helix (Ivy) Leaf/Stem Extract, Pyrus Malus (Apple) Fruit Extract, Vanilla Planifolia Fruit Extract, Jasminum Officinale (Jasmine) Flower Water, Citric Acid, Cyclodextrin;4.5;Sheet Mask;Face Mask;menenangkan kulit iritrasi.
Vegan Green Mild All In One Mask;MULDREAM;Rp23.400;Water, Glycerin, Butylene Glycol, Macadamia Ternifolia Seed Oil, Ceramide NP, Panthenol, Portulaca Oleracea Extract, Angelica Gigas Root Extract, Bupleurum Falcatum Root Extract, Ophiopogon Japonicus Root Extract, Daucus Carota Sativa (Carrot) Root Extract, Panax Ginseng Root Extract, Centella Asiatica Extract, Camellia Sinensis Leaf Extract, Madecassoside, Asiaticoside, Beta-Glucan, Sodium Hyaluronate, Adenosine, Betaine, Allantoin, Oenothera Biennis (Evening Primrose) Oil, Linum Usitatissimum (Linseed) Seed Oil, Tromethamine, C12-14 Pareth-12, Sorbitan Isostearate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer;5;Sheet Mask;Face Mask;Memperkuat skin barrier, menenangkan, memberi hidrasi, memperlambat efek penuaan, menghaluskan garis halus dan keriput.
Vita Genic Jelly Mask Cica;BANOBAGI;Rp13.900;Water, Panthenol, Methylpropanediol, Glycerin, Niacinamide, Trehalose, Hydrogenated Phosphatidylcholine, Caprylic/Capric Triglyceride, Asiaticoside, Madecassic Acid, Asiatic Acid, Centella Asiatica Extract, Sucrose Stearate, Madecassoside, Cholesterol, Volcanic Ash, Thiamine Hcl, Riboflavin, Niacin, Carnitine Hcl, Pantothenic Acid, Biotin, Folic Acid, Ascorbic Acid, Tocopherol, Cyanocobalamin, Glyceryl Linoleate, Glyceryl Linolenate, Glyceryl Arachidonate, Allantoin, Sodium Hyaluronate, Adenosine, Dipotassium Glycyrrhizate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Arginine, Disodium EDTA, 1,2-Hexanediol, Hydroxyacetophenone;4.3;Sheet Mask;Face Mask;Melembapkan dan menenangkan kulit kering serta sensitif. Membersihkan kotoran dan menghaluskan kulit. Mencerahkan kulit kusam dan mengurangi garis halus serta kerutan. Memberikan hidrasi dan nutrisi untuk kulit.
Squeeze Energy Mask Pomegranate;INNISFREE;Rp 14.000 - Rp 17.500;WATER, BUTYLENE GLYCOL, DIPROPYLENE GLYCOL, GLYCERIN, PUNICA GRANATUM FRUIT JUICE, GLYCERYL POLYMETHACRYLATE, 1,2-HEXANEDIOL, POLYGLYCERYL-10 LAURATE, ARGININE, CARBOMER, GLYCERYL CAPRYLATE, XANTHAN GUM, ETHYLHEXYLGLYCERIN, PAEONIA SUFFRUTICOSA ROOT EXTRACT, CENTELLA ASIATICA EXTRACT, DISODIUM EDTA, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, DIETHYLHEXYL SODIUM SULFOSUCCINATE, VANILLA PLANIFOLIA FRUIT EXTRACT, RUBUS SUAVISSIMUS (RASPBERRY) LEAF EXTRACT, PRUNUS PERSICA (PEACH) FRUIT EXTRACT, PYRUS COMMUNIS (PEAR) FRUIT EXTRACT, PRUNUS ARMENIACA (APRICOT) FRUIT EXTRACT, SODIUM HYALURONATE, PYRUS MALUS (APPLE) FRUIT EXTRACT, HEDERA HELIX (IVY) LEAF/STEM EXTRACT;5;Sheet Mask;Face Mask;membantu kulit menyerap essence secara efisien.
KEANA Rice Mask;KEANA NADESHIKO;Rp129.000;Water, Glycerin, Propylene Glycol, Alcohol, Styrene/VP Copolymer, Xanthan Gum, Phenoxyethanol, Methylparaben, Butylene Glycol, Rice Ferment Filtrate (Sake), Oryza Sativa (Rice) Bran Oil, Glycosphingolipids, Hydrogenated Lecithin, Hydrogenated Lysolecithin, Pentylene Glycol, Arginine, Polysorbate 80, Sodium Citrate, Citric Acid, Hydrolized Rice Bran Extract;4.8;Sheet Mask;Face Mask;membuat kulit kering menjadi lembut dan lembap, menghasilkan tekstur kulit yang lembut, lembap, dan kenyal. Direkomendasikan untuk kulit kering dengan pori-pori yang besar, menonjol, dan terlihat jelas.
Airy Fit Sheet Mask Red Ginseng;MISSHA;Rp16.560;Water, Glycerin, Dipropylene Glycol, Cetyl Ethylhexanoate, 1,2-Hexanediol, Stearic Acid, Sorbitan Sesquioleate, Cetearyl Alcohol, Sorbitan Stearate, Glyceryl Stearate, Carbomer, Arginine, Butylene Glycol, Caprylic/?Capric Triglyceride, Coptis Japonica Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Zingiber Officinale (Ginger) Root Extract, Camellia Sinensis Leaf Extract, Glycerin, Trehalose, Ethylhexylglycerin, Cellulose Gum, Xanthan Gum, Disodium EDTA, Dipotassium Glycyrrhizate, Olea Europaea (Olive) Fruit Oil, Sodium Hyaluronate, Panax Ginseng Root Extract, Salvia Sclarea (Clary) Oil, Pogostemon Cablin Oil, Apium Graveolens (Celery) Seed Oil, Copaifera Officinalis (Balsam Copaiba) Resin, Daucus Carota Sativa (Carrot) Seed Oil, Eucalyptus Globulus Leaf Oil, Citrus Aurantium Dulcis (Orange) Oil;4.5;Sheet Mask;Face Mask;menyegarkan, melembabkan,menyerap secara mendalam. Memberikan kenyamanan kulit, melembabkan, dan menjadikan tekstur kulit halus dan lembut. menyegarkan pada kulit.
