name;brand;price;ingredients;rating;sub-category;category;benefit
Skin Booster Sleeping Mask;LUNESSE;Rp173.600;Water, Dimethicone, Glycerin, Betaine, Butylene Glycol, Niacinamide, Arbutin, Panthenol, Carbomer, Phenoxyethanol, Caprylyl Clycol, Aminomethyl Propanol, Polyacrylamide, Allantoin, Sodium Hyaluronate, Adenosine, C13-14 Isoalkane, Melia Azadirachta Leaf Extract, Anthemis Nobilis Flowe Extract, Laureth-7, 1,2-Hexanediol, Sodium Phytate, Melia Azadirachta Flower Extract, Caffeine, Centella Asiatica Leaf Water;0;Sleeping Mask;Face Mask;"mengatasi berbagai aging signs yang disebabkan oleh usia maupun faktor lingkungan, seperti; debu, polusi, dan radikal bebas, mengembalikan vitalitas kulit, melembabkan serta menenangkan kulit, menjadikan kulit menjadi tampak cerah, kenyal, lembab hanya dalam semalam. mencerahkan, mengatasi warna kulit yang tidak merata, membantu mengatasi dark circles, serta mencegah timbulnya dark spots. mampu menarik sejumlah besar air ke dalam sel-sel kulit, sehingga kulit terasa lembab dan kenyal, serta mencegah terbentuknya garis-garis halus akibat dehidrasi. mampu menenangkan kulit yang sedang iritasi, sekaligus mencegah iritasi pada kulit sensitif."
Phyto Niacin Whitening Sleeping Mask;NACIFIC;Rp141.160;Water, Butylene Glycol, Niacinamide(5%), Cyclopenta siloxane, Glycerin, 1,2-Hexanediol, Cyclohexasiloxane, Dimethicone, Ammo nium Acryloyl dimethyltaurate/VP Copolymer, Trehalose, Polyglyceryl-3 Methylglucose Distearate, Tromethamine, Dimethicone/Vinyl Dimethicone Crosspolymer, PEG-20 Sorbitan Cocoate, Carbomer, Butyrospermum Parkii (Shea) Butter, Olea Europaea (Olive) Fruit Oil, Caprylic/Capric Triglyceride, Squalane, Hydrogenated Lecithin, Dimethiconol, Disodium EDTA, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Sodium Hyaluronate, Aloe Barbadensis Flower Extract, Echinacea Angustifolia Leaf Extract, Hydrolyzed Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Rosa Damascena Flower Water, Ceramide NP, Cholesterol, Sodium Hyaluronate Crosspolymer, Hydroxypropyltrimonium Hyaluronate, Ocimum Sanctum Leaf Extract, Phytosphingosine, Sodium Acetylated Hyaluronate, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Centella Asiatica Extract, Camellia Sinensis Leaf Extract, Pentylene Glycol, Madecassoside, Hippophae Rhamnoides Fruit Extract;4.3;Sleeping Mask;Face Mask;membantu mencerahkan sekaligus melembapkan kulit pada malam hari tanpa rasa lengket. mencerahkan, melembabkan, dan menenangkan kulit wajah. memberikan kelembapan pada kulit kering dan memulihkan kulit yang lelah selama siang hari
Feeling Beautiful Hydrating Glacier Water and Pink Peony Gel Cream Mask 175ml;FREEMAN BEAUTY;Rp55.750;Water/Aqua/Eau, Glycerin, Dimethicone, Isopropyl Palmitate, Paeonia Albiflora Root Extract, Marrubium Vulgare Extract, Sodium Hyaluronate, Lavandula Angustifolia (Lavender) Oil, Sorbitan Stearate, PEG-100 Stearate, Carbomer, Tetrasodium EDTA, Aminomethyl Propanol, Phenoxyethanol, Diazolidinyl Urea, Chlorphenesin, Sodium Benzoate, Lactic Acid, Fragrance (Parfum), Benzyl Benzoate, Blue 1 (CI 42090), Yellow 5 (CI 19140).;5;Sleeping Mask;Face Mask;memberikan kelembapan yang maksimal. memberikan efek antioksidan. membantu mencegah efek dari radikal bebas pada sel kulit. meningkatkan sirkulasi dan meredakan inflamasi. Kulit tampak lebih lembab dan segar.
2% Watermelon Glow Mask;LACOCO;Rp 98.100 - Rp 206.100;Water, Butylene Glycol, Glycerin, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, C13-C14 isoparaffin, Phenyl Trimethicone, Phenoxyethanol, Laureth-7, Cyclopentasiloxane, Lactic Acid, Aloe Barbadensis Leaf Juice, Citrullus Lanatus (Watermelon) Fruit Extract, Fucus Vesiculosus Extract, Musa Sapientum (Banana) Fruit Extract, Cyclohexasiloxane, Dimethicone, Tetrasodium EDTA, Polyglutamic Acid, Oenothera Biennis Flower Extract, Ethylhexylglycerin, Fragrance;5;Sleeping Mask;Face Mask;membuat wajah terlihat lebih cerah dan berkilau di pagi hari. menghidrasi wajah secara intensif, menenangkan kulit, mengurangi iritasi dan kemerahan. membantu memudarkan bekas jerawat, flek hitam, dan mencegah tanda penuaan.
Cica Sleeping Mask;LANEIGE;Rp178.500;WATER / AQUA / EAU, PROPANEDIOL, CETYL ETHYLHEXANOATE, SQUALANE, HYDROGENATED POLY(C6-14 OLEFIN), GLYCERIN, PANTHENOL, CETEARYL ALCOHOL, BUTYROSPERMUM PARKII (SHEA) BUTTER, GLYCERYL STEARATE CITRATE, 1,2-HEXANEDIOL, POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE, POLYGLYCERYL-10 STEARATE, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, BUTYLENE GLYCOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, GLYCERYL CAPRYLATE, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, ASIATICOSIDE, MADECASSIC ACID, SORBITAN ISOSTEARATE, ASIATIC ACID, MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL, AUREOBASIDIUM PULLULANS FERMENT, CHAMAECYPARIS OBTUSA LEAF EXTRACT, CYMBOPOGON MARTINI OIL, TOCOPHEROL;4.8;Sleeping Mask;Face Mask;membangun kembali keseimbangan kulit yang telah rusak sepanjang hari akibat faktor eksternal. memperkuat pelindung kulit dalam semalam, memberikan efek regenerasi.
Oatmilk Sleeping Mask;HARLETTE;Rp143.640;Aqua, Butylene Glycol, Isohexadecane, Polyacrylamide, Avena Sativa (Oat) Kernel Extract, Oryza Sativa (Rice) Bran Extract, Inositol, Glycyrrhiza Glabra (Licorice) Extract, Glycerin, Polysorbate 20, C13-14 Isoparaffin, C9-11 Pareth-6, Alumunium Starch Octenylsucinate, Ascorbyl Glucoside, Parfum, DMDM Hydantoin, Sodium Hyaluronate, Collagen, Sodium Lactate;3.5;Sleeping Mask;Face Mask;Melembabkan, menenangkan, dan melindungi kulit sepanjang malam, Mengurangi dan meredakan jerawat serta kemerahan, mengendalikan kelebihan minyak, Melindungi skin barrier sepanjang malam sehingga kulit jadi lebih sehat dan kuat, menghaluskan dan mengenyalkan kulit
Electrolyte Sleeping Mask;ROSE ALL DAY;Rp199.000;Aqua, Propanediol, Pentylene Glycol, Glycerin, Steareth-20, Squalane, Capryloyl Glycerin/?Sebacic Acid Copolymer, Maltodextrin, Diheptyl Succinate, 1,2-Hexanediol, Ammonium Acryloyldimethyltaurate/?VP Copolymer, Diglycerin, Phenoxyethanol, Caffeine, Niacinamide, Panthenol, Sodium Hyaluronate, Sodium PCA, Tocopheryl Acetate, Xanthan Gum, Pentaerythrityl Tetraisostearate, Cocos Nucifera Water, Allantoin, Butylene Glycol, Glucose, PEG-7 Glyceryl Cocoate, Hydrolyzed Vegetable Protein, Cereus Grandiflorus Flower Extract, Tetrasodium EDTA, Ethylhexylglycerin, Evodia Rutaecarpa Fruit Extract, Beta Vulgaris Root Extract, Caprylic/?Capric Triglyceride, Leuconostoc/?Radish Root Ferment Filtrate, Propylene Carbonate, Stearalkonium Hectorite, Ceramide NP, Sodium Hydroxide, Palmitoyl Hexapeptide-12;4.5;Sleeping Mask;Face Mask;menghidrasi dan memperbaiki skin barrier
Brightening Sleeping Mask;FOCALSKIN;Rp9.600;AQUA, GLYCERIN, NIACINAMIDE, PORTULACA OLERACEA EXTRACT, 1,2-HEXANEDIOL, HYDROXYACETOPHENONE, PHENOXYETHANOL, CARBOMER, GLYCERYL GLUCOSIDE, CARAMEL, BUTYLENE GLYCOL, 1-METHYLHYDANTOIN-2-IMIDE, PEG-40 HYDROGENATED CASTOR OIL, SODIUM HYDROXIDE, ROSA HYBRID FLOWER, PARFUM, DISODIUM EDTA, KAEMPFERIA GALANGA ROOT EXTRACT, HYDROLYZED RHODOPHYCEAE EXTRACT, CENTELLA ASIATICA EXTRACT, HEXYLENE GLYCOL, ACACIA SENEGAL GUM, SALICYLIC ACID, CAMELLIA SINENSIS LEAF EXTRACT;4.3;Sleeping Mask;Face Mask;Mencerahkan dan meremajakan kulit, menjadikan halus dan mulus Hidrasi pertolongan darurat, memperbaiki sepanjang malam, menenangkan kulit,  membantu kulit melawan penuaan, Mengurangi peradangan kulit dan menenangkan iritasi
Water Sleeping Mask_EX;LANEIGE;Rp 178.500 - Rp 376.000;WATER / AQUA / EAU, BUTYLENE GLYCOL, GLYCERIN, TREHALOSE, METHYL TRIMETHICONE, 1,2-HEXANEDIOL, SQUALANE, PHENYL TRIMETHICONE, PCA DIMETHICONE, CAPRYLYL METHICONE, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, LACTOBACILLUS FERMENT LYSATE, CARBOMER, PROPANEDIOL, TROMETHAMINE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, GLYCERYL CAPRYLATE, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, RAFFINOSE, STEARYL BEHENATE, MALACHITE EXTRACT, FRAGRANCE / PARFUM, POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE, INULIN LAURYL CARBAMATE, TRANEXAMIC ACID, TRYPTOPHAN, HYDROXYPROPYL BISPALMITAMIDE MEA, BETA-GLUCAN, LIMONENE, ACORUS GRAMINEUS EXTRACT, LINALOOL, TOCOPHEROL;4.8;Sleeping Mask;Face Mask;membangun kembali keseimbangan kulit yang telah rusak sepanjang hari akibat faktor eksternal. memperkuat pertahanan kulit dan meningkatkan kecerahan dan kejernihan kulit yang lelah.
Yogurt Sleeping Mask Brightening Nighttime Mask;JACQUELLE BEAUTE;Rp80.550;Mask 3% Niacinamide, 1% Betaine , 1% Glycerine, vit. E, vit. C, Probiotic extracts dan Yogurt extract.;4.9;Sleeping Mask;Face Mask;meningkatkan kecerahan & melindungi skin barrier, Menghidrasi kulit wajah, Memberi kelembaban & membantu meratakan warna kulit pada wajah, Mengurangi kerutan pada wajah, Membantu proses pertumbuhan sel kulit wajah, Mengencangkan pori-pori, Menyeimbangkan kadar produksi minyak pada kulit wajah
