name;brand;price;ingredients;rating;sub-category;category;benefit
Tone Up Sunstick Silky Bar;ABIB;Rp340.000;Polyethylene, Homosalate, Polymethylsilsesquioxane, Ethylhexyl Methoxycinnamate, Titanium Dioxide (CI 77891), Coco-Caprylate/Caprate, Polyhydroxystearic Acid, Triethoxycaprylylsilane, Alumina, C12-15 Alkyl Benzoate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Dibutyl Adipate, Caprylyl Methicone, Diphenylsiloxy Phenyl Trimethicone, Ethylhexyl Salicylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Octyldodecyl Stearoyl Stearate, Octocrylene, Ceresin,  BHT, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Dimethicone, Silica Silylate, Synthetic Wax, Ethylene/Propylene Copolymer, Ozokerite, Polypropylsilsesquioxane,  Butyloctyl Salicylate, Octyldodecanol, Echium Plantagineum Seed Oil, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Tocopherol, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Caprylyl Glycol, Ethylhexylglycerin, Water (Aqua), Butylene Glycol, 1,2-Hexanediol, Hyaluronic Acid, Xylitylglucoside,  Anhydroxylitol, Xylitol, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate;0;Sunscreen;Sun Care;melindungi kulit dari paparan sinar matahari sekaligus mencerahkan kulit. menyegarkan dan melembabkan kulit.
UV Whitening Milk;SKIN AQUA;Rp71.000;Aqua (Water), Ethylhexyl Methoxycinnamate, Butylene Glycol, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Polymethylsilsesquioxane, Cyclopentasiloxane, Tranexamic Acid, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polysorbate 60, Cetearyl Alcohol, Silica, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Decyl Glucoside, Titanium Dioxide, Phenoxyethanol, Triethanolamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Hexylglycerin, Disodium EDTA, Propylene Glycol, Xanthan Gum, Sodium Acetylated Hyaluronate (AcHA);5;Sunscreen;Sun Care;perlindungan 50x lebih lama terhadap sinar UV-B yang menyebabkan kulit terbakar. perlindungan terhadap UV-A yang menyebabkan penuaan dini dan kulit menjadi lebih gelap. melembabkan dan melembutkan kulit. mencerahkan dan menyamarkan noda hitam di kulit
Lador Tamanu Mild Sunscreen;LA'DOR;Rp199.000;Aqua, Zinc Oxide, Dicaprylyl carbonate, Butyloctyl salicylate,Propanediol, Titanium Dioxide, Cyclopentasiloxane, Lauryl polyglyceryl-3 polydimethylsiloxyethyl dimethicone, Isododecane, Caprylyl methicone,Cyclohexasiloxane, Niacinamide, Methyl methacrylate crosspolymer, Sodium Chloride, Polyglyceryl-2 distearate, Disteardimonium Hectorite, Aluminumhydroxide, Methyl trimethicone, Stearic Acid, Glyceryl caprylate, Fragrance, Caprylyl glycol, Ethylhexylglycerin, Adenosine, Calophyllum inophyllum seed oil, Tocopherol.;4.8;Sunscreen;Sun Care;anti-aging, anti inflamasi, serta menjaga kelembapan dan kelembutan kulit dengan glow finish
Skin Buddy Sun Protection SPF 30 PA+++;EMINA;Rp38.000;Aqua, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Glyceryl Stearate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Aluminum Starch Octenylsuccinate, Glycerin, Tocopheryl Acetate, Calendula Officinalis Flower Extract, Allantoin, Sodium Hyaluronate, Panthenol, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Hydrolyzed Wheat Protein PVP Crosspolymer, Potassium Hydroxide, BHT, Disodium EDTA, Xanthan Gum, Fragrance, Butylene Glycol, Potassium Sorbate, Ethylhexylglycerin;4.8;Sunscreen;Sun Care;menghidrasi
Sekkisei Skincare UV Milk;KOSE;Rp454.280;Water (Aqua), Cyclomethicone, Zinc Oxide, Alcohol, Ethylhexyl Methoxycinnamate, C12-15 Alkyl Benzoate, Isododecane, HDI/?PPG/?Polycaprolactone Crosspolymer, Tripropylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Angelica Acutiloba Root Extract, Melothria Heterophylla Root Extract, Rhodomyrtus Tomentosa Fruit Extract, Saccharomyces/?Coix Lacryma-Jobi Ma-Yuen Seed Ferment Filtrate, Tocopherol, BHT, Butylene Glycol, Hydrated Silica, Hydrogen Dimethicone, Isostearic Acid, Phytosteryl Macadamiate, Silica, Squalane, Talc, Zeolite, Fragrance (Parfum), Mica;4.6;Sunscreen;Sun Care;melindungi kulit dari UV-A dan UV-B. memanjakan kulit dan mencegah bintik-bintik penuaan di masa depan.
Daily Facial Moisturizer Lotion Spf15 118 ml;CETAPHIL;Rp192.870;Aqua, Octocrylene, Diisopropyl Adipate, Cyclopentasiloxane, Glycerin, Butyl Methoxydibenzoylmethane, Glyceryl Stearate, PEG-100 Stearate, Polymethyl Methacrylate, Phenoxyethanol, Benzyl Alcohol, Triethanolamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tocopheryl Acetate, Carbomer, Disodium EDTA, Cyclotetrasiloxane;4.2;Sunscreen;Sun Care;melembapkan memperbaiki barrier kulit sekaligus melindunginya dari efek buruk sinar UV, mencegah penuaan dini, kulit belang dan kondisi kulit lain
Multipurpose Tinted Sunscreen SPF50/PA++++ 30gr;BLP BEAUTY;Rp94.500;Water, Cyclopentasiloxane, Titanium Dioxide, Ethylhexyl Methoxycinnamate, Glycerin, Zinc Oxide, Ethylhexyl Salicylate, Dimethicone, Phenyl Trimethicone, Lauryl PEG-10 Tris(Trimethylsiloxy)silylethyl Dimethicone, Niacinamide, Silica, Caprylyl Methicone, Pentylene Glycol, Hydrogenated Polyisobutene, Synthetic Fluorphlogopite, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Aluminum Hydroxide, Stearic Acid, Magnesium Sulfate, Phenoxyethanol, Trimethylsiloxysilicate, Salicylic Acid, Sorbitan Isostearate, Cetearyl Dimethicone/Vinyl Dimethicone Crosspolymer, Disteardimonium Hectorite, Betaine, Butylene Glycol, 1,2-Hexanediol, Triethoxycaprylylsilane, Centella Asiatica Extract, Ethylhexylglycerin, Anthemis Nobilis Flower Extract, Disodium EDTA, BHT, Allantoin, Caffeine, Squalane, Tocopherol, Hydrogenated Olive Oil Unsaponifiables, CI 77492, CI 77491, CI 77499;4.7;Sunscreen;Sun Care;membantu meratakan dan meningkatkan warna kulit dengan hasil akhir yang alami. memberikan perlindungan ideal dari sinar matahari yang merusak dan merusak mengontrol terobosan oli dengan hidrasi
UV Fresh & Bright SPF 50/PA+++ Instant Cover;BIORE;Rp36.900;Water, Alcohol Denat., Zinc Oxide (nano), Ethylexyl Methoxycinnamate, Ethylexyl Triazone, Sorbitan Sesquioleate, Neopentyl Glycol Diethylhexanoate, Butylene Glycol, Neopentyl Glycol Dicaprate, Niacinimide, Behenyl Alcohol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Sodium Acrylate/Sodium Acyloyldimethyl Taurate Copolymer, Bis-Ethylexyloxyphenol Methoxyphenyl Triazine, Isohexadecane, Triethoxycaprylysilane, Polysorbate 60, Polysorbate 80, Xanthan Gum, Disodium EDTA, Tocopheryl Acetate, BHT, Tocopherol, Aluminum Hydroxide, Dimethicone, Sorbitan Oleate, CI 77491, CI 77492, CI77499, CI 77891;4.6;Sunscreen;Sun Care;Melindungi kulit dari UV A dan UV B menyamarkan pori-pori 
Sunbrella Daily Defense Sunscreen Serum;YOU BEAUTY;Rp32.900;Water, Ethylhexyl Methoxycinnamate, Propylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Octocrylene, Dimethicone, Cetearyl Alcohol, C14-22 Alcohols, Cyclopentasiloxane, Ethylhexyl Triazone, Glyceryl Stearate, Phenoxyethanol, PEG-100 Stearate, Titanium Dioxide, Ammonium Acryloyldimethyltaurate/VP Copolymer, C12-20 Alkyl Glucoside, Dimethicone Crosspolymer, Hydroxyacetophenone, Cyclohexasiloxane, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum, Fragrance, Isohexadecane, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Polysorbate 80, Triethoxycaprylylsilane, Sorbitan Oleate, Butyl Methoxydibenzoylmethane, Ectoin, Zinc Hydrolyzed Hyaluronate, Glucosylrutin, Propanediol, Zea Mays (Corn) Starch, Hydrolyzed Corn Starch Octenylsuccinate, Hydrolyzed Corn Starch, Isoquercitrin, Butyrospermum Parkii (Shea) Butter, Cocamidopropyl Dimethylamine, Buddleja Officinalis Flower Extract, Phenylethyl Resorcinol, 1,2-Hexanediol, Lactic Acid, Palmitoyl Tripeptide-5, Hydrated Silica, Caprylyl Glycol, Butylene Glycol, Glucose, Sodium Hyaluronate, Chondrus Crispus Extract, Hydroxypropyltrimonium Hyaluronate, Sodium Acetylated Hyaluronate, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Hydrolyzed Sodium Hyaluronate, Potassium Hyaluronate.;4.6;Sunscreen;Sun Care;menutrisi kulit Membantu melembapkan kulit dan mengurangi kekeringan kulit akibat paparan sinar matahari Membantu menutrisi kulit dan sebagai antioksidan
YSB Shield of Sun Essence SPF 50 PA++++;AVOSKIN;Rp62.100 - Rp170.100;Water, Butyloctyl Salicylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Dibutyl Adipate, Phenethyl Benzoate, Ethylhexyl Triazone, Polysilicone-15, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Diphenylsiloxy Phenyl Trimethicone, Polyglyceryl-6 Stearate, Terephthalylidene Dicamphor Sulfonic Acid, Nylon-12, 1,2-Hexanediol, C20-22 Alkyl Phosphate, Tromethamine, Caprylic/?Capric Triglyceride, C20-22 Alcohols, Hydroxyacetophenone, Sodium Polyacryloyldimethyl Taurate, Polyacrylate Crosspolymer-6, Hydrogenated C6-20 Polyolefin, Butylene Glycol, PVP, Polyglyceryl-6 Behenate, Sodium Hyaluronate, 3-O-Ethyl Ascorbic Acid, Allantoin, Hdi/?Trimethylol Hexyllactone Crosspolymer, Anthemis Nobilis Flower Extract;4.5;Sunscreen;Sun Care;memberikan perlindungan yang akan membantu menjaga kulit agar tetap cerah, lembap, dan sehat. melembapkan dan membantu menenangkan kulit. mencerahkan kulit wajah.
Sun Essential Comfort Touch Sunscreen SPF 50+ PA++;SAFI;Rp199.900;Water, cyclopentasiloxane, phenyl trimethicone, dimethicone, caprylyl methicone, ethylhexyl methoxycinnamate, Zinc oxide, titanium dioxide, glyserine, methyl methaCrylate crosspolymer, methylene bis benzotriazolyl tetramethylbutylphenol, phenylbenzimidazole sulfonic acid, peg-9 Polydimethylsiloxyethyl dimethicone, butylene Glycol, dimethicone vinyl dimethicone crosspolymer, arginine, sodium chloride, dimethicone/peg-10/15 crosspolymer, peg-10 dimethicone, hydrogen dimethicone, aluminum hydroxide, decyl glucoside, sodium citrate, panthenol, niacinamide, Euglena gracilis extract, propylene glycol, xanthan gum, sodium hyaluronate, tocopherol, phenoxyethanol, caprylyl Glycol, Chlorphenesin, potassium sorbate, sodium benzoate;4.5;Sunscreen;Sun Care;memberikan perlindungan secara intens dari paparan sinar UV A dan UV B membantu menghidrasi dan menjaga kelembapan kulit memberikan nutrisi kepada kulit dan menjaga kulit tetap halus dan lembut anti-oksidan melindungi kulit dari paparan radikal bebas Melindungi kulit dari pengaruh buruk sinar blue light
BUNDLE 3 Pcs Solar Smart UV Light Sunscreen;CARASUN;Rp93.600;Aqua, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycinnamate, Butylene Glycol, Niacinamide, Glycerin, Octocrylene, Triethanolamine, Polymethyl Methacrylate, Phenylbenzimidazole Sulfonic Acid, Centella Asiatica Leaf Extract, Mel Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Lecithin, Phenoxyethanol, Disodium EDTA, Propylene Glycol, Citric Acid, Potassium Sorbate, Sodium Benzoate;4.3;Sunscreen;Sun Care;perlindungan kulit tropsimu. perlindungan optimal dari UVB dan UVA, mencerahkan, merawat kulit
Hydrashoothe Sunscreen Gel Spf45+++;AZARINE;Rp65.000 - Rp125.000;Aqua, Glycerin, Propanediol, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Aloe Barbadensis Leaf Extract, Polymethyl methacrylate, Portulaca Oleracea Extract, Sodium Hyaluronate, Niacinamide, Cucumis Sativus (Cucumber) Extract, Tea (Camelia Sinensis) Extract, Punica Granatum Fruit Extract, Phenoxyethanol, Octocrylene, Butylene Glycol, Sodium Acrylates/C10-30 Alkyl Acrylates Crosspolymer, Propolis, Picea Abies Extract, Allantoin, Xanthan Gum, Panthenol, Disodium EDTA, Fragrance, Lechitin;4.8;Sunscreen;Sun Care;Melindungi kulit dari sinar UV A & UV B Melembapkan dan menutrisi kulit Mengandung antioksidan untuk melawan radikal bebas
Sun Battle SPF 45 PA+++;EMINA;Rp53.000;Aqua, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Homosalate, Butyl Methoxydibenzoylmethane, Phenoxyethanol, Octocrylene, Polymethyl Methacrylate, Butylene Glycol, Neopentyl Glycol Diheptanoate, Butyloctyl Salicylate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Cyclopentasiloxane, Vitis Vinifera Leaf Extract, Pongamia Glabra Seed Oil, Arachidyl Alcohol, Polyacrylate Crosspolymer-6, Polyurethane-7, Bisabolol, Nylon-12, Polyester-7, Behenyl Alcohol, Neopentyl Glycol, Caprylic/Capric Triglyceride, Arachidyl Glucoside, Propanediol, Polyacrylate-13, Disodium EDTA, Polyisobutene, Polysorbate 20, Fragrance, Chlorphenesin;4.7;Sunscreen;Sun Care;melindungi kulit dari paparan sinar UV dengan tekstur ringan dan cepat meresap. melindungi dari paparan sinar UV. memberikan kesegaran ekstra pada kulit, nyaman untuk penggunaan sehari-hari.
ANESSA Trial Set Brightening Gel;ANESSA;Rp330.460;WATER (AQUA), ALCOHOL, DIMETHICONE, ETHYLHEXYL METHOXYCINNAMATE, ETHYLHEXYL SALICYLATE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, DIISOPROPYL SEBACATE, SILICA, ETHYLHEXYL TRIAZONE, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, TITANIUM DIOXIDE, GLYCERIN, CAPRYLYL METHICONE, PPG-17, ACRYLAMIDES/DMAPA ACRYLATES/METHOXY PEG METHACRYLATE COPOLYMER, PHENOXYETHANOL, DEXTRIN PALMITATE/ETHYLHEXANOATE, PEG-60 HYDROGENATED CASTOR OIL, C30-45 ALKYL METHICONE, HYDRATED SILICA, C30-45 OLEFIN, TRIETHOXYCAPRYLYLSILANE, CARBOMER, POTASSIUM HYDROXIDE, AGAR, XANTHAN GUM, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, FRAGRANCE (PARFUM), DISTEARYLDIMONIUM CHLORIDE, BUTYLENE GLYCOL, STEARIC ACID, DEXTRIN PALMITATE, PEG/PPG-14/7 DIMETHYL ETHER, BHT, DIPOTASSIUM GLYCYRRHIZATE, LEONTOPODIUM ALPINUM EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, POTENTILLA ERECTA ROOT EXTRACT, TALC, SODIUM ACETYLATED HYALURONATE, SOLUBLE COLLAGEN;4.7;Sunscreen;Sun Care;Menyamarkan flek hitam dan mencerahkan perlindungan UVA UVB dan tahan polusi. Mencegah penuaan dini & keriput hasil lebih bercahaya & tone-up
