name;brand;price;ingredients;rating;sub-category;category;benefit
Calming Moisture Toner;PYUNKANG YUL;Rp138.000;Water, Propanediol, Glycerin, Dipropylene Glycol, Panthenol, Citric Acid, Gluconolactone, Salix Alba (Willow) Bark Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Sodium Hyaluronate, Centella Asiatica Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Salvia Officinalis (Sage) Leaf Extract, Camellia Japonica Flower Extract, Hydrolyzed Hyaluronic Acid, Hydroxypropyltrimonium Hyaluronate, Sodium Hyaluronate Crosspolymer, Asiatic Acid, Asiaticoside, Sodium Acetylated Hyaluronate, Madecassic Acid, Madecassoside, Betaine, Butylene Glycol, Caprylyl Glycol, Pentylene Glycol, Hydroxyacetophenone, C12-14 Pareth-12, Sodium Citrate, Disodium EDTA, 1,2-Hexanediol;4.3;Toner;Treatment;merawat dan melembabkan kulit. mengontrol produksi sebum, membersihkan kulit sehingga kulit tampak halus, merawat dan melindungi kulit wajah.
Refresh AHA/BHA Vitamin C Daily Toner;COSRX;Rp171.500;Actinidia Chinensis (Kiwi) Fruit Extract, Hylocereus Undatus Fruit Extract, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, Niacinamide, 1,2-Hexanediol, Ethyl Hexanediol, Sodium Lactate, Water, Glycolic Acid, Allantoin, Panthenol, Adenosine, Betaine Salicylate, Ascorbyl Glucoside;4;Toner;Treatment;membantu mengangkat sel kulit mati, membuat tekstur mengeksfoliasi secara lembut, kulit lebih halus, dan mencerahkan wajah
beneath! By Bhumi Cloud Nine Skin Prep Essence Toner;BHUMI;Rp115.040;Water, Niacinamide, Butylene Glycol, Artemisia Capillaris Leaf Extract, Panthanol, Phenoxyethanol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Allantoin, Chlorphenesin, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Glycerin, T-Butyl Alcohol, Tetrasodium EDTA, Centella Asiatica Extract;5;Toner;Treatment;menenangkan kulit yang iritasi dan sensitif.  memberikan efek menenangkan pada kulit, mampu, dan sangat kaya akan antioksidan. menjaga kulit tetap lembab, dan sangat ampuh untuk menenangkan kulit yang teriritasi. mencerahkan, memperbaiki dan menjaga skin barrier tetap sehat. 
Pure Rose Water;HAPLE;Rp59.000 - Rp107.500;Red Rose Water;4.8;Toner;Treatment;menghidrasi wajah, melembabkan kulit wajah dan dapat mengontrol minyak pada wajah. Membuat wajah terlihat sehat dan glowing, Membantu melembabkan kulit wajah, Dapat menyegarkan dan membersihkan wajah, Mencegah jerawat dan breakout
Resurface Mild Exfloating Toner;BHUMI;Rp187.440;Water, Alcohol, Glycerin, Polysorbate 20, Glycolic Acid, Lactic Acid, Salicylic Acid, Triethanolamine, Hyaluronic Acid, Niacinamide, Chlorphenesin, Sodium Benzoate, Ceramide, Aloe Barbadensis Leaf Juice, Propanediol, Fragrance, Menthyl Lactate, Nelumbo Nucifera (Lotus Leaf) Leaf Extract, Camellia Sinensis (Green Tea) Leaf Extract, Psidium Guajava (Guava) Leaf Extract, Angelica Archangelica Seed Oil, Tetrasodium EDTA, Allantoin, Citrus Paradisi Fruit Extract, Rosa Rugosa Flower Oil, Potassium Sorbate;5;Toner;Treatment;menangani masalah kulit berjerawat dan berminyak. Berfungsi untuk menghilangkan jerawat, membunuh bakteri penyebab jerawat, menghidrasi dan membersihkan pori-pori penyebab penumpukan sebum jerawat
Centella Water Alcohol-Free Toner;COSRX;Rp150.500;Mineral Water from JEJU, Centella Asiatica Leaf Water, Butylene Glycol, 1,2-Hexanediol, Betaine, Panthenol, Allantoin, Sodium Hyaluronate, Ethyl Hexanediol.;5;Toner;Treatment;menenangkan dan melembapkan kulit, terutama bagi pemilik kulit sensitif. memberikan efek menenangkan pada kulit yang iritasi dan kemerahan. membantu meredakan peradangan akibat jerawat atau stres, sekaligus memberikan hidrasi dan nutrisi untuk kulit.
Retinol Collagen Lifting Pad;MEDIHEAL;Rp305.100;Water, Dipropylene Glycol, Glycereth-26, Betaine, 1,2-Hexanediol, Glycerin, Diphyenyl Dimethicone, Hydroxyacetophenone, Triethylhexanoin, Hydrogenated Lecithin, Polyglyceryl-10 Oleate, Allantoin, Octyldodeceth-16, Sphingomonas Ferment Extract, Adenosine, Disodium EDTA, Sodium Polyacrylate, Hydrolyzed Collagen, Lavandula Angustifolia (Lavender) Oil, Phytosterols, Athemis Nobilis Flower Oil, Retinol, Beta-Gluca, Ceramide NP;5;Toner;Treatment;mengurangi kerutan dan mengencangkan kulit.
Cica-B5 Soothing Essence Toner;THE ORIGINOTE;Rp41.800;Water, butylene glycol, glycerin, 1,2-hexanediol, hydroxyacetophenone, panthenol, diglycerin, paeonia suffruticosa root bark extract, glycyrrhiza uralensis (licorice) root extract, portulaca oleracea flower/leaf/stem extract, paeonia lactiflora extract, allantoin, adenosine, tremella fuciformis polysaccharide, propylene glycol, PEG-40 hydrogenated castor oil, sodium hyaluronate, maltodextrin, phenoxyethanol, centella asiatica extract, caprylic/capric triglyceride, madecassoside, hydrogenated lecithin, ethylhexylglycerin, hexylene glycol, stearic acid, cholesterol, ceramide NP, asiaticoside, ceramide EOP, ceramide AS, ceramide AP, ceramide NG, bisabolol, caramel, zingiber officinale (ginger) root extract, CI 19140, CI 42090;4.3;Toner;Treatment;Membantu meredakan kemerahan pada kulit wajah. - Menyegarkan kulit. - Menenangkan kulit yang berjerawat, iritasi maupun sensitif - Membantu menenangkan kemerahan pada wajah - Menyegarkan kulit dan menghilangkan minyak berlebih - Membantu mengenyalkan kulit dan menjaga keremajaan kulit 
Blemish and Pore Clearing Toner;BIO BEAUTY LAB;Rp84.150 - Rp185.000;Allantoin, Snail Mucin, Purslane Extract, Aloe Vera Extract, Prima Hyal TM 300, Bio-Succinic Acid;5;Toner;Treatment;membantu menjaga skin barrier tetap sehat, mencegah bakteri penyebab jerawat, membersihkan pori-pori, menyeimbangkan kadar minyak berlebih pada wajah. 
YOUR SKIN BAE SERIES Ultimate Hyaluron Marine Collagen 5% + Hyacross 2% + Galactomyces;AVOSKIN;Rp161.100;Water, Propylene glycol, Hydrolyzed Collagen Extract, Glycerin, Phenoxyethanol, Galactomyces Ferment Extract, Chlorphenesin, Disodium EDTA, Xanthan gum, 1,2-Hexanediol, Pentylene Glycol, Sodium HyaluronateCrosspolymer, Citric Acid;4.3;Toner;Treatment;memberikan efek hidrasi optimal pada kulit serta membantu stimulasi kolagen pada kulit. terhindar dari masalah kulit seperti jerawat, kulit kusam, kerutan halus dan bruntusan.  membantumu mengatasi permasalahan kulit kering.
