name;brand;price;ingredients;rating;sub-category;category;benefit
Cica Beat The Sun Powder;NPURE;Rp101.150;CI 77019, Titanium Dioxide, Silica, Polymethylsilsesquioxane, HDI/Trimethylol Hexyllactone Crosspolymer, Ethylhexyl Methoxycinnamate, Talc, CI 77492, Ethylhexyl Salicylate, Triethoxycaprylylsilane, Lauroyl Lysine, Caprylyl Glycol, Ethylhexylglycerin, Methicone, CI 77499, CI 77491, Aluminum Hydroxide, Magnesium Myristate, Oryza Sativa (Rice) Bran Oil, Tocopheryl Acetate, BHT, Tocopherol, Centella Asiatica Leaf Water;4;Touch ups Sunscreen;Sun Care;memberikan perlindungan terhadap sinar matahari UVA/UVB. Membantu menyerap minyak berlebih, meminimalkan tampilan pori-pori, dan mengatur riasan sekaligus mengurangi kilau minyak. menenangkan kulit.
Supreme Hybrid Sun Stick SPF 50+ PA++++;ESQA;Rp125.100;Butylene Glycol Dicaprylate/Dicaprate, Dimethicone, Polyethylene, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Silica, Ethylhexyl Methoxycinnamate, Triethylhexanoin, Ethylhexyl Salicylate, Dicaprylyl Carbonate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Diphenylsiloxy Phenyl Trimethicone, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Sorbitan Isostearate, Octocrylene, Paraffin, Titanium Dioxide (CI 77891), Bis-Diglyceryl Polyacyladipate-2, Ceresin, Zinc Oxide (CI 77947), Microcrystalline Wax, Aluminum Hydroxide, Stearic Acid, Coco-Caprylate/Caprate, Glyceryl Caprylate, Rosa Damascena Flower Oil, Caprylyl Glycol, Cyclopentasiloxane, Iron Oxides (CI 77492), Polyhydroxystearic Acid, Triethoxycaprylylsilane, Iron Oxides (CI 77491), Octyldodecanol, Isododecane, Iron Oxides (CI 77499), PEG-9 Polydimethylsiloxyethyl Dimethicone, Tocopherol, Polyglyceryl-4 Isostearate, Polypropylsilsesquioxane, Isopropyl Titanium Triisostearate, Avena Sativa (Oat) Kernel Flour, Rosa Canina Fruit Oil, Ascorbyl Tetraisopalmitate, Tocopheryl Acetate, Aloe Barbadensis Leaf Water, Water, Camellia Sinensis Leaf Extract, Butylene Glycol, Cucumis Sativus (Cucumber) Fruit Extract, Phenoxyethanol.;3.5;Touch ups Sunscreen;Sun Care;Perlindungan tinggi terhadap UVA + UVB, Melembapkan kulit, Mencerahkan kulit, Melembutkan kulit, Mengaburkan pori-pori, Mengurangi peradangan dan kemerahan, Meredakan kulit gatal, Melindungi dari kerusakan akibat sinar matahari, Menyediakan antioksidan untuk kulit, Memberikan efek menyejukkan, Mengurangi puffiness (bengkak pada kulit).
Quick Sunstick Protection Bar;ABIB;Rp240.000;Octyldodecanol, Butylene Glycol Dicaprylate/Dicaprate, Ethylhexyl Methoxycinnamate, Dibutyl Ethylhexanoyl Glutamide, Dibutyl Lauroyl Glutamide, Diisostearyl Malate, Ethylhexyl Salicylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Dextrin Palmitate, Octocrylene, Hydrolyzed Vegetable Protein , Camellia Sinensis Leaf Extract, Centella Asiatica Extract, Aloe Barbadensis Leaf Juice, Cucumis Sativus (Cucumber) Fruit Extract, Aloe Barbadensis Leaf Extract, Water, Butylene Glycol, Saccharide Isomerate, Glycerin, Maltodextrin, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Ethyl Hexanediol, Ceramide NP, Citric Acid, Sodium Citrate, Ethylhexylglycerin, Phenoxyethanol;4.8;Touch ups Sunscreen;Sun Care;mengontrol sebum berlebih dan menjadikan kulit terasa segar setelah diaplikasikan. merawat lapisan pelindung kulit.
Carasun Solar Smart UV Cushion - Shade 00 Transparant BOGOF;CARASUN;Rp184.000;Water, Glycerin, Dibutyl Adipate, Butyloctyl Salicylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Methyl Methacrylate Crosspolymer, Polysilicone-15, Silica, Ethylhexyl Triazone, Pentylene Glycol, Isoamyl p-Methoxycinnamate, Inulin Lauryl Carbamate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Betaine, Isohexadecane, Glyceryl Caprylate, Butylene Glycol, Caprylyl Glycol, Allantoin, Niacinamide, Oryza Sativa (Rice) Bran Oil, Adenosine, Tocopheryl Acetate, Polysorbate 80, Sorbitan Oleate, Anthemis Nobilis Flower Extract, Lactic Acid, 1,2-Hexanediol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Centella Asiatica Extract, Palmitoyl Tetrapeptide-7, Caffeine, Chrysin;4.3;Touch ups Sunscreen;Sun Care;melindungi wajah dari 98% bahaya sinar UV.  melindungi bahaya sinar radiasi dari gadget yang kita gunakan sehari - hari
Dew It In The Morning Face Sun Stick;DEW IT;Rp168.300;Triethylhexanoin, Dimethicone, Silica, Ethylhexyl Methoxycinnamate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Phenyl Trimethicone, CI 77019, Ethylhexyl Salicylate, Polyethylene, Paraffin, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Sorbitan Isostearate, Octocrylene, Microcrystalline Wax, Titanium Dioxide, Cera Microcristallina, Fragrance(Parfum), Hippophae Rhamnoides Oil, Bisabolol, Tocopherol, Triethoxycaprylylsilane, Aluminum Hydroxide, Stearic Acid, Glyceryl Caprylate, Caprylyl Glycol, BHT;4.8;Touch ups Sunscreen;Sun Care;memberikan proteksi berkinerja tinggi terhadap sinar UVA, UVB, dan IRA, serta mendukung Kulit dari photoaging dan dehidrasi. memberikan anda tampilan yang cerah, halus, dan tidak berminyak untuk penampilan yang cantik dan DEWY.
Blur Effect UV Protector : Hybrid Sunscreen SPF 50 PA++++;JACQUELLE BEAUTE;Rp110.600;Water, Dimethicone, Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Zinc Oxide, Ethylhexyl Salicylate, Dimethicone/PEG-10/15 Crosspolymer, Glycerin, Niacinamide, Pentylene Glycol, Dimethicone Crosspolymer, Titanium Dioxide, Polysorbate 60, Phenoxyethanol, Microcrystalline Wax, Bisabolol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyacrylamide, Caprylic/Capric Triglyceride, Hydrogenated Castor Oil Isostearate, Betaine, C13-14 Isoalkane, Aluminum Hydroxide, Stearic Acid, Hydrogenated Lecithin, Ethylhexylglycerin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Dipropylene Glycol, Laureth-7, Sorbitan Isostearate, Disodium EDTA, Ceramide NP, Sodium Citrate, 1,2-Hexanediol, BHT, Tocopherol, Caffeine, Tromethamine, Sodium Stearoyl Glutamate;4.8;Touch ups Sunscreen;Sun Care;berfungsi untuk meratakan, melembabkan, menenangkan serta melindungi kulit dari efek buruk sinar UV.
Sun Essential Comfort Touch Sunscreen SPF 50+ PA++;SAFI;Rp199.900;Water, cyclopentasiloxane, phenyl trimethicone, dimethicone, caprylyl methicone, ethylhexyl methoxycinnamate, Zinc oxide, titanium dioxide, glyserine, methyl methaCrylate crosspolymer, methylene bis benzotriazolyl tetramethylbutylphenol, phenylbenzimidazole sulfonic acid, peg-9 Polydimethylsiloxyethyl dimethicone, butylene Glycol, dimethicone vinyl dimethicone crosspolymer, arginine, sodium chloride, dimethicone/peg-10/15 crosspolymer, peg-10 dimethicone, hydrogen dimethicone, aluminum hydroxide, decyl glucoside, sodium citrate, panthenol, niacinamide, Euglena gracilis extract, propylene glycol, xanthan gum, sodium hyaluronate, tocopherol, phenoxyethanol, caprylyl Glycol, Chlorphenesin, potassium sorbate, sodium benzoate;4.1;Touch ups Sunscreen;Sun Care;Melindungi kulit dari pengaruh buruk sinar UV A & UV B sekaligus sinar blue light, Membantu melindungi kulit dari efek buruk radikal bebas, Merawat skin barrier wajah, Merawat kelembaban kulit wajah & menghidrasi kulit, Membantu menenangkan kulit kemerahan akibat terpapar sinar matahari.
Ultra Soothe Natural Sunscreen SPF 50 PA+++;BASE;Rp182.750;Aqua, Dicaprylyl Carbonate, Octocrylene, Glycerin, Phenylbenzimidazole Sulfonic Acid, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Propanediol, Zinc Oxide, Cetearyl Alcohol, Triethanolamine, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Acrylates/C12-22 Alkyl Methacrylate Copolymer, Annona Cherimola Fruit Extract, C15-19 Alkane, Ethylhexyl Triazone, Glyceryl Monostearate, Glyceryl Stearate, Nylon 6/12, PEG-100 Stearate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ceteth-10 Phosphate, Dicetyl Phosphate, Phenoxyethanol, Ectoin, Hydroxyacetophenone, Canola Oil, Argania Spinosa Kernel Oil, Arginine, Tocopheryl Acetate, Coco-Glucoside, BHT, Disodium EDTA, Ethylhexylglycerin, Polysorbate 60, Sorbitan isostearate, Disodium Lauryl Sulfosuccinate, Sodium Dilauramidoglutamide Lysine, Daucus Carota Sativa Seed Oil, Sodium Citrate, Bisabolol, Magnesium Chloride, Beta-Carotene, Daucus Carota Sativa Root Extract, Helianthus Annuus Seed Oil, Phenylpropanol, Sodium Dehydroacetate, Citric Acid;3.8;Touch ups Sunscreen;Sun Care;melindungi kulit dari cahaya biru atau High-Energy Visible (HEV)
Anti-Aging Sunspray Protector;ADEENA;Rp94.500;Aqua, Benzophenone-4, Acetyl Hexapeptide-8, Glycerin, Triethanolamine, Propylene Glycol, Propanediol, Phenoxyethanol, Pentylene Glycol, Disodium EDTA, Ethylhexylglycerin, Butylene Glycol, Artemisia Capillaris Flower Extract, Rosa Damascena Flower Extract. Rosa Damascena Flower Oil, Tranexamoyl Dipeptide-23, Capryly! Glycol, 1,2-Hexanediol;4.8;Touch ups Sunscreen;Sun Care;Melindungi dari sinar matahari berbahaya dan polusi.
DR.G Brightening Cover Tone Up Sun Cushion;DR.G;Rp352.100;Aqua, Zinc Oxide, Propylheptyl Caprylate, Titanium Dioxide, Butyloctyl Salicylate, Isododecane, Isononyl Isononanoate, Polymethylsilsesquioxane, Acrylates Copolymer, Dipropylene Glycol, Caprylyl Methicone, Niacinamide, Trimethylsiloxysilicate, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Silica, Octyldodecanol, Disteardimonium Hectorite, Polyglyceryl-2 Isostearate, Polyglyceryl-6 Polyricinoleate, Magnesium Sulfate, Coco-Caprylate/Caprate, Polyhydroxystearic Acid, 1,2-Hexanediol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Aluminum Hydroxide, Triethoxycaprylylsilane, Acrylates/Polytrimethylsiloxymethacrylate Copolymer, CI 77492, Polyglyceryl-6 Polyhydroxystearate, Polyglyceryl-4 Isostearate, Stearic Acid, Dimethicone/Vinyl Dimethicone Crosspolymer, Butylene Glycol, Hydroxyacetophenone, Chlorella Vulgaris Extract, Glucose, Sorbitan Isostearate, Isopropyl Titanium Triisostearate, CI 77491, Polyglyceryl-2 Dipolyhydroxystearate, Fructooligosaccharides, Fructose, Polyglycerin-6, Trisodium Ethylenediamine Disuccinate, Tocopherol, Oenothera Biennis Flower Extract, Pinus Palustris Leaf Extract, Pueraria Thunbergiana Root Extract, Ulmus Davidiana Root Extract, Ethylhexylglycerin, Ascorbyl Palmitate, Calamine, Glycerin, Ectoin, Propanediol, Caprylic/Capric Triglyceride, Chlorella Vulgaris Powder, Pentylene Glycol, Caesalpinia Spinosa Fruit Extract, Hydroxypropyl Cyclodextrin, Buddleja Officinalis Flower Extract, Enantia Chlorantha Bark Extract, Hydrogenated Lecithin, Sucrose, Kappaphycus Alvarezii Extract, Ceramide NP, Lactobacillus Ferment, Maltodextrin, Orthosiphon Stamineus Extract, Xanthan Gum, 7-Dehydrocholesterol, Disodium EDTA, Pinus Pinaster Bark Extract, Oleanolic Acid.;0;Touch ups Sunscreen;Sun Care;menutupi noda di wajah dan melindungi kulit dari paparan sinar matahari.
