name;brand;price;ingredients;rating;sub-category;category;benefit
Fresh Bowl Pack Egg;BRING GREEN;Rp31.200;Water, Sodium Polystyrene Sulfonate, Dipropylene Glycol, Polyvinyl Alcohol, 1,2-Hexanediol, C12-14 Alketh-12, Caprylyl Glycol, Chlorella Vulgaris Extract, Glucose, Butylene Glycol, Ethylhexylglycerin, Fructooligosaccharides, Fructose, Albumen Extract, Egg Yolk Extract, Cedrus Atlantica Bark Oil, Sodium Phytate, Xanthan Gum, Rosmarinus Officinalis (Rosemary) Leaf Oil, Salvia Sclarea (Clary) Oil, Cynanchum Atratum Extract, Althaea Rosea Flower Extract, Tocopherol.;0;Wash off Mask;Face Mask;membersihkan pori-pori dan melembabkan kulit. mengecilkan pori-pori pada wajah.
Intensive Pore Clarifying Mask;ELFORMULA;Rp80.960;Aqua, butylene glycol, kaolin, cetearyl alcohol, propanediol, juglans regia (walnut) shell powder, triethylhexanoin, behenyl alcohol, c14-22 alcohols, bentonite, potassium cetyl phosphate, olive oil polyglyceryl-6 esters, hydroxyacetophenone, melaleuca alternifolia (tea tree) leaf oil, propylene glycol, chromium oxide greens, c12-20 alkyl glucoside, sodium stearoyl lactylate, tocopheryl acetate, xanthan gum, allantoin, niacinamide, arachidyl alcohol, ethylhexylglycerin, CI 77499, panthenol, stearyl alcohol, caprylhydroxamic acid, CI 77492, glycerin, sodium hyaluronate, glyceryl caprylate, polygonum cuspidatum root extract, scutellaria baicalensis root extract, camellia sinensis leaf extract, chamomilla recutita (matricaria) flower extract, rosmarinus officinalis (rosemary) leaf extract, cetyl alcohol, sodium lactate, serine, glycine, glucose, alanine, arginine, aspartic acid, pantolactone, menthyl lactate, 3-o-ethyl ascorbic acid, valine, alpha-glucan oligosaccharide, althaea rosea flower extract, centella asiatica extract, isoleucine, ceramide NP, salicylic acid, sesame amino acids, leucine, polyglyceryl-10 stearate, dextrin, glutamic acid, proline, potassium hydroxide, polymnia sonchifolia root juice, citric acid, maltodextrin, artemisia argyi leaf extract, hydrogenated lecithin, sucrose stearate, perilla ocymoides leaf extract, chamomilla recutita (matricaria) extract, glycyrrhiza glabra (licorice) root extract, centella asiatica extract, taraxacum officinale (dandelion) leaf extract, panax notoginseng root extract, camellia japonica flower extract, lactobacillus, phenoxyethanol, diazolidinyl urea;4.8;Wash off Mask;Face Mask;membersihkan pori-pori, perlindungan skin barrier. memberikan ketenangan pada kulit. Memberikan sensasi dingin pada kulit saat diaplikasikan
Ginseng Mask;I'M FROM;Rp369.850;Glycerin, Red Ginseng Extract, Butylene Glycol, Panax Ginseng Seed Oil, Glycyrrhiza Uralensis (Licorice) Root Extract, Paeonia Albiflora Root Extract, Angelica Gigas Root Extract, Rheum Palmatum Root Extract, Angelica Pubescens Root Extract, Schizonepeta Tenuifolia Extract, Phellodendron Amurense Bark Extract, Malt Extract, Ethoxydiglycol, Hydrolyzed Glycosaminoglycans, Hyaluronic Acid, Boswellia Serrata Resin Extract, 1,2-Hexanediol, Water, Ethylhexylglycerin, PEG-60 Hydrogenated Castor Oil, Isohexadecane, Polysorbate 80, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Fragrance;3.8;Wash off Mask;Face Mask;menutrisi dan mengencangkan kulit, membantu mengurangi kerutan serta tanda-tanda penuaan. Sensasi hangatnya membantu mengangkat sel kulit mati dan kotoran, membuat kulit lebih halus, elastis, dan sehat. Selain itu, masker ini meningkatkan sirkulasi darah, membantu penyerapan nutrisi, serta menjaga keremajaan kulit agar tampak lebih segar dan bercahaya.
Pink Lava Acne;TEDDY CLUBS;Rp38.000;Talc, Kaolin, Oryza sativa (rice) powder, Calamine, Bentonite, Niacinamide, Salicylica acid, xanthan gum, allatoin, parfum.;4;Wash off Mask;Face Mask;Mencegah masalah jerawat/bruntusan, Sebum Kontrol, Mengurangi minyak pada wajah, Tidak membuat wajah kekeringan, Mencerahkan wajah
Tea Tree Blackhead Mask (Step 1);BREYLEE;Rp64.000;AQUA, POLYVINYL ALCOHOL, MELALEUCA ALTERNIFOLIA LEAF OIL, MELALEUCA VIRIDIFLORA LEAF OIL, PELARGONIUM GRAVEOLENS EXTRACT, CALENDULA OFFICINALIS EXTRACT, ALOE BARBADENSIS EXTRACT, LACTIC ACID, MALIC ACID, CITRIC ACID, HYDROXYACETOPHENONE, 1,2-HEXANEDIOL;4.5;Wash off Mask;Face Mask;Membantu mengurangi minyak berlebih di wajah dan membantu mengangkat komedo, membuat kulit tampak halus. Dapat membersihkan kulit secara mendalam, menghilangkan komedo, dan minyak berlebih untuk mencapai hasil kulit yang maksimal.
Rice Probiotics Overnight Mask Barrier Jelly;ABIB;Rp234.000;Water, Dipropylene Glycol, Glycerin, Glyceryl Polymethacrylate, Lactobacillus/Rice Ferment, 1,2-Hexanediol, Oryza Sativa (Rice) Bran Extract, Diglycerin, Sodium Hyaluronate, Ethylhexylglycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer,  Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Saccharomyces/Rice Bran Ferment,  Adenosine,  Allantoin, Disodium EDTA;4.3;Wash off Mask;Face Mask;merawat kekencangan kulit. merawat dan mencerahkan kulit. membantu menghaluskan tekstur kulit. membentuk lapisan pelindung pada kulit semalaman, untuk menjadikan kulit tampak lebih sehat.
Winter Melon Face Mask;COCOON;Rp 90.000 - Rp 140.000;Water, Illite, Montmorillonite, Kaolin, Butylene Glycol, Niacinamide, Propanediol, Glycerin, Benincasa Cerifera Fruit Extract, Centella Asiatica Extract, Epilobium Angustifolium Flower/Leaf/Stem Extract, Phellodendron Amurense Bark Extract, Betaine, Xylitylglucoside, Pentylene Glycol, Anhydroxylitol, Xylitol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Polyacrylate Starch, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxypropyl Starch Phosphate, Hydrogenated Polydecene, Trideceth-6, Sorbitan Laurate, Caprylic/Capric Triglyceride, Phaseolus Radiatus Seed Extract, Avena Sativa Meal Extract, Bisabolol, Menthyl Lactate, Phenoxyethanol, Melaleuca Alternifolia Leaf Oil, Lavandula Angustifolia Oil, Rosmarinus Officinalis Leaf Oil, Ethylhexylglycerin, allantoin, Trisodium Ethylenediamine Disuccinate, Lactic Acid.;5;Wash off Mask;Face Mask;menenangkan dan memberikan efek dingin, menghidrasi serta mencerahkan kulit, memberikan nutrisi mendalam untuk menjaga kelembapan dan elastisitas kulit, mengurangi jerawat dan kemerahan, serta membantu meredakan iritasi dan inflamasi.
Supple Dream Gel Mask;TRUE TO SKIN;Rp66.750;Aqua, Butylene glycol,  Glycerin, Betaine salicylate, Tromethamine, Camellia sinensis leaf extract, Artemisia vulgaris extract, Nelumbo nucifera leaf extract, Psidium guajava leaf extract, Angelica gigas extract,  Camellia sinensis leaf,  Sodium hyaluronate, Carbomer, Allantoin, Phenoxyethanol, Prunus armeniaca seed powder, Disodium EDTA,  Xanthan gum, 1,2-hexanediol, Pentylene glycol, Ethylhexylglycerin,  Cananga Odorata Flower Oil;4.8;Wash off Mask;Face Mask;menghidrasi dan membuat kulit menjadi kenyal membantu membersihkan pori-pori dan merawat jerawat dengan lembut.  Membuat kulit terasa lembut dan kenyal
Mugwort Mask;I'M FROM;Rp426.550;Water, Butylene Glycol, Glycerin, Artemisia Princeps Leaf Powder, 1,2-Hexanediol, Cordyceps Sinensis Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Methylpropanediol, Ligularia Fishceri Leaf Extract, Rosa Davurica Bud Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Centella Asiatica Extract, Glyceryl Polyacrylate, Sodium Polyacrylaste, Carbomer, Arginine, Phenoxyethanol, Allantoin, Dipotassium Glycyrrhizate, Panthenol, Xanthan Gum, Disodium EDTA;4.6;Wash off Mask;Face Mask;menenangkan kulit dari cuaca panas dengan efek dingin alami dan membantu merawat kulit berjerawat. mempertahankan bahan aktif dari ekstrak tumbuhan dan memberikan manfaatnya langsung ke kulit.
Glass Skin Glow;TEDDY CLUBS;Rp35.000;Talc, Kaolin, Pryza sativa (rice) powder, whole dry milk, avena sativa (oat) kernel flour, niacinamide, vaccinium angustifolium (blueberry) extract, sodium PCA, allantoin, xanthan gum, mell, parfum.;4.8;Wash off Mask;Face Mask;melembabkan wajah, merawat kulit, menutrisikan kulit serta mencerahkan wajah kusam.  Membersihkan wajah Merawat kulit wajah jadi sehat Mencerahkan wajah yang kusam Melembabkan wajah dan menutrisikan wajah All Skin Types
