name;brand;price;ingredients;rating;sub-category;category;benefit
The Origin Ocean Booster Shot;KLAVUU;120000;Water, Sorbitol, 1,2-Hexanediol, Xylitol, Glycerin, Melia Azadirachta Leaf Extract, Ethylhexylglycerin, Dipropylene Glycol, Disodium EDTA, Melia Azadirachta Flower Extract, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Butylene Glycol, Sodium Hyaluronate, Sea Water, Panthenol, Maltodextrin, Beta-Glucan, Hydrolyzed Gardenia Florida Extract, Arginine, Houttuynia cordata Extract, Chlorella Vulgaris Extract, Laminaria Japonica Extract, Gelidium Cartilagineum Extract, Hizikia Fusiforme Extract, Undaria Pinnatifida Extract, Sea Salt, Chondrus Crispus Extract, Cynanchum Atratum Extract, Hydrolyzed Vegetable Protein;5;Booster;Treatment;menjaga keseimbangan sebum pada wajah, menenangkan dan melembabkan kulit
Niacinamide Skin Booster;THE AUBREE;77220;Aqua, Niacinamide, Glycerin, Isohexadecane, Polysorbate 20, Panthenol, Phenoxyethanol, Polyacrylamide, C13-14 Isoparaffin, C9-11 Pareth-6, Allantoin, Sodium Hyaluronate, Parfum;5;Booster;Treatment;menjaga kelembapan kulit, menjaga kekenyalan kulit, mencerahkan kulit, mengecilkan tampilan pori, dan mengurangi produksi minyak berlebih
Age Defy Youth Elixir;SAFI;193410;Aqua, Cyclopentasiloxane, Panthenol, Glycerin, PPG-3 Myristyl Ether, Isononyl Isononanoate, Betaine, Caprylyl Methicone, Ethyl Ascorbic Acid, Dimethicone, Hydroxyethylcellulose, Sodium Chloride, Isostearyl Alcohol, Pterocarpus Marsupium Bark Extract, Sodium Hyaluronate, Ethylhexylglycerin, Disodium EDTA, Lactic Acid, Nordihydroguaiaretic Acid, Butylene Glycol, Ceramide NP, Propolis Extract, Bee Venom, Colloidal Gold, Acetyl Heptapeptide-9, Fragrance, Phenoxyethanol, Sodium Metabisulfite, CI 47005, CI 47000, CI 26100, CI 61565, CI 60725.;5;Booster;Treatment;menutrisi kulit wajah agar terjaga elastisitasnya dan tampak cerah dan berseri
Brightening Serum Concentrate;DJAMUJAMU;270000;AKAR MANIS, KULIT MANGGIS, KUNYIT, 4% NIACINAMIDE;4.9;Booster;Treatment;mencerahkan dan meremajakan kulit
YOU Symwhite 377 Radiance Up Brightening and Exfoliating Essence;YOU BEAUTY;125100;89% CICA Water, Lactobionic Acid, 3% Niacinamide, 2X* Vitamin C, SymWhite377, Licorice Extract;4.8;Booster;Treatment;menenangkan, mencerahan, dan mengeksfoliasi dengan lembut untuk  kulit yang cerah berseri
YOU 8x SymWhite 377 Radiance Up! Brightening Serum;YOU BEAUTY;125100;Carnosine, Korean Camellia Extract, 5% Niacinamide, 4X* Vitamin C, SymWhite377, Licorice Extract;4.8;Booster;Treatment;mengurangi kekusaman dan tampilan noda hitam pada kulit akibat radikal bebas dan glikasi untuk kulit yang cerah
Safi Ultimate Bright Skin Refiner;SAFI;60210;Aqua, Butylene Glycol, Fomes Officinalis Extract, PPG-1-PEG-9 Lauryl Glycol Ether, Coceth-7, PEG-40 Hydrogenated Castor Oil, Allantoin, Dipotassium Glycyrrhizate, Nigella Sativa Seed Oil, Disodium EDTA, Perfluorodecalin, Menthol, Benzophenone-4, 4-butylresorcinol, Fragrance, Phenoxyethanol, Methylparaben, CI 42090.;4.5;Booster;Treatment;meringkas pori-pori, mempersiapkan kulit wajah untuk menerima produk selanjutnya
Radian-C Advanced Effector;LANEIGE;617500;WATER / AQUA / EAU, MALPIGHIA EMARGINATA (ACEROLA) FRUIT EXTRACT, PROPANEDIOL, ALCOHOL DENAT, EUTERPE OLERACEA FRUIT EXTRACT, NIACINAMIDE, BUTYLENE GLYCOL, 1,2-HEXANEDIOL, PEG-60 HYDROGENATED CASTOR OIL, BIS-PEG-18 METHYL ETHER DIMETHYL SILANE, ETHYLHEXYLGLYCERIN, ADENOSINE, DISODIUM EDTA, SODIUM MAGNESIUM SILICATE, FRAGRANCE / PARFUM, TAURINE, LIMONENE, GLUTATHIONE, ASCORBIC ACID, 3-O-ETHYL ASCORBIC ACID, TOCOPHEROL.;5;Booster;Treatment;merevitalisasi dan menyegarkan kulit, memberikan kekuatan antioksidan, mengelola siklus pergantian sel kulit yang tidak teratur untuk membuat kulit lebih sehat
Anti Aging Serum Concentrate;DJAMUJAMU;277200;Bengkuang, Pegagan, Asam Etil Askorbat, Asam Hyaluronic, Ragi yang Difermentasi;4.8;Booster;Treatment;meminimalkan tanda-tanda penuaan dan efek polusi dan radikal bebas, Menjaga dan memperkuat skin barrier, Mengurangi munculnya kerutan, Membantu kulit meningkatkan produksi kolagennya, Menghambat melanogenesis
C+ Brightening Booster;BHUMI;195750;Water, 3-O-Ethyl Ascorbic Acid, Alpha Arbutin, Honey, Aloe Barbadensis Leaf Juice, Propanediol, Polyacrylate Crosspolymer-11, Propylene Glycol, Sodium Benzoate, Chlorphenesin, Allantoin, Tetrasodium EDTA, Hydrolyzed Hyaluronic Acid, Dipotassium Glycyrrhizate, Tephrosia Purpurea Seed Extract, Cucumis Sativus Fruit Extract, Sodium Metabisulfite, Potassium Sorbate.;4.6;Booster;Treatment;mencerahkan wajah
Sunshine Booster;HAPLE;129000;Aqua, Polyacrylamide, Saccharomyces Rice Bran Ferment Filtrate Extract, Niacinamide, Sodium PCA, C13-14 Isoparaffin, C9-11 Pareth-6, Alpha Arbutin, Glycyrrhiza Glabra (Licorice) Root Extract, Hibiscus Sabdariffa Flower Extract, Camellia Sinensis Leaf Extract, Coffea Arabica (Coffee) Seed Extract, Oryza Sativa (Rice) Extract, Rubus Idaeus (Raspberry) Fruit Extract, Inositol, Phenoxy-ethanol, Polysorbate 20, Sodium Metabisulfite, Sodium Hyaluronate, Tocopheryl Acetate;4.6;Booster;Treatment;Mencerahkan, Meringankan tampilan bekas jerawat, Merawat kulit berjerawat, Melembabkan, Menghidrasi, Merawat kulit yang memiliki hiperpigmentasi, flek, noda hitam, dan inflamasi 
Age Corrector Nightcharge 15ml - Retinol & Phytosqualane;ERHA;229600;Retinol 1% dalam Phytosqualane dan Jojoba Oil;4.4;Booster;Treatment;peremajaan kulit dan menyamarkan tanda-tanda penuaan dini
Truwhite Active Glow;ERHA;229600;Tranexamic Acid 3%, Hexyl Resorcinol;4.4;Booster;Treatment;pencerahan kulit, dan dapat menyamarkan flek hitam pada wajah secara maksimal
Age Defy Skin Refiner;SAFI;67410;Aqua, Rosa Centifolia Flower Water, Pentylene Glycol, Dipotassium Glycyrrhizate, Disodium EDTA, Sodium Hydroxide, Pearl Powder, Niacinamide, Colloidal Gold, Acetyl Heptapeptide-9, Phenoxyethanol, Propanediol, Methylisothiazolinone.;4.7;Booster;Treatment;Melembabkan & menyejukkan kulit tanpa rasa lengket, Membantu memelihara serat kulit & elastisitas kulit, Kulit tampak segar bercahaya lebih muda, Kulit terasa halus dan lembut, Menenangkan kulit yang kemerahan
Dive-In Low Molecular Hyaluronic Acid Skin Booster;TORRIDEN;299000;Water, Butylene Glycol, Glycerin, 1,2-Hexanediol, Caprylic/Capric Triglyceride, Malachite Extract, Ceramide NP, Phytosphingosine, Allantoin, Panthenol, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid(100ppm), Sodium Acetylated Hyaluronate, Sodium Hyaluronate Crosspolymer, Hydrolyzed Sodium Hyaluronate, Trehalose, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Anthemis Nobilis Flower Extract, Glycereth-26, Pentylene Glycol, Glyceryl Acrylate/Acrylic Acid Copolymer, PVM/MA Copolymer, C14-22 Alcohols, C12-20 Alkyl Glucoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Tromethamine, Disodium EDTA, Ethylhexylglycerin, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa R;0;Booster;Treatment;memberikan hidrasi yang mendalam dan manfaat menyeimbangkan untuk kulit
Centella Cloud Booster;HAPLE;89000;Aqua, Polyacrylamide, Gotu Kola Extract, Sodium PCA, C13-14 Isoparaffin, C9-11 Pareth-6, Inositol, Glycyrrhiza Glabra (Licorice) Extract, Aloe Barbadensis (Aloe Vera) Leaf Extract, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Sodium Hyaluronate, Cananga Odorata (Ylang Ylang) Flower Oil, Tocopheryl Acetate;4.6;Booster;Treatment;melembabkan, anti bakterial, mencerahkan, membantu menyamarkan noda hitam bekas jerawat, menyeimbangkan pH kulit dan membantu kinerja skincare
Aquabella Beauty Revealer Moisturizing Emulsion;NUXE;488750;Bunga teratai putih Madagaskar, Asam hialuronat;5;Booster;Treatment;Melembabkan area kering dan mengkontrol area berminyak, menghaluskan tekstur kulit dan menunjukkan kilau
