name;brand;price;ingredients;rating;sub-category;category;benefit
YADAH Green Tea Pure Cleansing Balm II;YADAH;Rp306.850;Olea Europaea Fruit Oil, Cetyl Ethylhexanoate, Ethylhexyl Palmitate, Caprylic/Capric Triglyceride, PEG-20 Glyceryl Triisostearate, Polyethylene, Helianthus Annuus (Sunflower) Seed Oil, 1,2-Hexanediol, Aqua, Butylene Glycol, Camellia Sinensis Leaf Powder, Citrus Limon Peel Oil, Citrus Medica Vulgaris Peel Oil, Citrus Grandis Peel Oil, Citrus Aurantium Dulcis Oil, Citrus Nobilis Peel Oil, Lavandula Angustifolia Oil, Eucalyptus Globulus Leaf Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Tocopherol, Citrus Aurantium Flower Oil, Simmondsia Chinensis Seed Oil.;0;Cleansing Balm;Cleanser;mengangkat kotoran, debu, makeup pada wajah setelah seharian beraktivitas, menjaga kulit agar tetap lembap setelah membersihkan wajah.
Butter Be Gone: Cleansing Balm;ROSE ALL DAY;Rp109.850;ETHYLHEXYL PALMITATE, TRIDECYL TRIMELLITATE, ISONONYL ISONONANOATE, CETYL ETHYLHEXANOATE, PEG-20 GLYCERYL TRIISOSTEARATE, POLYETHYLENE, MICROCRYSTALLINE WAX, SORBITAN OLIVATE, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, EUPHORBIA CERIFERA (CANDELILLA) WAX, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, TOCOPHEROL, VITIS VINIFERA SEED OIL, ROSA RUBIGINOSA SEED OIL, CAMELLIA OLEIFERA SEED OIL, TOCOPHERYL ACETATE;4.3;Cleansing Balm;Cleanser;Membersihkan makeup & mengangkat kotoran secara totalitas dari dalam pori-pori tanpa meninggalkan residu atau rasa perih
Acne Butter Cleansing Balm;SEA MAKEUP;Rp 55.200 - Rp 118.450;Ethylhexyl palmitate, Tridecyl isononanoate, Cetyl ethylhexanoate, Peg-12 diisostearate, Polyethylene, Peg-20 glyceryl triisostearate, Phenoxyethanol, Tocopheryl acetate, Caprylyl glycol, Melaleuca alternifolia (tea tree) leaf oil, Parfum, Centella asiatica extract, Salicylic acid;5;Cleansing Balm;Cleanser;menghapus makeup waterproof tanpa terasa perih di mata, yang membersihkan secara menyeluruh, memiliki efek untuk membantu dalam penyembuhan kulit yang berjerawat
Purifying Barrier Ice Cream Cleansing Balm;SKINTIFIC;Rp93.080;ETHYLHEXYL PALMITATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, PEG-20 GLYCERYL TRIISOSTEARATE, SYNTHETIC WAX, BUTYLENE GLYCOL, CERA MICROCRISTALLINA, FRAGARIA CHILOENSIS (STRAWBERRY) FRUIT EXTRACT, EUTERPE OLERACEA (ACAI) FRUIT EXTRACT, RUBUS FRUTICOSUS (BLACKBERRY) FRUIT EXTRACT, CENTELLA ASIATICA EXTRACT, CERAMIDE NP, CERAMIDE EOP, CERAMIDE NS/CERAMIDE NG, CERAMIDE AS, CERAMIDE AP, ASCORBIC ACID, TOCOPHEROL, HYDROGENATED LECITHIN, CYCLODEXTRIN, GLYCERIN, ETHYLHEXYLGLYCERIN, WATER;4.3;Cleansing Balm;Cleanser;membersihkan secara mendalam dan mengurangi tampilan komedo (effortless), meluruhkan makeup waterproof dan kotoran dengan cepat, tidak meninggalkan residu setelah pembilasan, menjadikan kulit halus, lembap, tidak kering setelah pemakaian, serta menjaga barrier kulit tetap sehat
Biome Barrier Collagen Firming Cleansing Balm 100 ml;UIQ;Rp332.100;Cetyl Ethylhexanoate, Caprylic/Capric Triglyceride, Polyethylene, PEG-10 Isostearate, PEG-20 Glyceryl Triisostearate, Sorbeth-30 Tetraoleate, Sorbitan Sesquioleate, Glyceryl Caprylate, Cutibacterium Avidum Ferment Extract Filtrate, Ethylhexylglycerin, Aqua, Protease, 1,2-Hexanediol, Butylene Glycol, Propanediol, Panthenol, Glyceryl Glucoside, Fructan, Lactobacillus Ferment Lysate, Canavalia Gladiata Seed Extract, Ceratonia Siliqua Seed Extract, Glycerin, Glycine Soja (Soybean) Seed Extract, Lens Esculenta (Lentil) Seed Extract, Phaseolus Radiatus Seed Extract, Pueraria Lobata Root Extract, Hydrolyzed Collagen, Pantolactone, Capryloyl Salicylic Acid.;5;Cleansing Balm;Cleanser;membersihkan makeup yang tebal yang sulit dibersihkan dengan facial wash saja, serta mengangkat debu dan minyak berlebih pada wajah. membantu menjaga kekuatan skin barrier. membantu merawat elatisitas kulit
Melt My Day! Cleansing Balm;NUTRISHE;Rp146.500;Ethylhexyl Palmitate, Caprylic/Capric Triglyceride, Beeswax (Cera alba), Isononyl Isononanoate, Glyceryl Stearate, PEG-100 Stearate, Meadowfoam (Limnanthes alba) seed oil, Phenoxyethanol, PEG-7 Caprylic/Capric Glycerides, Squalane, Shea Butter (Butyrospermum parkii) extract, Tocopherol, Sunflower (Helianthus annuus) seed oil, Jojoba (Simmondsia chinensis) seed oil, Centella asiatica extract, BHT, Glycerin, Aqua, Butylene Glycol, 1,2-hexanediol, Opuntia ficus indica stem extract.;5;Cleansing Balm;Cleanser;membersihkan make-up serta kotoran pada wajah, menjaga kelembapan kulit, menenangkan dan non-comedogenic.
Bare With Me Cleansing Balm;BUTTONSCARVES BEAUTY;Rp145.000;Ethylhexyl Palmitate, Cetyl Ethylhexanoate, Sorbeth-30 Tetraoleate, Polyethylene, Helianthus Annuus (Sunflower) Seed Oil, Tocopheryl Acetate, Trihydroxystearin, Fragrance(Parfum), Butyrospermum Parkii (Shea) Butter, Lavandula Angustifolia (Lavender) Oil, Citrus Aurantium Dulcis (Orange) Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Pelargonium Graveolens Flower Oil, Eucalyptus Globulus Leaf Oil.;2.8;Cleansing Balm;Cleanser;membersihkan sisa makeup dan kotoran dengan ampuh, menghasilkan wajah yang bersih dan sehat
Meltaway Balm Blueberry;DEAR ME BEAUTY;Rp122.180;Ethylhexyl Palmitate, Tridecyl Isononanoate, Cetyl Ethylhexanoate, Peg-12 Diisostearate, Polyethylene, Peg-20 Glyceryl Triisostearate, Water, Phenoxyethanol, Vaccinium Angustifolium (Blueberry) Fruit Extract, Tocopheryl Acetate, Butylene Glycol, Caprylyl Glycol, Fragrance, Scutellaria Baicalensis Root Extract, Sophora Angustifolia Root Extract, Glycyrrhiza Inflata Root Extract, Sodium Hyaluronate, Ci 17200, Ci 42090;5;Cleansing Balm;Cleanser;menghilangkan sisa kotoran dan noda riasan
Pure Fit Cica Smoothing Cleanser Balm;COSRX;Rp195.000;Ethylhexyl Palmitate, Sorbeth-30 Tetraoleate, Caprylic/Capric Triglyceride, Polyethylene, Lavandula Angustifolia (Lavender) Oil, Helianthus Annuus (Sunflower) Seed Oil, Eucalyptus Globulus Leaf Oil, Caprylyl Glycol, Ethylhexylglycerin, Anthemis Nobilis Flower Oil, Avena Sativa (Oat) Kernel Oil, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil, Olea Europaea (Olive) Fruit Oil, Oenothera Biennis (Evening Primrose) Oil, Persea Gratissima (Avocado) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Water, 1,2-Hexanediol, Centella Asiatica Extract, Centella Asiatica Leaf Extract, Centella Asiatica Root Extract, Pinus Pinaster Bark Extract, Asiaticoside, Asiatic Acid, Madecassoside, Madecassic Acid;4.5;Cleansing Balm;Cleanser;membersihkan kotoran dan sisa make-up di kulit wajah secara menyeluruh tanpa membuat rasa kering dan ketarik, menenangkan kulit sensitif dan mempertahankan kelembapan kulit, secara lembut dan ringan membersihkan wajah
YOU Gentle Clean! Deep Cleansing Balm-Cocomelt;YOU BEAUTY;Rp99.500;Centella Asiatica Extract, Jojoba Seed Oil, Natural Coconut Oil, Olive Fruit Oil, Meadowfoam Seed Oil, Sunflower Seed Oil, Vitamin E & B5;4;Cleansing Balm;Cleanser;menutrisi, meleleh lembut di kulit, mengangkat makeup, sisa kotoran dan sebum berlebih tanpa meninggalkan residu.
