name;brand;price;ingredients;rating;sub-category;category;benefit
Makeup Remover Perfect Cleansing Water Soften Up;BIORE;Rp 25.696 - Rp 60.435;Water, Dipropylene Glycol, PEG-12 Laurate, Butylene Glycol, PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin, PEG-8, PEG-6 Caprylic/Capric Glycerides, Sodium Citrate, Sodium Methyl Stearoyl Taurate, Citric Acid, Disodium EDTA, Phenoxyethanol, Methylparaben, O-Cymen-5-Ol;4.6;Makeup Remover;Cleanser;Membersihkan sisa makeup, kotoran dan minyak yang terperangkap dalam pori secara menyeluruh tanpa perlu digosok kuat, menjaga kelembapan kulit dan tetap lembut.
Purifying Barrier Ice Cream Cleansing Balm;SKINTIFIC;Rp93.080;ETHYLHEXYL PALMITATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, PEG-20 GLYCERYL TRIISOSTEARATE, SYNTHETIC WAX, BUTYLENE GLYCOL, CERA MICROCRISTALLINA, FRAGARIA CHILOENSIS (STRAWBERRY) FRUIT EXTRACT, EUTERPE OLERACEA (ACAI) FRUIT EXTRACT, RUBUS FRUTICOSUS (BLACKBERRY) FRUIT EXTRACT, CENTELLA ASIATICA EXTRACT, CERAMIDE NP, CERAMIDE EOP, CERAMIDE NS/CERAMIDE NG, CERAMIDE AS, CERAMIDE AP, ASCORBIC ACID, TOCOPHEROL, HYDROGENATED LECITHIN, CYCLODEXTRIN, GLYCERIN, ETHYLHEXYLGLYCERIN, WATER;4;Makeup Remover;Cleanser;membersihkan secara mendalam dan mengurangi tampilan komedo (effortless). meluruhkan makeup waterproof dan kotoran dengan cepat, dan tidak meninggalkan residu setelah pembilasan.menjadikan kulit halus, lembap, tidak kering setelah pemakaian, serta menjaga barrier kulit tetap sehat. Memiliki aroma berry yang segar dan menenangkan kulit, serta formula yang aman dan tidak perih di mata.
Ice Sorbet Makeup Remover;SKINTIFIC;Rp71.440;aqua, PEG-7 Glyceryl Cocoate, Glycerin, butylene glycol, dicaprylyl carbonate, Undecane, tridecane, Sodium Carbomer, Polyglyceryl-10 laurate, Tocopherol, cetraria islandica extract, Hydroxyacetophenone, polyglyceryl-6 dicaprate, Algae Extract, Disodium EDTA, lecithin,  Maltodextrin, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate, aroma;4.5;Makeup Remover;Cleanser;meluruhkan makeup waterproof dengan mudah dan tanpa emulsi dan tanpa minyak sama sekali. ZERO OIL FEELING, nyaman digunakan untuk kulit berminyak. 
Waterproof Makeup Remover;AYOM;Rp180.000;Aqua, Cyclopentasiloxane, Isopropyl myristate, Argania spinosa kernel oil, Simmondsia chinensis seed oil, Centella asiatica extract, Glycerin, Propylene glycol, Benzoic acid, Caprylyl glycol Butylene glycol, Anthemis nobilis flower extract, Aloe barbadensis leaf extract, Phenoxyethanol, Ethylhexylglycerin, Niacinamide, Lactococcus ferment lysate, Acetyl glucosamine, Broussonetia papyrifera bark extract, Camellia japonica leaf extract, Camellia sinensis leaf extract, Caprylhydroxamic acid, Morus alba bark extract, Pyrus malus fruit extract, Rhus semialata extract, Tricholoma matsutake extract;0;Makeup Remover;Cleanser;tidak mengeringkan atau mengiritasi kulit, Makeup Remover yang memiliki daya angkat yang kuat
Dirt-less In Sight Make Up Remover;EMINA;Rp29.300;Aqua/Water, Cyclomethicone, Isohexadecane, Sodium chloride, Phenoxyethanol, Benzalkonium Chloride, Ethylhexylglycerin, Disodium EDTA, Decyl Glucoside;4.5;Makeup Remover;Cleanser;membersihkan kotoran dan makeup tahan air dari wajah. Membersihkan wajah jadi lebih muda
Ceramoist botanical micellar water;AZARINE;Rp39.000;Aqua, Camellia Sinensis Leaf Water, Centella Asiatica Extract, Glycerin, Propanediol, Disodium Cocoyl Glutamate, Benzoic Acid, Sodium Hyaluronate, Disodium Edta, Ceramide 3, Xanthan Gum, Anhydroxylitol, Xylitylglucoside, Xylitol.;5;Makeup Remover;Cleanser;Membersihkan, menenangkan, menutrisi, melindungi, dan melembapkan. tidak membuat kulit terasa tertarik sehingga tetap bisa melindungi skin barrier. kaya antioksidan bagi kulit.
Double Eye Make Up Remover;NIVEA;Rp62.430;Aqua/Water, Isododecane, Isopropyl Palmitate, Dimethicone, Phenoxyethanol, Sodium chloride, Tetrasodium EDTA, Caprylyl/Capryl Glucoside, Benzethonium Chloride, Helianthus Annuus (Sunflower) Seed Oil, CI 60725;4.7;Makeup Remover;Cleanser;membersihkan dan mencerahkan kulit wajah dari debu, polusi, dan kotoran. Mampu menyamarkan noda hitam pada wajah.
Perfect Lip & Eye Make-Up Remover;MISSHA;Rp119.640;Cyclopentasiloxane, Cyclohexasiloxane, Butylene Glycol Dicaprylate/Dicaprate, Dipropylene Glycol, Isohexadecane, Sodium Chloride, 1,2-Hexanediol, Benzyl Alcohol, Caprylyl/Capryl Glucoside, Fragrance, Eclipta Prostrata Extract, Sea Water, Dipotassium Glycyrrhizate, Butylene Glycol, Disodium EDTA, Tromethamine, Green 6 (CI 61565), Lavandula Angustifolia (Lavender) Extract, Borago Officinalis Extract, Centaurea Cyanus Flower Extract, Chamomilla Recutita (Matricaria) Flower/Leaf Extract;5;Makeup Remover;Cleanser;menghapus makeup waterproof tanpa menyababkan iritasi pada kulit. Membantu Menenangkan Kulit Sensitif Di Sekitar Bibir Dan Area Mata Yang Disebabkan Oleh Penggunaan Makeup Dalam Jangka Waktu Panjang.
Water-Oil Dual-Phase Makeup Remover;O.TWO.O;Rp70.000;AQUA,CYCLOPENTASILOXANE,ISONONYL ISONONANOATE,SODIUM CHLORIDE,ASCORBIC ACID,PANTHENOL,COCO-GLUCOSIDE,POLYGLYCERYL-10 LAURATE,POLYAMINOPROPYL BIGUANIDE,1,2-HEXANEDIOL,CI 47000;0;Makeup Remover;Cleanser;"menutrisi dan menghilangkan riasan menjadi satu, melembapkan dan menenangkan, mencerahkan warna kulit sekaligus menghilangkan riasan; Tanpa tambahan alkohol, lembut dan tidak menyebabkan iritasi, tidak terasa sesak setelah dilepas, Melembabkan dan merawat kulit."
Rêve de Miel Face Cleansing and Make-Up Removing Gel;NUXE;Rp301.750;AQUA/WATER, GLYCERIN, SODIUM LAUROYL SARCOSINATE, MEL/HONEY, SUNFLOWER SEED OIL PEG-8 ESTERS, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, SODIUM COCOAMPHOACETATE, PARFUM/FRAGRANCE, PHENOXYETHANOL, GLUCONOLACTONE, LAURYL GLUCOSIDE, COCO-GLUCOSIDE, GLYCERYL OLEATE, SODIUM HYDROXIDE, CARAMEL, SODIUM COCOYL GLUTAMATE, SODIUM LAURYL GLUCOSE CARBOXYLATE, ALLANTOIN, SODIUM BENZOATE, TETRASODIUM GLUTAMATE DIACETATE, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, CITRIC ACID, CALCIUM GLUCONATE, TROPOLONE, HYDROGENATED PALM GLYCERIDES CITRATE, TOCOPHEROL [N2005/A].;4.3;Makeup Remover;Cleanser;membersihkan, menenangkan, dan menghilangkan make-up dalam satu langkah. menjadikan kulit halus, lembut, dan bercahaya.Membantu memberikan nutrisi pada kulit. Memperbaiki kulit rusak. Membantu menjaga kelembapan kulit. Mengandung 
